id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId
2499052729,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-01-21T10:18:18.460Z,2023-01-21T11:28:57Z,3986769457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3986769467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986769463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3986769459,59,"1, 2, 25, 6, 31, 5, 7, 8, 10, 22, 11, 3, 9, 14, 21, 24, 29, 30",3986769465,194,w8u1a5hrtitytfof3jk0zbh1,3986769455,30,"3ff82uwwa2eb4k4yh7f1144id, 95sml1vx1fwwhq8p32p60e11x, cap22dno3uid8jyckne737tyi, 2nn6berxelojkxb2rjjnqw4id, 9660pkh3215x0w4jllovetpwq, 3rc0ufm6jvj8ngj9jl49o0r11, 91lwbi9gd4crrnmt30yld307p, w8u1a5hrtitytfof3jk0zbh1, njzhdtpegev8seam0oe0zpp1, cx8wxcop4vdfapgaboyzqrsvd, c575swutxi9er3j9txklhrzoq, 2wnqoxtt8xlglpndyjb5rb622, emwj19p387dfr11hnrtfqfyz9, 4bkh8hka55xcxf9krl9ga4iui, yhkueqgsvvd5fzdffg9nky51, 5hylntpne6d7xwey2v9d9lg8a, ekmq2tqdwkxcoagknm66ciove, cd0uffrnjl7wysygus4acsm0a",3986769461,130,8,3986811039,197,17986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499052935,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-01-21T10:20:27.278Z,2023-01-21T11:33:41Z,3986770461,130,10,3986770455,30,"1vr7xk50jy6ytnogke8h6ciga, f35u25047d9vmzt6j20fd29cl, 8gzsegmgy3fjcluzdci515j2t, 68mqljqiwgzgextvvyncb3avp, adhfs6658xx5hpxur1496kv6d, 5pjrdhytzrteyqxxcvxxhjqax, 7vq2cctowa657lg0v740lhtjp, 9sczcrp79182vio8prnrw5kdm, 61rdelnm1qf1rh24z6omazu1h, cufgsqfkltgeb7ak2uan2dqdx, 4wk0sw7u4c17v2owhx5bhmusq, 5c8v9xugyq3jm2kik1eeoptnu, 869lv47g5aohwwzeyzx9xmt7u, 982owm0ccito2d1x2pkvpqeh, 2tveu4wl8zdno0v950r0r34k5, 90cmfctiu1b17s790t26ddcd1, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",3986770465,194,7vq2cctowa657lg0v740lhtjp,3986770467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986770457,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3986770459,59,"13, 10, 14, 5, 29, 2, 8, 4, 18, 7, 16, 3, 19, 21, 22, 33, 37, 43",3986770463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3986810661,197,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061211,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-01-21T11:30:15.318Z,2023-01-21T11:30:15Z,3986811555,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061215,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-01-21T11:30:15.318Z,2023-01-22T06:39:44Z,3986811561,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061221,3,1,1,0,1,9xmhnv6im8h7c9e17oqvcx8gl,1,50,50,2023-01-21T11:30:16.418Z,2023-01-22T06:40:24Z,3986811587,141,54.0,3986811593,279,S,3986811585,140,33.4,3986811589,212,17.6,3986811591,213,3.0,3986811583,56,Back,,,,,,,cx8wxcop4vdfapgaboyzqrsvd,J. Brimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061225,4,1,1,0,2,9xmhnv6im8h7c9e17oqvcx8gl,1,34.2,54.8,2023-01-21T11:30:18.243Z,2023-01-21T11:30:19Z,3986811613,56,Back,3986811621,213,4.7,3986811619,212,7.6,3986811615,140,34.4,3986811617,141,43.6,,,,,,,,,,9660pkh3215x0w4jllovetpwq,M. Bozinovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061243,5,1,1,0,4,9xmhnv6im8h7c9e17oqvcx8gl,0,34.9,45.2,2023-01-21T11:30:19.362Z,2023-01-21T11:30:25Z,3986811687,155,,3986811691,140,74.7,3986811689,56,Left,3986811695,212,51.8,3986811699,1,,3986811693,141,90.2,3986811697,213,0.6,,,,3rc0ufm6jvj8ngj9jl49o0r11,M. Špiranović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061235,3,44,1,0,6,cuj4qahgk4idsme4dg8clk6gw,1,24.2,14.3,2023-01-21T11:30:22.017Z,2023-01-22T10:40:18Z,3986811711,233,6,3986811661,56,Back,3986811663,285,,,,,,,,,,,,,,,,,f35u25047d9vmzt6j20fd29cl,S. Khelifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061247,6,44,1,0,6,9xmhnv6im8h7c9e17oqvcx8gl,0,75.8,85.7,2023-01-21T11:30:22.018Z,2023-01-22T06:45:24Z,3986811709,286,,3986811755,233,3,3986811707,56,Left,,,,,,,,,,,,,,,,w8u1a5hrtitytfof3jk0zbh1,J. Brillante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061251,4,1,1,0,7,cuj4qahgk4idsme4dg8clk6gw,1,23.1,18.8,2023-01-21T11:30:22.938Z,2023-01-21T11:30:25Z,3986811737,213,0.8,3986811729,56,Back,3986811727,3,,3986811733,141,33.0,3986811731,140,32.2,3986811735,212,13.6,,,,,,,f35u25047d9vmzt6j20fd29cl,S. Khelifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
