id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/14/value,qualifier/18/value
2484116983,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-11-11T07:38:53.697Z,2022-11-11T08:41:52Z,3908033849,197,17502,3907945349,130,8,3907945345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3907945347,59,"20, 16, 3, 4, 6, 21, 17, 8, 10, 7, 11, 1, 15, 18, 22, 23, 24, 25",3907945351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3907945353,194,w8u1a5hrtitytfof3jk0zbh1,3907945343,30,"dmxzug2enscx331w5vmdzn2s5, 2g39f2y5dqwg3q4sw2jf6x6g9, 2wnqoxtt8xlglpndyjb5rb622, vfwu1evhxgeeza1pvkyaxgph, 2nn6berxelojkxb2rjjnqw4id, yhkueqgsvvd5fzdffg9nky51, nf5y7om644176c52n91ptsyd, w8u1a5hrtitytfof3jk0zbh1, njzhdtpegev8seam0oe0zpp1, 91lwbi9gd4crrnmt30yld307p, c575swutxi9er3j9txklhrzoq, 3ff82uwwa2eb4k4yh7f1144id, 7h5zy4yqn4pilij1tsmm2qmzt, abz6occh9zmu2tcsejm5uiyg9, cx8wxcop4vdfapgaboyzqrsvd, 63za0395wiu88h3panzx86pxx, 5hylntpne6d7xwey2v9d9lg8a, cap22dno3uid8jyckne737tyi",3907945355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484117691,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2022-11-11T07:41:39.083Z,2022-11-11T08:54:36Z,3907948875,130,5,3907948877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3907948879,194,8wt0rz1iw4aon12zj6axq1sk5,3908042167,197,874,3907948881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3907948871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3907948873,59,"46, 21, 7, 55, 41, 3, 11, 28, 9, 8, 26, 1, 2, 6, 13, 14, 33, 35",3907948869,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, d3n1fqp2aq9yjtzvwistpecyc, a5y5w6rclo7jen1tg6xhfgewa, 8t39sfyi8s85bs1ptjymmbd1x, 8wt0rz1iw4aon12zj6axq1sk5, bdubw4m7kqyerzclhw8s8zpp1, 6b31g4lw3ste6xrg1kwwn5iol, 3qwtpnlm38xo5f1u36a30kus5, bidqgybf8b93bdsi4t4kzeuhh, c0f9jho2nsyygravyp7f19i3t, 5jj95ojkl5antavm5xboygokq, 2kig0lwusomobls6p3am0l7qi, 9l5seuy6ggcvpqnt5ekxn1pii, 7svze93i8mizkw3h8wsdbxkgl, 9dzy32kebgqiqtiobpcvy0wyd, evf4z0xf7cd5nidnq6q4x8w7o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137167,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2022-11-11T08:53:45.586Z,2022-11-12T09:21:09Z,3908053651,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137173,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-11-11T08:53:45.586Z,2022-11-11T08:53:47Z,3908053657,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137175,3,1,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,50.2,50.1,2022-11-11T08:53:45.686Z,2022-11-11T08:54:11Z,3908053665,56,Back,3908053667,140,35.8,3908053669,141,44.3,3908053677,279,S,3908053671,212,15.6,3908053673,213,3.4,,,,,,,njzhdtpegev8seam0oe0zpp1,B. Fornaroli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137195,4,1,1,0,1,9xmhnv6im8h7c9e17oqvcx8gl,1,34.2,42.9,2022-11-11T08:53:47.345Z,2022-11-12T09:21:27Z,3908053745,141,47.4,3908053747,212,4.0,3908053743,140,31.8,3908053749,213,2.3,3908053741,56,Back,,,,,,,,,,2nn6berxelojkxb2rjjnqw4id,L. Broxham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137203,5,1,1,0,3,9xmhnv6im8h7c9e17oqvcx8gl,0,31,62.1,2022-11-11T08:53:48.931Z,2022-11-11T08:53:49Z,3908053769,155,,3908053787,212,44.6,3908053797,1,,3908053771,56,Center,3908053781,141,71.4,3908053777,140,73.0,3908053791,213,0.1,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137227,3,1,1,0,5,6lezh5aazy0xca1800e5dqxwl,1,28.1,24.1,2022-11-11T08:53:50.586Z,2022-11-11T08:53:53Z,3908053893,212,31.0,3908053891,141,10.4,3908053895,213,6.0,3908053889,140,56.3,3908053885,3,,3908053887,56,Right,,,,,,,a5y5w6rclo7jen1tg6xhfgewa,A. Popovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137231,4,49,1,0,8,6lezh5aazy0xca1800e5dqxwl,1,56.3,10.4,2022-11-11T08:53:53.849Z,2022-11-11T08:53:54Z,,,,,,,,,,,,,,,,,,,,,,,,,8wt0rz1iw4aon12zj6axq1sk5,C. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484137247,5,3,1,0,10,6lezh5aazy0xca1800e5dqxwl,0,67.1,12.8,2022-11-11T08:53:56.345Z,2022-11-12T09:21:43Z,3908053969,56,Right,3909558735,465,,3908053971,286,,3908053979,211,,,,,,,,,,,,,,8wt0rz1iw4aon12zj6axq1sk5,C. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
