id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2521269185,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-03-18T05:12:59.282Z,2023-03-18T05:58:16Z,4103902117,59,"20, 39, 3, 6, 25, 5, 7, 32, 9, 17, 4, 1, 2, 8, 14, 18, 19, 22",4103902115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4103902119,130,2,4103960443,197,869,4103902125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103902113,30,"4epapct9t0a0skf8522jyerjd, b64xe0hw5h2k79a52awusbkve, ccof41jyzj4bnh14u8goyjutx, 37ymn40mii3xfovk1iyg6mthx, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, 1u9k9c9uuoj9ktx8ctacv2ajt, 9lh56gt4nxb29rm416rb6lv1m, 62ln44wo6iw2dweq0aqq04ded, 6lu5jfgq3rxunqnbbxpu8ztyi, 305har0fmf8wye7e3wbpfqcid, 30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, 8q4a3xz1plwm6f06jawwvo5ih, uqoseczs2k03doablx2zuusq, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 8d9kq8ab5olsc1w1swicqemay",4103902123,194,bpm5mr9bgqdsnc5cesnf2ga1h,4103902121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521270083,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-18T05:15:58.240Z,2023-03-18T06:36:03Z,4103906819,130,6,4103906825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103906817,59,"13, 2, 14, 6, 29, 5, 28, 4, 22, 7, 16, 3, 19, 30, 36, 37, 43",4103906815,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4103906823,194,68mqljqiwgzgextvvyncb3avp,4103960679,197,17190,4103906821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4103906813,30,"1vr7xk50jy6ytnogke8h6ciga, 5pjrdhytzrteyqxxcvxxhjqax, 8gzsegmgy3fjcluzdci515j2t, 5ik9yg42hblwa27q4p29awyj9, adhfs6658xx5hpxur1496kv6d, 68mqljqiwgzgextvvyncb3avp, 1smjjhc426d9s9ly2g41cqvl6, 9sczcrp79182vio8prnrw5kdm, 2tveu4wl8zdno0v950r0r34k5, cufgsqfkltgeb7ak2uan2dqdx, 4wk0sw7u4c17v2owhx5bhmusq, 5c8v9xugyq3jm2kik1eeoptnu, 869lv47g5aohwwzeyzx9xmt7u, dq73n90z7dgfp2bhh7y3d8161, 4oqiyxgv3i7lhki54wqjtyqz8, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281099,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-18T06:02:19.141Z,2023-03-18T06:02:19Z,4103961947,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281105,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-03-18T06:02:19.141Z,2023-03-18T13:08:46Z,4103961965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281113,3,1,1,0,1,chu9blh367xs3yumct5tqto2q,1,50.1,50,2023-03-18T06:02:20.241Z,2023-03-18T13:09:02Z,4103961991,141,53.6,4103961993,212,5.8,4103961995,213,2.7,4103961989,140,45.1,4103961997,279,S,4103961987,56,Back,,,,,,,62ln44wo6iw2dweq0aqq04ded,B. Mikeltadze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281123,4,1,1,0,3,chu9blh367xs3yumct5tqto2q,1,45.3,53.6,2023-03-18T06:02:22.261Z,2023-03-18T06:02:23Z,4103962031,141,68.1,4103962027,56,Back,4103962033,212,9.9,4103962029,140,45.3,4103962035,213,1.6,,,,,,,,,,6lu5jfgq3rxunqnbbxpu8ztyi,K. Grozos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281129,5,1,1,0,4,chu9blh367xs3yumct5tqto2q,1,45.3,68.1,2023-03-18T06:02:23.829Z,2023-03-18T06:02:25Z,4103962059,140,43.0,4103962063,212,12.0,4103962065,213,1.8,4103962061,141,85.4,4103962057,56,Back,,,,,,,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281133,6,1,1,0,5,chu9blh367xs3yumct5tqto2q,1,43,85.4,2023-03-18T06:02:25.093Z,2023-03-18T06:02:27Z,4103962075,140,31.0,4103962077,141,72.9,4103962073,56,Back,4103962081,213,3.7,4103962079,212,15.2,,,,,,,,,,ccof41jyzj4bnh14u8goyjutx,J. Hoffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281157,7,1,1,0,8,chu9blh367xs3yumct5tqto2q,1,31.4,72.1,2023-03-18T06:02:27.686Z,2023-03-18T06:02:34Z,4103962145,56,Back,4103962147,140,30.2,4103962151,212,28.0,4103962153,213,4.7,4103962149,141,30.9,,,,,,,,,,bpm5mr9bgqdsnc5cesnf2ga1h,M. Jurman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281161,8,3,1,0,14,chu9blh367xs3yumct5tqto2q,0,35.4,19.2,2023-03-18T06:02:34.117Z,2023-03-18T13:37:38Z,4103962189,233,3,4103962163,286,,4104913695,465,,4103962161,56,Back,,,,,,,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
