id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/12/value,qualifier/14/value,qualifier/16/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2496833553,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-01-13T07:41:52.470Z,2023-01-13T09:12:38Z,3975031631,130,8,3975042375,197,9894,3975031635,194,1nrqzt5f33akpl06zanky83bp,3975031629,59,"12, 44, 13, 8, 6, 5, 37, 11, 9, 10, 35, 1, 2, 17, 24, 27, 94, 99",3975031627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3975031633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3975031637,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975031625,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, ceea6ndbo2sq5cvucg5j31oq2, qdjzxk5jrjnbbq6edbavp2p5, c3u652s3v8u1q4qid5mkbtyw9, f3z4grszald48qd1fidjycidw, 7gt275zxk4hkh4zvdtmo3xpzp, du99hpqe1ikml2wohv8ei0hxx, 1nrqzt5f33akpl06zanky83bp, am6xykrxjymw2qpqli6upysq, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, 6cke7ckocw7epjg5gj6exuytx, brm3r6uywyf21o3cnuizwofvu, 6f9jrka1qz3j5mfx4x3a5ubfu, cz6tcx6dqmlj45s9d9wxvcnh1, ebsxh1pvxhmt8olxtapkrf7xl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496833645,1,34,16,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2023-01-13T07:42:46.771Z,2023-01-13T08:42:08Z,3975032121,194,bgl8h2ygh9ztbnzt79wv178ph,3975032115,59,"20, 15, 18, 4, 25, 3, 11, 13, 9, 98, 7, 2, 6, 21, 22, 24, 27, 90",3975042525,197,877,3975032119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3975032113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3975032117,130,6,3975032111,30,"bgl8h2ygh9ztbnzt79wv178ph, 8h8ihiytz6xko4a4fzrpqz8ph, b8ptjj6m4jh83ixhtny9o2v4k, 4p3oumqahcdjl66oqw3jwjsdm, 6iohupgr9c0l4xy19b02kgsx6, 5l9ozhnxtdp4w8dawcskpx5ud, e5ycwhcy49624czidh67ihiad, 3hfu7zxdbwlshk4wc87379ul0, 4l0se1iapxcmd1jb4851aj6c5, 36gq011by1cjkem274ahdfg89, b3wugaop1bb4php1irwf6zqei, b64xe0hw5h2k79a52awusbkve, 7qwmlcxsxlxmq01g7dkt7v14a, 34dwjcubokyikikcect9v4wve, 7hew5ue5j22q9voqfewjcrgus, 7ucilzbc870tvzy8iqxlk8kbt, 6qtiz00ou6a6raf4nbxg87z84, 1udr2rsx6qqszasls0ghqll",3975032123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835523,2,32,1,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2023-01-13T08:45:12.051Z,2023-01-13T08:45:12Z,3975043193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835527,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-01-13T08:45:12.051Z,2023-02-08T11:48:52Z,3975043201,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835531,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,50,50.1,2023-01-13T08:45:12.151Z,2023-01-14T11:25:51Z,3975043217,279,S,3975043213,212,6.3,3975043215,213,3.6,3975043209,140,44.6,3975043207,56,Back,3975043211,141,46.2,,,,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835537,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,0,45.9,51.3,2023-01-13T08:45:14.216Z,2023-01-14T11:26:04Z,3975043251,212,43.9,3975043247,140,72.1,3975043249,141,100.0,3975043243,155,,3975043255,1,,3975043245,56,Left,3975043253,213,0.9,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835543,3,5,1,0,4,c4ygb6mnh53kpl2mpxe52l8jw,1,25.2,-1.6,2023-01-13T08:45:17.004Z,2023-01-13T09:30:10Z,3975043285,56,Back,3975043291,233,5,3975043287,347,,,,,,,,,,,,,,,,,8h8ihiytz6xko4a4fzrpqz8ph,S. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835539,5,5,1,0,4,7jv344gvcvgqg7oeuc9u554dm,0,74.8,101.6,2023-01-13T08:45:17.004Z,2023-01-13T08:45:27Z,3975043259,347,,3975043257,56,Left,3975043295,233,3,,,,,,,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835549,4,1,1,0,14,c4ygb6mnh53kpl2mpxe52l8jw,1,24.4,0,2023-01-13T08:45:26.521Z,2023-01-13T08:45:38Z,3975043321,1,,3975043309,107,,3975043317,212,23.3,3975043313,140,40.8,3975043319,213,0.7,3975043315,141,21.8,3975043311,56,Back,3975043393,189,,8h8ihiytz6xko4a4fzrpqz8ph,S. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835553,5,1,1,0,15,c4ygb6mnh53kpl2mpxe52l8jw,0,40.8,21.8,2023-01-13T08:45:27.345Z,2023-02-08T11:53:22Z,3975043327,140,42.2,3975043329,141,19.7,3975043333,213,5.5,3975043325,56,Back,3975043331,212,2.0,,,,,,,,,,b3wugaop1bb4php1irwf6zqei,S. Silvera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835551,6,49,1,0,18,7jv344gvcvgqg7oeuc9u554dm,1,56.2,77.2,2023-01-13T08:45:30.512Z,2023-01-13T08:45:30Z,,,,,,,,,,,,,,,,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835557,7,1,1,0,18,7jv344gvcvgqg7oeuc9u554dm,1,56.2,77.2,2023-01-13T08:45:30.818Z,2023-01-13T08:45:33Z,3975043345,141,53.0,3975043349,213,5.1,3975043343,140,61.8,3975043347,212,17.5,3975043341,56,Center,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835561,8,4,1,0,21,7jv344gvcvgqg7oeuc9u554dm,1,63.5,46,2023-01-13T08:45:33.136Z,2023-01-13T08:45:36Z,3975043355,13,,3975043357,56,Center,3975043363,286,,3975043359,152,,3975043381,233,6,3975043361,265,,,,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835563,6,4,1,0,21,c4ygb6mnh53kpl2mpxe52l8jw,0,36.5,54,2023-01-13T08:45:33.137Z,2023-01-13T08:45:36Z,3975043371,13,,3975043379,285,,3975043373,56,Back,3975043377,265,,3975043385,233,8,3975043375,152,,,,,,,,3hfu7zxdbwlshk4wc87379ul0,H. Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835573,9,1,1,0,39,7jv344gvcvgqg7oeuc9u554dm,1,60.7,47.9,2023-01-13T08:45:51.217Z,2023-02-08T11:55:24Z,3975043441,5,,3975043451,212,15.0,3975043449,141,30.1,3975043447,140,52.2,3975043443,152,,3975043445,56,Center,3975043453,213,4.1,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496835575,10,1,1,0,41,7jv344gvcvgqg7oeuc9u554dm,1,52.2,30.1,2023-01-13T08:45:53.745Z,2023-01-13T08:45:55Z,3975043467,213,4.8,3975043463,212,14.7,3975043459,140,53.7,3975043457,56,Right,3975043461,141,8.6,,,,,,,,,,qdjzxk5jrjnbbq6edbavp2p5,T. Uskok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
