id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2536894105,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-04-22T08:28:20.812Z,2023-04-22T09:57:02Z,4207621761,194,8wbljx8706rh6uyhf8eegl1w5,4207621759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4207621757,130,4,4207621765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207621763,197,886,4207621751,30,"77gcx1qotysu9hbi2hw2gjsvd, cqoz8o1pse9uspkqvq3cmges5, bwxn7o8ved1xo5bmfkfgzekiy, 8wbljx8706rh6uyhf8eegl1w5, bdo2grdx1mgm63gii3zar50id, ze75933qynqbr4gupkz6xzo5, bcytv86dp6kqrsosu6gck9q7d, 5he6zl0hg2jxsb2m624xlum6t, 31v9w4cyk1fxlig452kuc65ed, af7c4t8wp0341io4x0dl02ac5, c00r3yls3lf245nbo93m9d6cq, 7cdvlgpi8g3e8ttspzvr1k251, 7q8urr40blud747zzb3io8w5x, 5wz8hmh6szarsa6j0thdxeane, aeberiw2itt147h2mpjvd5rai, 5wivkupbnot9s6z48c31an42y, chx78g4kh1xfr7wp84etip016, 5vn0zyf02eewx7nrkhnhchrmc",4207621753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4207621755,59,"1, 2, 38, 3, 6, 4, 13, 10, 9, 15, 23, 7, 8, 18, 25, 33, 35, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536898225,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-04-22T08:49:19.110Z,2023-04-22T09:41:13Z,4207645507,197,6264,4207645495,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, 6f92up63vg0nzl9qqlm0rl6uh, 8alirbm4n482p155zi3174fyt, 6xe2j75i29sgwbu11cp526uad, cfkv8xhbb3j2e0wulp49i1jvt, ak7gkgt0ysr3p9e5vvq036i8l, dpre9cmklv12i80xbyqnku505, bfw1ktidkogubiuvx2c0qqtbd, cqwfvlrzbld40ce3s1qmdniz9, d2xblktxmr8illac50p2gcmhh, 34dwjcubokyikikcect9v4wve, 8wrppgiwivlivxryo6rvocamt, 68z86n999vjdyb7mlj8nnlp05, 8yyosfgv4yj0g7k2rwk743fft, 8sknvoifu8w9wpso5xije0b56, bknqxl16j0tm4dggbwjmzb2t",4207645509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207645505,194,bj77m6u2q7jd9nf67dleq2tp1,4207645497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4207645503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4207645499,59,"1, 19, 17, 21, 6, 44, 5, 10, 99, 8, 11, 4, 9, 14, 23, 37, 38, 88",4207645501,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910063,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-04-22T09:55:16.288Z,2023-04-22T09:55:16Z,4207703461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910059,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-04-22T09:55:16.288Z,2023-04-23T12:55:24Z,4207703451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910073,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,49.9,49.9,2023-04-22T09:55:16.388Z,2023-04-22T09:55:19Z,4207703491,141,56.1,4207703495,213,2.9,4207703493,212,18.8,4207703487,56,Back,4207703489,140,32.5,4207703497,279,S,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910077,4,1,1,0,2,c33jm806py6adse5wv9wx6ch1,1,32.9,55.8,2023-04-22T09:55:18.900Z,2023-04-22T09:55:21Z,4207703521,213,1.8,4207703517,141,64.0,4207703515,140,31.7,4207703513,56,Back,4207703519,212,5.7,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910081,5,1,1,0,4,c33jm806py6adse5wv9wx6ch1,1,33.5,62.3,2023-04-22T09:55:21.284Z,2023-04-22T10:01:52Z,4207703583,141,5.5,4207703585,212,63.2,4207703577,155,,4207703579,56,Right,4207703581,140,81.2,4207703587,213,5.6,4207703589,1,,,,,8wbljx8706rh6uyhf8eegl1w5,S. Jamieson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910083,6,61,1,0,9,c33jm806py6adse5wv9wx6ch1,0,81,5.5,2023-04-22T09:55:25.612Z,2023-04-22T09:55:26Z,4207703593,56,Right,,,,,,,,,,,,,,,,,,,,,,af7c4t8wp0341io4x0dl02ac5,A. Nabbout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910079,3,5,1,0,9,7p460lrzt1kmp4rsofqa47eqy,1,19.6,101.5,2023-04-22T09:55:25.684Z,2023-04-22T09:55:32Z,4207703565,56,Back,4207703607,233,7,4207703567,347,,,,,,,,,,,,,,,,,dpre9cmklv12i80xbyqnku505,A. Prijović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910085,7,5,1,0,9,c33jm806py6adse5wv9wx6ch1,0,80.4,-1.5,2023-04-22T09:55:25.684Z,2023-04-22T10:00:53Z,4207703605,347,,4207703603,56,Right,4207703611,233,3,,,,,,,,,,,,,,,,af7c4t8wp0341io4x0dl02ac5,A. Nabbout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
