id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist
2484414195,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2022-11-12T07:54:30.514Z,2022-11-12T08:58:14Z,3909502007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3909501999,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 974s3rwvb2ls1k1no4hlaz8ph, 4ehmmuuxljgliiz7f7298h61h, 9634dv110vlqnf02k4yif14np, 49ctudxdwjkrhz6n3ykjpmdey, 4rg5d1oo8rtclemhci81i6xg5, c18ruk8qqfggqv7s0mzyq6yhg, cuaqqokt0c82wz0bc0tt10rxm, c243bbqbc7agln9jpv0faa6dx, aiehjyb5unahdn0somr3ewa1h, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, d3ghkzq3ztaeno4lh8sj7o86i, bu8z6ig5wrrtgsm1qhe4fxe51, ctrffnfu5yqmqf9nqyex5ky22, 1jztjm4e2ram1rrx1meaqu44q, emzxhx2ki2r67c5l33hfv8844",3909502003,59,"1, 23, 18, 26, 2, 29, 11, 16, 12, 17, 10, 19, 20, 21, 22, 25, 27, 28",3909502011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3909502001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3909502005,130,7,3909519253,197,868,3909502009,194,4ehmmuuxljgliiz7f7298h61h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484414255,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-11-12T07:56:04.142Z,2022-11-12T08:57:09Z,3909502391,59,"20, 2, 3, 28, 5, 6, 26, 17, 10, 11, 9, 1, 7, 12, 19, 23, 35, 36",3909502395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3909502387,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, dreyp9vpkgl8t38erpkrfwsbu, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, pc2pewu255axe28t955qjcnp, 9xqw0h9piwsalgt47y5m6fr2t, e8iey6bpyyfd0u8lovucrc2xh, 2tmu6esf1xub0sja4gwnakvyt, evh60twv2ab6si0q78fqi9coa, af9qi36c0nm8eso8z5ah8yyuh, 5p3y4bh0mdmymeceltd1fpw8a, 1x6l08ntcq6rpjghegacvtbzd, d0f8dmnejzbjc7dfg14u8yv6y, 1yqlkot5sh85ot3eemo67djv9, v9xcxlic45xllm9t5gvxf1ii, 9vu1fxor0nsvt0n80zn2wtgtm",3909502399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3909502389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3909519079,197,891,3909502397,194,6xvmp9q79f0fjjtvd6rcz00d1,3909502393,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417543,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2022-11-12T08:51:31.612Z,2022-11-13T11:39:16Z,3909525729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417529,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-11-12T08:51:31.612Z,2022-11-12T08:51:31Z,3909525671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417545,3,1,1,0,1,6h553bwfqkoxayuv80uikkn42,1,50,50,2022-11-12T08:51:32.712Z,2022-11-13T08:55:20Z,3909525733,140,47.3,3909525737,212,2.9,3909525741,279,S,3909525739,213,2.9,3909525735,141,50.9,3909525731,56,Back,,,,,,,2tmu6esf1xub0sja4gwnakvyt,S. Krpić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417553,4,1,1,0,2,6h553bwfqkoxayuv80uikkn42,1,48.4,49.6,2022-11-12T08:51:34.298Z,2022-11-12T08:51:37Z,3909525783,155,,3909525795,212,32.3,3909525799,1,,3909525797,213,5.6,3909525789,140,72.8,3909525793,141,20.6,3909525785,56,Right,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417557,5,61,1,0,4,6h553bwfqkoxayuv80uikkn42,0,72.8,20.6,2022-11-12T08:51:35.969Z,2022-11-13T10:15:49Z,3909525803,56,Right,,,,,,,,,,,,,,,,,,,,,,pc2pewu255axe28t955qjcnp,B. Borello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417571,4,49,1,0,5,38ui5tfi8anjuh533emny2tz1,1,20.9,78.9,2022-11-12T08:51:37.248Z,2022-11-12T08:53:57Z,,,,,,,,,,,,,,,,,,,,,,,,,974s3rwvb2ls1k1no4hlaz8ph,Diego Caballo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417569,3,1,1,0,6,38ui5tfi8anjuh533emny2tz1,1,23.8,76.3,2022-11-12T08:51:38.216Z,2022-11-12T08:53:52Z,3909525861,213,6.2,3909525857,141,73.8,3909528275,155,,3909525859,212,13.7,3909525851,56,Back,3909525855,140,36.7,,,,,,,974s3rwvb2ls1k1no4hlaz8ph,Diego Caballo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484417575,5,61,1,0,7,38ui5tfi8anjuh533emny2tz1,0,34.6,78.1,2022-11-12T08:51:38.831Z,2022-11-12T08:59:37Z,3909525879,56,Back,,,,,,,,,,,,,,,,,,,,,,c243bbqbc7agln9jpv0faa6dx,A. Cáceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
