id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value
2520874411,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-17T07:34:57.355Z,2023-03-17T08:47:44Z,4101795501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4101795499,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 4bkh8hka55xcxf9krl9ga4iui, 9l5seuy6ggcvpqnt5ekxn1pii, 86sqmnbenft8ugq57q2i2wzbp, 4j4nenchzzxi4a96o7jqdpgid, 3qwtpnlm38xo5f1u36a30kus5, evf4z0xf7cd5nidnq6q4x8w7o, 2kig0lwusomobls6p3am0l7qi, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 6b31g4lw3ste6xrg1kwwn5iol, 5eqoaq3vo99bk6w8rda67iw6i, btbsot4krojohgz7cjpoqc9p0, a5y5w6rclo7jen1tg6xhfgewa, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",4101795511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4101795507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4101795509,194,8wt0rz1iw4aon12zj6axq1sk5,4101831491,197,874,4101795505,130,8,4101795503,59,"46, 21, 7, 18, 13, 4, 10, 8, 35, 6, 11, 1, 9, 36, 37, 41, 55, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520874811,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-03-17T07:36:47.843Z,2023-03-17T08:42:10Z,4101797039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4101797037,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, ak2u5d2qrp9ka1b8qyy9ne3md, 4ljmkn447genzakxxuzkn5iol, 3sqlv5wy64mmcnmr5bepafefp, dkqmon0xrrwdhcy66htkf1xwp, 30xc2y82d5xu8hkfhqrjw1z9x, 42xmd4lhr1zub89n0ormclv4l, 7wy9lh4qgnim12456qttxn85, 7ex2ik73ntprjkatncipscudx, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, avp78eu4gzmfcrpsnqglvwnah, b1hpmuxmbcegdii4cbq5l8kwl, 578n9sc6cucs81focurtu36c5, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4101797045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4101797043,130,2,4101797041,59,"20, 17, 12, 14, 4, 6, 31, 5, 10, 7, 11, 8, 13, 19, 21, 23, 24, 40",4101830819,197,882,4101797047,194,ak2u5d2qrp9ka1b8qyy9ne3md,4101797049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882331,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-17T08:45:56.111Z,2023-03-18T08:25:34Z,4101833433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882341,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-03-17T08:45:56.111Z,2023-03-17T08:45:57Z,4101833459,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882361,3,1,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,49.5,49.1,2023-03-17T08:45:56.211Z,2023-03-17T08:46:02Z,4101833557,213,3.1,4101833559,279,S,4101833551,140,39.2,4101833555,212,10.8,4101833549,56,Back,4101833553,141,49.4,,,,,,,evf4z0xf7cd5nidnq6q4x8w7o,L. Jovanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882381,4,1,1,0,5,6lezh5aazy0xca1800e5dqxwl,1,43.5,43.7,2023-03-17T08:46:02.036Z,2023-03-17T08:46:05Z,4101833633,213,4.8,4101833625,140,44.7,4101833623,56,Back,4101833627,141,18.2,4101833629,212,17.4,,,,,,,,,,3qwtpnlm38xo5f1u36a30kus5,Isaías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882389,5,1,1,0,9,6lezh5aazy0xca1800e5dqxwl,1,55.1,19.2,2023-03-17T08:46:05.684Z,2023-03-17T08:46:07Z,4101833683,213,6.1,4101833677,140,62.4,4101833679,141,17.4,4101833675,56,Right,4101833681,212,7.8,,,,,,,,,,5c2z04q3s8o3p3718hiluxzo5,Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882397,6,1,1,0,11,6lezh5aazy0xca1800e5dqxwl,1,62.4,17.4,2023-03-17T08:46:07.779Z,2023-03-17T08:46:08Z,4101833711,141,10.4,4101833707,56,Right,4101833715,213,4.1,4101833713,212,6.0,4101833709,140,58.9,,,,,,,,,,2kig0lwusomobls6p3am0l7qi,L. D'Arrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882421,7,1,1,0,12,6lezh5aazy0xca1800e5dqxwl,1,58.9,10.4,2023-03-17T08:46:08.835Z,2023-03-17T08:46:11Z,4101833805,56,Right,4101833815,213,2.0,4101833811,212,7.9,4101833807,140,55.6,4101833809,141,20.9,,,,,,,,,,4j4nenchzzxi4a96o7jqdpgid,Z. Clough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520882437,8,1,1,0,15,6lezh5aazy0xca1800e5dqxwl,1,58,24.7,2023-03-17T08:46:11.731Z,2023-03-17T08:46:19Z,4101833939,212,53.1,4101833937,141,93.8,4101833943,1,,4101833929,196,,4101833935,140,81.5,4101833933,56,Left,4101833941,213,1.1,4101833925,155,,5c2z04q3s8o3p3718hiluxzo5,Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
