id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/14/value,qualifier/15/value
2534295163,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-04-16T03:57:17.966Z,2023-04-17T22:31:32Z,4193852471,59,"13, 21, 14, 19, 15, 29, 43, 8, 22, 16, 7, 3, 4, 28, 30, 31, 36, 37",4193852475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4193852481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193852473,130,8,4193852477,194,7vq2cctowa657lg0v740lhtjp,4193852479,197,17190,4193852467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4193852465,30,"1vr7xk50jy6ytnogke8h6ciga, 982owm0ccito2d1x2pkvpqeh, 8gzsegmgy3fjcluzdci515j2t, 869lv47g5aohwwzeyzx9xmt7u, 4hudkn0jcog2v9q8qv1vngij9, adhfs6658xx5hpxur1496kv6d, d1vlidmmd1z2oc6h24i2v5fro, 7vq2cctowa657lg0v740lhtjp, 2tveu4wl8zdno0v950r0r34k5, 4wk0sw7u4c17v2owhx5bhmusq, cufgsqfkltgeb7ak2uan2dqdx, 5c8v9xugyq3jm2kik1eeoptnu, 9sczcrp79182vio8prnrw5kdm, 1smjjhc426d9s9ly2g41cqvl6, dq73n90z7dgfp2bhh7y3d8161, dz856cksw5ui8gsh7k48y1fdg, 4oqiyxgv3i7lhki54wqjtyqz8, bnpu23zlwzn5gtr4t8j8qtnh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534296669,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-04-16T04:01:08.146Z,2023-04-16T04:01:07Z,4193861099,197,868,4193861089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4193861095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4193861087,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 9dxuc4hj1ovd3mpjrxombnm22, 4ehmmuuxljgliiz7f7298h61h, 7nkjqwtji300a54ubhxn5f179, bgzao2jp59jygdic68s5iudat, bu8z6ig5wrrtgsm1qhe4fxe51, c243bbqbc7agln9jpv0faa6dx, b255io6lia16l5dzuxfpruhud, aiehjyb5unahdn0somr3ewa1h, 4rg5d1oo8rtclemhci81i6xg5, 9634dv110vlqnf02k4yif14np, cr52lkk2tjwlz0gd34b0klyad, cuaqqokt0c82wz0bc0tt10rxm, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, ctrffnfu5yqmqf9nqyex5ky22, emzxhx2ki2r67c5l33hfv8844",4193861091,59,"1, 23, 3, 26, 6, 4, 22, 17, 9, 10, 11, 2, 8, 12, 19, 20, 25, 28",4193861093,130,4,4193861097,194,bgzao2jp59jygdic68s5iudat,4193861101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311633,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-04-16T05:00:46.221Z,2023-04-17T21:29:06Z,4193959343,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311637,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-04-16T05:00:46.221Z,2023-04-16T05:00:48Z,4193959349,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311651,3,1,1,0,0,38ui5tfi8anjuh533emny2tz1,1,50.2,50,2023-04-16T05:00:46.321Z,2023-04-16T05:00:49Z,4193959411,212,13.3,4193959405,56,Back,4193959409,141,49.9,4193959415,279,S,4193959407,140,37.5,4193959413,213,3.1,,,,,,,b255io6lia16l5dzuxfpruhud,A. Le Fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311657,4,1,1,0,3,38ui5tfi8anjuh533emny2tz1,0,36.9,43.1,2023-04-16T05:00:49.544Z,2023-04-16T05:00:52Z,4193959475,56,Right,4193959483,213,5.4,4193959473,155,,4193959477,140,61.2,4193959485,1,,4193959481,212,39.9,4193959479,141,0.0,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311703,3,5,1,0,6,cuj4qahgk4idsme4dg8clk6gw,1,37,101.8,2023-04-16T05:00:52.532Z,2023-04-16T05:08:04Z,4193959741,233,5,4193959727,347,,4193959725,56,Back,,,,,,,,,,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311659,5,5,1,0,6,38ui5tfi8anjuh533emny2tz1,0,63,-1.8,2023-04-16T05:00:52.532Z,2023-04-16T05:01:01Z,4193959487,56,Right,4193959489,347,,4193959775,233,3,,,,,,,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311717,4,1,1,0,13,cuj4qahgk4idsme4dg8clk6gw,1,43.2,100,2023-04-16T05:00:59.652Z,2023-04-17T21:37:44Z,4193959829,212,14.8,4193959821,107,,4193959825,140,56.8,4193959827,141,96.0,4193959823,56,Left,4193959831,213,6.0,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534311719,5,1,1,0,16,cuj4qahgk4idsme4dg8clk6gw,0,63.3,93.2,2023-04-16T05:01:02.309Z,2023-04-16T05:11:25Z,4193959845,168,,4193959851,141,88.4,4193959849,140,71.2,4193959855,213,5.9,4193959843,3,,4193959847,56,Left,4193959853,212,8.9,,,,cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
