id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,assist
2527189687,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-04-02T04:07:29.561Z,2023-04-02T06:18:36Z,4156078629,130,4,4156078635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156078631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156078627,59,"1, 4, 38, 3, 6, 22, 14, 13, 9, 23, 15, 2, 10, 18, 25, 35, 37, 40",4156078625,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4156078633,194,8wbljx8706rh6uyhf8eegl1w5,4156128155,197,886,4156078623,30,"77gcx1qotysu9hbi2hw2gjsvd, ze75933qynqbr4gupkz6xzo5, bwxn7o8ved1xo5bmfkfgzekiy, 8wbljx8706rh6uyhf8eegl1w5, bdo2grdx1mgm63gii3zar50id, dnpala3bol8svyc2awng6iv9x, 446scvw0ckoxnvnsqcqocve1h, bcytv86dp6kqrsosu6gck9q7d, 31v9w4cyk1fxlig452kuc65ed, c00r3yls3lf245nbo93m9d6cq, af7c4t8wp0341io4x0dl02ac5, cqoz8o1pse9uspkqvq3cmges5, 5he6zl0hg2jxsb2m624xlum6t, 5wz8hmh6szarsa6j0thdxeane, aeberiw2itt147h2mpjvd5rai, chx78g4kh1xfr7wp84etip016, 5vn0zyf02eewx7nrkhnhchrmc, 4e2w8rbyegbr4hojlzu0jqyvo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527190283,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-04-02T04:10:13.504Z,2023-04-02T05:04:24Z,4156082341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156082333,130,8,4156127513,197,873,4156082325,30,"4epapct9t0a0skf8522jyerjd, b64xe0hw5h2k79a52awusbkve, dmk1iij050mf8g3sdc3cvhazt, 37ymn40mii3xfovk1iyg6mthx, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, 6lu5jfgq3rxunqnbbxpu8ztyi, 9lh56gt4nxb29rm416rb6lv1m, ukb790rcuwjsylvtyu822prd, 1u9k9c9uuoj9ktx8ctacv2ajt, 62ln44wo6iw2dweq0aqq04ded, 30x4bcy7zsqgreti63wpds0yd, ccof41jyzj4bnh14u8goyjutx, 305har0fmf8wye7e3wbpfqcid, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 8d9kq8ab5olsc1w1swicqemay, 3gpp1g8587gh95uzripmv9pwq",4156082331,59,"20, 39, 2, 6, 25, 5, 17, 32, 10, 7, 9, 1, 3, 4, 18, 19, 22, 33",4156082335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156082339,194,bpm5mr9bgqdsnc5cesnf2ga1h,4156082329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198569,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-04-02T05:01:16.566Z,2023-04-02T05:01:18Z,4156131887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198567,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-04-02T05:01:16.566Z,2023-04-02T05:01:16Z,4156131885,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198579,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,49.9,49.9,2023-04-02T05:01:16.835Z,2023-04-02T05:01:20Z,4156131941,213,3.3,4156131933,56,Back,4156131935,140,39.6,4156131937,141,47.8,4156131939,212,10.9,4156131943,279,S,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198593,4,1,1,0,3,c33jm806py6adse5wv9wx6ch1,1,39.3,47.8,2023-04-02T05:01:20.365Z,2023-04-02T05:52:32Z,4156131993,140,52.3,4156131989,56,Right,4156131999,213,5.1,4156131997,212,33.5,4156132001,1,,4156131995,141,2.8,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198595,5,1,1,0,6,c33jm806py6adse5wv9wx6ch1,1,52,3.1,2023-04-02T05:01:22.685Z,2023-04-02T05:01:24Z,4156132017,140,33.7,4156132015,56,Back,4156132021,141,7.0,4156132025,212,19.4,4156132027,213,3.0,,,,,,,,,,c00r3yls3lf245nbo93m9d6cq,M. Tilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198611,6,1,1,0,7,c33jm806py6adse5wv9wx6ch1,1,32.5,9.1,2023-04-02T05:01:24.549Z,2023-04-02T05:01:30Z,4156132107,212,18.7,4156132105,141,26.8,4156132101,56,Back,4156132103,140,18.9,4156132109,213,2.4,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198625,7,1,1,0,13,c33jm806py6adse5wv9wx6ch1,1,14.7,28.6,2023-04-02T05:01:30.078Z,2023-04-02T05:01:33Z,4156132181,212,21.3,4156132183,213,1.9,4156132179,141,58.4,4156132177,140,8.6,4156132175,56,Back,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198643,8,1,1,0,16,c33jm806py6adse5wv9wx6ch1,1,8.7,67.3,2023-04-02T05:01:33.454Z,2023-04-02T05:01:37Z,4156132297,141,86.8,4156132291,56,Back,4156132295,140,14.3,4156132305,213,1.2,4156132301,212,14.5,,,,,,,,,,77gcx1qotysu9hbi2hw2gjsvd,T. Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198651,9,1,1,0,20,c33jm806py6adse5wv9wx6ch1,1,15.5,88.6,2023-04-02T05:01:37.494Z,2023-04-02T05:01:39Z,4156132353,141,64.2,4156132349,56,Back,4156132357,213,4.1,4156132351,140,3.8,4156132355,212,20.6,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198657,10,1,1,0,22,c33jm806py6adse5wv9wx6ch1,1,3.5,63.4,2023-04-02T05:01:39.542Z,2023-04-02T05:01:44Z,4156132415,141,31.8,4156132411,56,Back,4156132417,212,21.5,4156132413,140,4.4,4156132419,213,4.8,,,,,,,,,,77gcx1qotysu9hbi2hw2gjsvd,T. Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527198661,11,1,1,0,27,c33jm806py6adse5wv9wx6ch1,0,7.2,16.2,2023-04-02T05:01:44.014Z,2023-04-02T05:01:46Z,4156132447,155,,4156132455,212,29.0,4156132451,140,33.5,4156132457,213,0.3,4156132449,56,Back,4156132453,141,29.1,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
