id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value
2481487173,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2022-11-05T04:36:18.554Z,2022-11-05T05:59:58Z,3894248019,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3894366835,197,886,3894248027,194,31v9w4cyk1fxlig452kuc65ed,3894248023,130,2,3894248025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3894248029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894248021,59,"1, 25, 38, 8, 4, 22, 23, 13, 9, 14, 7, 2, 3, 15, 16, 18, 33, 36",3894248017,30,"77gcx1qotysu9hbi2hw2gjsvd, aeberiw2itt147h2mpjvd5rai, bwxn7o8ved1xo5bmfkfgzekiy, 7q8urr40blud747zzb3io8w5x, ze75933qynqbr4gupkz6xzo5, dnpala3bol8svyc2awng6iv9x, c00r3yls3lf245nbo93m9d6cq, bcytv86dp6kqrsosu6gck9q7d, 31v9w4cyk1fxlig452kuc65ed, 446scvw0ckoxnvnsqcqocve1h, 7cdvlgpi8g3e8ttspzvr1k251, cqoz8o1pse9uspkqvq3cmges5, 8wbljx8706rh6uyhf8eegl1w5, af7c4t8wp0341io4x0dl02ac5, 7nhzkoa6bywrlkj9nc3f5ylii, 5wz8hmh6szarsa6j0thdxeane, 5wivkupbnot9s6z48c31an42y, 1q1gfw2mh9tb52nvg2ilxvxwq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481487401,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2022-11-05T04:39:25.397Z,2022-11-05T06:04:42Z,3894249031,59,"33, 36, 14, 4, 29, 5, 7, 19, 11, 20, 10, 12, 23, 30, 37, 43, 77",3894249035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3894249039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894249027,30,"90cmfctiu1b17s790t26ddcd1, 4oqiyxgv3i7lhki54wqjtyqz8, 8gzsegmgy3fjcluzdci515j2t, 9sczcrp79182vio8prnrw5kdm, adhfs6658xx5hpxur1496kv6d, 68mqljqiwgzgextvvyncb3avp, cufgsqfkltgeb7ak2uan2dqdx, 869lv47g5aohwwzeyzx9xmt7u, cvdhc9zsyh87cn8hbc9f4hjp, 1e1wh213cg8q6lsqa3kvbjdka, f35u25047d9vmzt6j20fd29cl, djz5cm1g7ouen2y4o7w35jbl6, 5twougbt4bs0s6f7l6osmvh1, dq73n90z7dgfp2bhh7y3d8161, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro, 3sp7zm2r3v81h4rxprphfmdt6",3894249033,130,8,3894366097,197,884,3894249037,194,68mqljqiwgzgextvvyncb3avp,3894249029,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508787,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2022-11-05T06:00:04.850Z,2022-11-05T06:00:05Z,3894366875,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508789,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2022-11-05T06:00:04.850Z,2022-11-07T14:51:31Z,3894366881,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508799,3,1,1,0,1,cuj4qahgk4idsme4dg8clk6gw,1,49.9,50.1,2022-11-05T06:00:05.950Z,2022-11-06T10:27:58Z,3894366925,213,3.0,3894366917,56,Back,3894366921,141,53.9,3894366923,212,16.7,3894366919,140,34.2,3894366927,279,S,,,,,,,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508807,4,1,1,0,2,cuj4qahgk4idsme4dg8clk6gw,0,34.1,54.2,2022-11-05T06:00:07.608Z,2022-11-06T10:28:06Z,3894366967,212,62.3,3894366963,140,81.7,3894366965,141,0.0,3894366969,213,5.6,3894366961,56,Right,3894366959,155,,3894366971,1,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508821,3,5,1,0,7,c33jm806py6adse5wv9wx6ch1,1,16.2,101,2022-11-05T06:00:12.189Z,2022-11-05T06:00:21Z,3894367025,56,Back,3894367031,233,5,3894367027,347,,,,,,,,,,,,,,,,,7cdvlgpi8g3e8ttspzvr1k251,M. Leckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508809,5,5,1,0,7,cuj4qahgk4idsme4dg8clk6gw,0,83.8,-1,2022-11-05T06:00:12.189Z,2022-11-05T06:29:48Z,3894366973,56,Right,3894366975,347,,3894367039,233,3,,,,,,,,,,,,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508825,4,1,1,0,15,c33jm806py6adse5wv9wx6ch1,1,22.7,100,2022-11-05T06:00:20.604Z,2022-11-05T06:00:23Z,3894367047,140,34.9,3894367049,141,91.1,3894367045,56,Back,3894367053,213,5.8,3894367043,107,,3894367051,212,14.5,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481508827,5,1,1,0,16,c33jm806py6adse5wv9wx6ch1,1,34.9,91.1,2022-11-05T06:00:21.644Z,2022-11-06T10:28:17Z,3894367059,140,29.4,3894367061,141,95.3,3894367065,213,2.7,3894367069,156,,3894367063,212,6.4,3894367057,56,Back,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
