id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2508967915,9,1,1,0,17,c33jm806py6adse5wv9wx6ch1,1,27.7,31.7,2023-02-18T08:46:55.873Z,2023-02-18T08:46:58Z,4038833701,213,1.6,4038833699,212,19.2,4038833693,56,Back,4038833697,141,59.9,4038833695,140,27.0,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508967931,10,1,1,0,20,c33jm806py6adse5wv9wx6ch1,1,27.2,62.7,2023-02-18T08:46:58.514Z,2023-02-18T08:47:03Z,4038833743,213,1.2,4038833737,140,35.6,4038833739,141,94.1,4038833741,212,23.1,4038833735,56,Back,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508967947,11,1,1,0,24,c33jm806py6adse5wv9wx6ch1,1,37.5,95,2023-02-18T08:47:03.010Z,2023-02-18T08:47:06Z,4038833801,213,0.1,4038833795,140,57.7,4038833797,141,97.5,4038833799,212,21.3,4038833793,56,Left,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508967951,12,1,1,0,26,c33jm806py6adse5wv9wx6ch1,0,57.7,97.5,2023-02-18T08:47:05.129Z,2023-02-18T08:47:09Z,4038833821,233,3,4038833819,236,,4038833817,213,4.6,4038833811,140,57.5,4038833825,286,,4038833813,141,94.2,4038833809,56,Left,4038833815,212,2.3,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508967941,3,74,1,0,26,9xmhnv6im8h7c9e17oqvcx8gl,1,47.1,5,2023-02-18T08:47:05.130Z,2023-02-18T08:50:55Z,4038833833,233,12,4038833779,285,,4038833777,56,Back,,,,,,,,,,,,,,,,w8u1a5hrtitytfof3jk0zbh1,J. Brillante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508967949,4,5,1,0,27,9xmhnv6im8h7c9e17oqvcx8gl,0,46.4,-1.4,2023-02-18T08:47:05.842Z,2023-02-18T08:47:19Z,4038833955,233,13,4038833805,56,Back,4038833807,347,,,,,,,,,,,,,,,,,w8u1a5hrtitytfof3jk0zbh1,J. Brillante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508967991,13,5,1,0,27,c33jm806py6adse5wv9wx6ch1,1,53.6,101.4,2023-02-18T08:47:05.842Z,2023-02-18T08:51:02Z,4038833939,347,,4038833937,56,Left,4038833951,233,4,,,,,,,,,,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968003,14,1,1,0,41,c33jm806py6adse5wv9wx6ch1,1,56.4,100,2023-02-18T08:47:19.793Z,2023-02-18T08:47:21Z,4038833975,56,Left,4038833973,107,,4038833981,212,9.0,4038833977,140,57.4,4038833979,141,88.5,4038833983,213,4.8,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968009,15,1,1,0,42,c33jm806py6adse5wv9wx6ch1,1,57.4,88.5,2023-02-18T08:47:20.977Z,2023-02-18T08:47:22Z,4038834003,213,2.5,4038833999,141,94.1,4038833997,140,52.6,4038833995,56,Left,4038834007,156,,4038834001,212,6.3,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968019,16,1,1,0,45,c33jm806py6adse5wv9wx6ch1,1,43.8,84,2023-02-18T08:47:23.810Z,2023-02-18T08:47:25Z,4038834037,212,21.1,4038834035,141,86.3,4038834031,56,Back,4038834033,140,23.8,4038834039,213,3.1,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968029,17,1,1,0,47,c33jm806py6adse5wv9wx6ch1,1,24.1,85.8,2023-02-18T08:47:25.665Z,2023-02-18T08:47:29Z,4038834065,140,18.5,4038834063,56,Back,4038834071,213,4.3,4038834067,141,63.2,4038834069,212,16.5,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968033,18,1,1,0,51,c33jm806py6adse5wv9wx6ch1,1,18.9,61.8,2023-02-18T08:47:29.553Z,2023-02-18T08:50:54Z,4038834089,213,5.1,4038834083,140,27.1,4038834087,212,20.9,4038834081,56,Back,4038834085,141,33.8,,,,,,,,,,77gcx1qotysu9hbi2hw2gjsvd,T. Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968041,19,1,1,0,53,c33jm806py6adse5wv9wx6ch1,1,28.1,34.7,2023-02-18T08:47:31.217Z,2023-02-18T08:47:35Z,4038834111,212,20.8,4038834105,56,Back,4038834109,141,65.3,4038834107,140,28.5,4038834113,213,1.6,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968049,20,1,1,0,57,c33jm806py6adse5wv9wx6ch1,1,35.1,73.2,2023-02-18T08:47:35.233Z,2023-02-18T08:47:38Z,4038834133,141,71.3,4038834137,213,6.1,4038834135,212,8.7,4038834131,140,43.3,4038834129,56,Back,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968059,21,1,1,1,0,c33jm806py6adse5wv9wx6ch1,1,43.4,68.1,2023-02-18T08:47:38.689Z,2023-02-18T08:47:42Z,4038834167,213,4.3,4038834161,140,34.5,4038834165,212,21.5,4038834163,141,39.7,4038834159,56,Back,,,,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968079,22,1,1,1,4,c33jm806py6adse5wv9wx6ch1,1,37.2,32.8,2023-02-18T08:47:42.369Z,2023-02-18T08:47:47Z,4038834219,212,7.8,4038834213,56,Back,4038834217,141,21.4,4038834215,140,37.7,4038834221,213,4.8,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968089,23,1,1,1,9,c33jm806py6adse5wv9wx6ch1,1,39.2,28.7,2023-02-18T08:47:47.201Z,2023-02-18T08:47:49Z,4038834247,212,28.6,4038834245,141,70.7,4038834241,56,Back,4038834249,213,1.6,4038834243,140,37.6,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968099,24,1,1,1,11,c33jm806py6adse5wv9wx6ch1,1,37.6,70.7,2023-02-18T08:47:49.585Z,2023-02-18T08:47:52Z,4038834269,56,Center,4038834277,213,6.2,4038834271,140,55.6,4038834273,141,69.0,4038834275,212,18.9,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968109,25,1,1,1,13,c33jm806py6adse5wv9wx6ch1,1,55.6,69,2023-02-18T08:47:51.985Z,2023-02-18T11:34:28Z,4038834303,141,27.5,4038834305,212,32.6,4038834309,1,,4038834301,140,40.0,4038834307,213,4.2,4038834299,56,Back,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968115,26,1,1,1,18,c33jm806py6adse5wv9wx6ch1,1,40,27.5,2023-02-18T08:47:56.257Z,2023-02-18T08:47:57Z,4038834323,56,Right,4038834329,212,23.5,4038834327,141,8.3,4038834325,140,58.6,4038834331,213,5.7,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968117,27,1,1,1,19,c33jm806py6adse5wv9wx6ch1,1,58.6,8.3,2023-02-18T08:47:57.441Z,2023-02-18T08:54:04Z,4038834339,141,22.4,4038834337,140,40.0,4038834343,213,2.7,4038834335,56,Back,4038834341,212,21.8,,,,,,,,,,c00r3yls3lf245nbo93m9d6cq,M. Tilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968125,28,1,1,1,21,c33jm806py6adse5wv9wx6ch1,1,39.9,23.6,2023-02-18T08:48:00.097Z,2023-02-18T08:48:02Z,4038834369,212,14.6,4038834367,141,42.2,4038834371,213,2.1,4038834363,56,Back,4038834365,140,33.0,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
