id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2472608765,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-10-16T01:13:04.975Z,2022-10-16T01:56:37Z,3847477525,197,882,3847403695,59,"20, 6, 12, 5, 4, 21, 7, 23, 18, 9, 11, 3, 8, 13, 17, 19, 24, 40",3847403691,30,"56p368h15z4s1izxoz3pvu4et, 3sqlv5wy64mmcnmr5bepafefp, 6hqb04t5w85e576dgf44vn71m, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, b1hpmuxmbcegdii4cbq5l8kwl, 7wy9lh4qgnim12456qttxn85, 578n9sc6cucs81focurtu36c5, e713hl3clivldop8wln53rsyy, ekjy3o3ymld0zkjdaynb4itat, 7ex2ik73ntprjkatncipscudx, 9ydsdzboc7zbdq7vpxx63alm, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, ueklj0jop1moq303rq5vnca1, avp78eu4gzmfcrpsnqglvwnah, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",3847403699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3847403701,194,56p368h15z4s1izxoz3pvu4et,3847403703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3847403697,130,15,3847403693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472610387,1,34,16,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2022-10-16T01:16:19.845Z,2022-10-16T01:56:31Z,3847412255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3847412251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3847477425,197,877,3847412249,130,2,3847412245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3847412243,30,"bgl8h2ygh9ztbnzt79wv178ph, 8h8ihiytz6xko4a4fzrpqz8ph, b8ptjj6m4jh83ixhtny9o2v4k, 4p3oumqahcdjl66oqw3jwjsdm, bg3cipkody9urtfobt10d9y7e, 5l9ozhnxtdp4w8dawcskpx5ud, b3wugaop1bb4php1irwf6zqei, 7qwmlcxsxlxmq01g7dkt7v14a, 4l0se1iapxcmd1jb4851aj6c5, 1udr2rsx6qqszasls0ghqll, e5ycwhcy49624czidh67ihiad, b64xe0hw5h2k79a52awusbkve, 3hfu7zxdbwlshk4wc87379ul0, 34dwjcubokyikikcect9v4wve, 7hew5ue5j22q9voqfewjcrgus, 7ucilzbc870tvzy8iqxlk8kbt, aa3le5billmsynj83po9ga3v8, 36gq011by1cjkem274ahdfg89",3847412247,59,"20, 15, 18, 4, 17, 3, 7, 6, 9, 90, 11, 2, 13, 21, 22, 24, 29, 98",3847412253,194,bgl8h2ygh9ztbnzt79wv178ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624507,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-10-16T02:00:18.273Z,2022-10-17T10:22:47Z,3847481089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624503,2,32,1,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2022-10-16T02:00:18.273Z,2022-10-16T02:00:18Z,3847481071,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624513,3,1,1,0,1,c4ygb6mnh53kpl2mpxe52l8jw,1,49.8,49.7,2022-10-16T02:00:19.373Z,2022-10-16T08:57:53Z,3847481113,141,50.9,3847481109,56,Back,3847481117,213,3.0,3847481119,279,S,3847481111,140,43.2,3847481115,212,7.0,3848029597,189,,,,,1udr2rsx6qqszasls0ghqll,P. Ayongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624519,4,1,1,0,2,c4ygb6mnh53kpl2mpxe52l8jw,1,43.2,50.9,2022-10-16T02:00:21.244Z,2022-10-16T08:57:54Z,3847481147,141,59.9,3847481143,56,Back,3848029643,189,,3847481149,212,8.0,3847481145,140,38.3,3847481151,213,2.3,,,,,,,4l0se1iapxcmd1jb4851aj6c5,J. Cummings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624525,5,43,1,0,3,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2022-10-16T02:00:21.948Z,2022-10-16T02:02:37Z,3847481179,140,28.8,3847481185,212,10.6,3847484027,144,1,3847481181,141,65.2,3847481189,213,2.8,3847481177,56,Back,,,,,,,4p3oumqahcdjl66oqw3jwjsdm,J. Nisbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624543,6,1,1,0,4,c4ygb6mnh53kpl2mpxe52l8jw,1,29.3,64,2022-10-16T02:00:22.988Z,2022-10-16T08:57:56Z,3847481293,212,20.1,3848029695,189,,3847481287,56,Back,3847481295,213,4.8,3847481291,141,34.6,3847481289,140,31.1,,,,,,,5l9ozhnxtdp4w8dawcskpx5ud,B. Kaltak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624555,7,1,1,0,10,c4ygb6mnh53kpl2mpxe52l8jw,1,39.9,34.6,2022-10-16T02:00:28.301Z,2022-10-16T02:00:30Z,3847481349,141,66.4,3847481345,56,Back,3847481351,212,21.6,3847481353,213,1.6,3847481347,140,39.6,,,,,,,,,,bg3cipkody9urtfobt10d9y7e,K. John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472624565,8,1,1,0,11,c4ygb6mnh53kpl2mpxe52l8jw,1,39.6,66.4,2022-10-16T02:00:30.141Z,2022-10-16T02:00:32Z,3847481403,56,Back,3847481411,213,4.7,3847481407,141,40.6,3847481405,140,39.6,3847481409,212,17.5,,,,,,,,,,5l9ozhnxtdp4w8dawcskpx5ud,B. Kaltak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
