id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2503550241,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-02-04T07:39:26.171Z,2023-02-04T08:45:46Z,4010360791,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 2kig0lwusomobls6p3am0l7qi, 9l5seuy6ggcvpqnt5ekxn1pii, a5y5w6rclo7jen1tg6xhfgewa, bidqgybf8b93bdsi4t4kzeuhh, 3qwtpnlm38xo5f1u36a30kus5, 6b31g4lw3ste6xrg1kwwn5iol, 4j4nenchzzxi4a96o7jqdpgid, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 86sqmnbenft8ugq57q2i2wzbp, 8xkw7djsy38p9rck0ysxtfdd6, 5eqoaq3vo99bk6w8rda67iw6i, btbsot4krojohgz7cjpoqc9p0, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",4010360801,194,8wt0rz1iw4aon12zj6axq1sk5,4010360795,59,"46, 21, 7, 6, 13, 41, 26, 8, 9, 10, 11, 1, 4, 27, 36, 37, 55, 66",4010360803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010360793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4010360799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010360797,130,8,4010384003,197,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503550473,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-02-04T07:41:11.451Z,2023-02-04T08:48:47Z,4010362011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010361999,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, bhl2kwvi52osrdsdnbtw45lyi, ez47kkcz2wgypddldq97yz2dx, 3zl5ec82f8zebkxkfdz16e3th, 7mgwfxva7w88k90jhjd1wx3o5, abfwfqsv8o9xsnkor896869cl, dhnssdf1iuorniavvla5zbwx6, 4s2umn33b5fo5zcpkwjcbry7d, 1hcnrw2udxcdff6bre73sv1pm, uyhh5u2ezau9f095symdh3sa, 26vm9o1w3l4behscs3hk4d8x6, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, 7nhzkoa6bywrlkj9nc3f5ylii, c0p9hlssgk28sutlee99c24t1, 6jri9zzc1ccwcof95srv8h4pg, 5h2xmb0gkhtlaeo6p5e3ejo4",4010362003,59,"23, 19, 3, 6, 5, 2, 26, 27, 28, 13, 17, 1, 7, 10, 12, 16, 35, 99",4010362007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010362001,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4010362009,194,3zl5ec82f8zebkxkfdz16e3th,4010384055,197,14705,4010362005,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557025,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-02-04T08:45:31.844Z,2023-02-04T11:30:37Z,4010385759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557019,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-02-04T08:45:31.844Z,2023-02-04T08:45:32Z,4010385749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557035,3,1,1,0,0,v046no35g7ebk8lytdjmfb43,1,50,50,2023-02-04T08:45:31.944Z,2023-02-04T08:45:45Z,4010385783,140,36.5,4010385787,212,14.2,4010385789,213,3.1,4010385791,279,S,4010385785,141,51.3,4010385781,56,Back,,,,,,,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557047,4,1,1,0,4,v046no35g7ebk8lytdjmfb43,1,36.7,49.3,2023-02-04T08:45:36.159Z,2023-02-04T08:45:38Z,4010385819,141,29.8,4010385817,140,40.9,4010385823,213,5.0,4010385815,56,Back,4010385821,212,14.0,,,,,,,,,,abfwfqsv8o9xsnkor896869cl,J. O'Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557053,5,1,1,0,6,v046no35g7ebk8lytdjmfb43,0,40.9,29.7,2023-02-04T08:45:38.095Z,2023-02-04T08:45:38Z,4010385835,155,,4010385845,213,6.1,4010385841,141,22.1,4010385839,140,65.1,4010385837,56,Center,4010385843,212,25.9,,,,,,,7mgwfxva7w88k90jhjd1wx3o5,S. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557065,3,1,1,0,6,6lezh5aazy0xca1800e5dqxwl,0,35.3,73.4,2023-02-04T08:45:38.326Z,2023-02-04T08:45:41Z,4010385883,1,,4010385875,140,63.5,4010385871,3,,4010385873,56,Left,4010385881,213,0.6,4010385877,141,100.0,4010385879,212,35.4,,,,2kig0lwusomobls6p3am0l7qi,L. D'Arrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557067,4,5,1,0,9,6lezh5aazy0xca1800e5dqxwl,0,59.8,101.5,2023-02-04T08:45:41.139Z,2023-02-04T08:45:46Z,4010385927,233,6,4010385887,347,,4010385885,56,Left,,,,,,,,,,,,,,,,2kig0lwusomobls6p3am0l7qi,L. D'Arrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503557081,6,5,1,0,9,v046no35g7ebk8lytdjmfb43,1,40.2,-1.5,2023-02-04T08:45:41.139Z,2023-02-04T08:56:16Z,4010385917,347,,4010385923,233,4,4010385915,56,Back,,,,,,,,,,,,,,,,7mgwfxva7w88k90jhjd1wx3o5,S. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
