id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,keyPass,assist,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/16/value
2492905971,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2022-12-23T10:13:10.891Z,2022-12-23T11:35:01Z,3954327609,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3954327613,130,11,3954327611,59,"33, 10, 14, 5, 29, 37, 7, 8, 18, 6, 16, 2, 12, 13, 19, 20, 36, 43",3954327607,30,"90cmfctiu1b17s790t26ddcd1, f35u25047d9vmzt6j20fd29cl, 8gzsegmgy3fjcluzdci515j2t, 68mqljqiwgzgextvvyncb3avp, adhfs6658xx5hpxur1496kv6d, bnpu23zlwzn5gtr4t8j8qtnh0, cufgsqfkltgeb7ak2uan2dqdx, 7vq2cctowa657lg0v740lhtjp, 61rdelnm1qf1rh24z6omazu1h, 5ik9yg42hblwa27q4p29awyj9, 4wk0sw7u4c17v2owhx5bhmusq, 5pjrdhytzrteyqxxcvxxhjqax, djz5cm1g7ouen2y4o7w35jbl6, 1vr7xk50jy6ytnogke8h6ciga, 869lv47g5aohwwzeyzx9xmt7u, 1e1wh213cg8q6lsqa3kvbjdka, 4oqiyxgv3i7lhki54wqjtyqz8, d1vlidmmd1z2oc6h24i2v5fro",3954327615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3954327617,194,7vq2cctowa657lg0v740lhtjp,3954374559,197,884,3954327619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492906213,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-12-23T10:15:17.067Z,2022-12-23T11:28:53Z,3954328977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3954328967,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5",3954328965,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, b1hpmuxmbcegdii4cbq5l8kwl, dkqmon0xrrwdhcy66htkf1xwp, 578n9sc6cucs81focurtu36c5, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7ex2ik73ntprjkatncipscudx, 7wy9lh4qgnim12456qttxn85, 4xkq0dt99xipecd4tbm74kq1, ak2u5d2qrp9ka1b8qyy9ne3md, avp78eu4gzmfcrpsnqglvwnah, 82tyg0nqfcncdgw3g474a37fu",3954328975,194,56p368h15z4s1izxoz3pvu4et,3954374695,197,882,3954328973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3954328971,130,2,3954328969,59,"20, 17, 12, 5, 4, 21, 31, 23, 9, 10, 11, 7, 13, 14, 19, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914891,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-12-23T11:30:41.988Z,2022-12-23T11:30:44Z,3954375103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914889,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2022-12-23T11:30:41.988Z,2022-12-24T05:40:23Z,3954375093,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914893,3,1,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,50,50,2022-12-23T11:30:42.088Z,2022-12-23T12:18:44Z,3954375115,279,S,3954375109,141,48.2,3954375107,140,30.6,3954375105,56,Back,3954375111,212,20.4,3954375113,213,3.2,,,,,,,5ik9yg42hblwa27q4p29awyj9,A. McEneff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914897,4,1,1,0,3,cuj4qahgk4idsme4dg8clk6gw,0,31.1,48.2,2022-12-23T11:30:45.462Z,2022-12-23T12:18:46Z,3954375141,140,74.4,3954375143,141,1.7,3954375147,213,5.7,3954375137,155,,3954375145,212,55.4,3954375149,1,,3954375139,56,Right,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914905,3,8,1,0,7,6j4xzc2g1eeafo6v1f38d4x22,1,32.2,85.8,2022-12-23T11:30:49.658Z,2022-12-24T05:42:17Z,3954375161,15,,3954375159,56,Back,3954960133,385,,,,,,,,,,,,,,,,,7ex2ik73ntprjkatncipscudx,B. Kraev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914907,4,5,1,0,8,6j4xzc2g1eeafo6v1f38d4x22,0,38.4,101.5,2022-12-23T11:30:50.455Z,2022-12-23T12:19:11Z,3954375163,56,Back,3954375175,233,5,3954375165,347,,,,,,,,,,,,,,,,,7ex2ik73ntprjkatncipscudx,B. Kraev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914909,5,5,1,0,8,cuj4qahgk4idsme4dg8clk6gw,1,61.6,-1.5,2022-12-23T11:30:50.455Z,2022-12-23T11:30:53Z,3954375167,56,Right,3954375169,347,,3954375171,233,4,,,,,,,,,,,,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492914911,6,1,1,0,11,cuj4qahgk4idsme4dg8clk6gw,1,60.5,0,2022-12-23T11:30:53.462Z,2022-12-23T11:30:55Z,3954375183,140,58.7,3954375181,56,Right,3954375185,141,13.5,3954375187,212,10.4,3954375189,213,1.8,3954375179,107,,,,,,,,f35u25047d9vmzt6j20fd29cl,S. Khelifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
