id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/16/value
2506087519,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-02-11T07:35:59.492Z,2023-02-11T10:23:29Z,4023675935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4023675933,130,2,4023675937,194,bgzao2jp59jygdic68s5iudat,4023675939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023675929,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4023675927,30,"jjqk412zl7b2lbfqfkva3utx, cr52lkk2tjwlz0gd34b0klyad, 974s3rwvb2ls1k1no4hlaz8ph, 4ehmmuuxljgliiz7f7298h61h, 9634dv110vlqnf02k4yif14np, bgzao2jp59jygdic68s5iudat, aiehjyb5unahdn0somr3ewa1h, c243bbqbc7agln9jpv0faa6dx, b255io6lia16l5dzuxfpruhud, bu8z6ig5wrrtgsm1qhe4fxe51, 4rg5d1oo8rtclemhci81i6xg5, 9dxuc4hj1ovd3mpjrxombnm22, cuaqqokt0c82wz0bc0tt10rxm, c18ruk8qqfggqv7s0mzyq6yhg, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, emzxhx2ki2r67c5l33hfv8844, 49ctudxdwjkrhz6n3ykjpmdey",4023706923,197,14753,4023675931,59,"1, 8, 18, 26, 2, 4, 10, 17, 9, 22, 11, 3, 12, 16, 19, 20, 28, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506088299,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-02-11T07:41:41.396Z,2023-02-11T10:23:31Z,4023679991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4023679999,194,6xvmp9q79f0fjjtvd6rcz00d1,4023680001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023679997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4023705349,197,891,4023679993,59,"20, 2, 3, 17, 5, 6, 21, 28, 26, 8, 23, 1, 4, 9, 10, 14, 16, 31",4023679995,130,8,4023679989,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, 9xqw0h9piwsalgt47y5m6fr2t, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, 2v9zl8rrcoi432p8iy1ngwlt6, dreyp9vpkgl8t38erpkrfwsbu, pc2pewu255axe28t955qjcnp, 6fx6x1x0v02v094w754htlfx1, 1yqlkot5sh85ot3eemo67djv9, af9qi36c0nm8eso8z5ah8yyuh, dxb1r4gqgxkngb0pzvfby9iol, evh60twv2ab6si0q78fqi9coa, e8iey6bpyyfd0u8lovucrc2xh, bb4iwletl36hvcn0rthlrm8a2, 3ivpa9dqlbrg7dc71nsmaw1d5, 26h572pq2qiac1raqk6g0jvh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093539,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-02-11T08:45:20.290Z,2023-02-11T08:45:20Z,4023707033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093541,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-02-11T08:45:20.290Z,2023-02-11T16:18:50Z,4023707035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093547,3,1,1,0,1,38ui5tfi8anjuh533emny2tz1,1,50,50,2023-02-11T08:45:21.390Z,2023-02-11T08:45:26Z,4023707061,141,50.9,4023707063,212,10.7,4023707065,213,3.1,4023707067,279,S,4023707057,56,Back,4023707059,140,39.8,,,,,,,b255io6lia16l5dzuxfpruhud,A. Le Fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093559,4,1,1,0,2,38ui5tfi8anjuh533emny2tz1,1,37.4,49.3,2023-02-11T08:45:22.652Z,2023-02-11T15:17:00Z,4023707115,56,Back,4023707121,212,25.8,4023707123,213,4.8,4023707119,141,11.4,4023707117,140,39.0,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093563,5,1,1,0,6,38ui5tfi8anjuh533emny2tz1,1,39.4,11.3,2023-02-11T08:45:26.301Z,2023-02-11T09:38:57Z,4023707145,212,7.6,4023707143,141,6.1,4023707139,56,Back,4023707141,140,45.8,4023707147,213,5.8,,,,,,,,,,cr52lkk2tjwlz0gd34b0klyad,P. Retre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093569,3,45,1,0,7,6h553bwfqkoxayuv80uikkn42,0,42,92.4,2023-02-11T08:45:27.932Z,2023-02-11T08:45:30Z,4023707173,56,Back,4023707175,285,,4023707199,233,6,,,,,,,,,,,,,,,,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093571,6,3,1,0,7,38ui5tfi8anjuh533emny2tz1,1,58,7.6,2023-02-11T08:45:27.932Z,2023-02-11T15:32:46Z,4023707179,286,,4023707177,56,Right,4024987997,465,,4023707189,233,3,,,,,,,,,,,,,aiehjyb5unahdn0somr3ewa1h,J. Lolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506093577,7,3,1,0,8,38ui5tfi8anjuh533emny2tz1,0,61.4,9.6,2023-02-11T08:45:28.381Z,2023-02-11T15:32:48Z,4024988433,465,,4023707207,56,Right,4023707463,286,,4023707499,233,4,,,,,,,,,,,,,aiehjyb5unahdn0somr3ewa1h,J. Lolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
