id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2504220865,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-02-05T03:04:05.019Z,2023-02-05T04:07:49Z,4013916593,197,891,4013869743,130,8,4013869747,194,6xvmp9q79f0fjjtvd6rcz00d1,4013869737,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, 9xqw0h9piwsalgt47y5m6fr2t, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, 26h572pq2qiac1raqk6g0jvh0, dreyp9vpkgl8t38erpkrfwsbu, pc2pewu255axe28t955qjcnp, 6fx6x1x0v02v094w754htlfx1, 1yqlkot5sh85ot3eemo67djv9, dxb1r4gqgxkngb0pzvfby9iol, af9qi36c0nm8eso8z5ah8yyuh, e8iey6bpyyfd0u8lovucrc2xh, d0f8dmnejzbjc7dfg14u8yv6y, 2v9zl8rrcoi432p8iy1ngwlt6, 7vw7j6hjzw4xj19f7s6rh3dw4, 3n3jrt6gx6o1z1q2nq0qmaxhw",4013869745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4013869739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4013869749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4013869741,59,"20, 2, 3, 17, 5, 6, 31, 28, 26, 8, 23, 4, 1, 10, 19, 21, 32, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504221135,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-02-05T03:06:15.677Z,2023-02-05T03:58:24Z,4013871081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4013871089,194,bj77m6u2q7jd9nf67dleq2tp1,4013871079,30,"do3hflya9zwcdzxiev0m2cclx, 30eyww0b75hsid71kihac79pl, bj77m6u2q7jd9nf67dleq2tp1, bknqxl16j0tm4dggbwjmzb2t, 8alirbm4n482p155zi3174fyt, 6xe2j75i29sgwbu11cp526uad, bfw1ktidkogubiuvx2c0qqtbd, d9fmhxd6637ihfqc9qvsnmjth, dpre9cmklv12i80xbyqnku505, 8wrppgiwivlivxryo6rvocamt, cqwfvlrzbld40ce3s1qmdniz9, cfkv8xhbb3j2e0wulp49i1jvt, 68z86n999vjdyb7mlj8nnlp05, bb4iwletl36hvcn0rthlrm8a2, 7914s37ru5s1ocfb6ke2fs2ga, 8yyosfgv4yj0g7k2rwk743fft, 8sknvoifu8w9wpso5xije0b56, d5wx8rvjfaw1arn69fdd64d90",4013871083,59,"1, 27, 19, 88, 6, 44, 8, 7, 99, 14, 11, 5, 23, 26, 33, 37, 38, 42",4013871091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4013871085,130,6,4013917889,197,6265,4013871087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230063,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-02-05T04:01:27.831Z,2023-02-05T08:14:24Z,4013919979,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230065,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-02-05T04:01:27.831Z,2023-02-05T04:01:29Z,4013919981,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230071,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,49.8,49.9,2023-02-05T04:01:27.931Z,2023-02-05T05:04:19Z,4013919997,212,7.6,4013919995,141,50.4,4013919993,140,42.6,4013920001,279,S,4013919999,213,3.1,4013919991,56,Back,,,,,,,6fx6x1x0v02v094w754htlfx1,O. Bozanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230073,4,1,1,0,2,6h553bwfqkoxayuv80uikkn42,0,42.5,50.4,2023-02-05T04:01:30.747Z,2023-02-05T04:51:21Z,4013920019,1,,4013920011,140,73.4,4013920007,155,,4013920013,141,76.7,4013920009,56,Center,4013920015,212,37.0,4013920017,213,0.5,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230075,3,1,1,0,5,7p460lrzt1kmp4rsofqa47eqy,0,23.9,22.2,2023-02-05T04:01:33.314Z,2023-02-05T04:01:36Z,4013920039,3,,4013920041,56,Back,4013920049,213,0.6,4013920043,140,44.2,4013920047,212,26.6,4013920045,141,45.7,,,,,,,30eyww0b75hsid71kihac79pl,J. Tratt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230083,5,1,1,0,7,6h553bwfqkoxayuv80uikkn42,1,55.1,58.5,2023-02-05T04:01:35.306Z,2023-02-05T04:01:37Z,4013920081,141,93.0,4013920083,212,23.5,4013920079,140,55.1,4013920085,213,1.6,4013920077,56,Left,,,,,,,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230087,6,1,1,0,9,6h553bwfqkoxayuv80uikkn42,0,55.1,93,2023-02-05T04:01:37.610Z,2023-02-05T04:01:40Z,4013920109,212,23.1,4013920103,56,Left,4013920105,140,76.5,4013920111,213,0.2,4013920107,141,100.0,,,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504230121,4,5,1,0,12,7p460lrzt1kmp4rsofqa47eqy,1,24.4,-0.9,2023-02-05T04:01:40.456Z,2023-02-05T04:02:53Z,4013920275,233,7,4013920271,56,Back,4013920273,347,,,,,,,,,,,,,,,,,30eyww0b75hsid71kihac79pl,J. Tratt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
