id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2511414225,1,34,16,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2023-02-24T07:38:21.579Z,2023-02-24T08:45:20Z,4051736729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4051751077,197,14595,4051736719,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4051736723,130,2,4051736721,59,"20, 15, 5, 6, 3, 18, 11, 4, 98, 9, 7, 31, 10, 13, 22, 23, 24, 28",4051736725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4051736717,30,"bgl8h2ygh9ztbnzt79wv178ph, 8h8ihiytz6xko4a4fzrpqz8ph, 4qdcbp2hdy7ap97sas98x3g0l, 7qwmlcxsxlxmq01g7dkt7v14a, 5l9ozhnxtdp4w8dawcskpx5ud, b8ptjj6m4jh83ixhtny9o2v4k, e5ycwhcy49624czidh67ihiad, 4p3oumqahcdjl66oqw3jwjsdm, 36gq011by1cjkem274ahdfg89, 4l0se1iapxcmd1jb4851aj6c5, b3wugaop1bb4php1irwf6zqei, 7u4b1qrfl77crswls2ix35o89, 9r6w1mv6tillg43qthh9p5ap6, 3hfu7zxdbwlshk4wc87379ul0, 7hew5ue5j22q9voqfewjcrgus, 3py7ky3kq3ikgy0fl2g2rrtre, 7ucilzbc870tvzy8iqxlk8kbt, dtjh9j9whua6r6ms05cls3iwa",4051736727,194,bgl8h2ygh9ztbnzt79wv178ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511414501,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-02-24T07:40:40.204Z,2023-02-25T09:06:22Z,4051737843,30,"56p368h15z4s1izxoz3pvu4et, 3sqlv5wy64mmcnmr5bepafefp, avp78eu4gzmfcrpsnqglvwnah, ak2u5d2qrp9ka1b8qyy9ne3md, 4ljmkn447genzakxxuzkn5iol, b1hpmuxmbcegdii4cbq5l8kwl, 42xmd4lhr1zub89n0ormclv4l, 30xc2y82d5xu8hkfhqrjw1z9x, ekjy3o3ymld0zkjdaynb4itat, dkqmon0xrrwdhcy66htkf1xwp, 7ex2ik73ntprjkatncipscudx, 9ydsdzboc7zbdq7vpxx63alm, jvxwzywn4geyzpj2tzxssmsq, 6hqb04t5w85e576dgf44vn71m, 4xkq0dt99xipecd4tbm74kq1, 5uaqcfkubn92hz2hq5ovyurit, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4051737855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4051737851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4051737849,130,2,4051737853,194,ak2u5d2qrp9ka1b8qyy9ne3md,4051737847,59,"20, 6, 19, 14, 4, 21, 10, 5, 9, 31, 11, 3, 8, 12, 13, 15, 24, 40",4051737845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4051751423,197,17517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417373,2,32,1,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2023-02-24T08:45:22.809Z,2023-02-25T09:02:41Z,4051752357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417369,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-02-24T08:45:22.809Z,2023-02-24T08:45:22Z,4051752347,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417375,3,1,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,50,50.1,2023-02-24T08:45:22.909Z,2023-02-25T09:02:31Z,4051752367,56,Center,4051752373,212,0.8,4051752377,279,S,4051752371,141,50.7,4051752369,140,50.6,4051752375,213,0.6,,,,,,,dkqmon0xrrwdhcy66htkf1xwp,Yan Sasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417381,4,1,1,0,2,6j4xzc2g1eeafo6v1f38d4x22,1,49,50.9,2023-02-24T08:45:25.789Z,2023-02-25T09:18:12Z,4051752407,213,3.0,4051752405,212,20.9,4051752401,140,29.3,4051752403,141,55.7,4051752399,56,Back,,,,,,,,,,ekjy3o3ymld0zkjdaynb4itat,O. Zawada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417383,5,1,1,0,5,6j4xzc2g1eeafo6v1f38d4x22,1,29.3,55.7,2023-02-24T08:45:27.886Z,2023-02-24T08:45:29Z,4051752419,212,14.7,4051752415,140,24.9,4051752421,213,4.4,4051752417,141,35.2,4051752413,56,Back,,,,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417385,6,1,1,0,6,6j4xzc2g1eeafo6v1f38d4x22,1,24.9,35.2,2023-02-24T08:45:29.485Z,2023-02-24T08:45:30Z,4051752433,56,Back,4051752437,141,7.4,4051752435,140,27.9,4051752439,212,19.2,4051752443,213,4.9,,,,,,,,,,4ljmkn447genzakxxuzkn5iol,S. Wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417387,7,1,1,0,8,6j4xzc2g1eeafo6v1f38d4x22,1,27.9,7.4,2023-02-24T08:45:30.877Z,2023-02-24T08:45:33Z,4051752463,141,2.8,4051752459,56,Back,4051752467,213,5.9,4051752461,140,34.8,4051752465,212,7.9,,,,,,,,,,3sqlv5wy64mmcnmr5bepafefp,T. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511417391,8,1,1,0,10,6j4xzc2g1eeafo6v1f38d4x22,0,34.8,2.8,2023-02-24T08:45:33.517Z,2023-02-24T09:16:29Z,4051752495,286,,4051752483,213,0.3,4051752479,141,3.8,4051752491,233,3,4051752489,236,,4051752475,56,Back,4051752477,140,36.7,4051752481,212,2.1,42xmd4lhr1zub89n0ormclv4l,D. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
