id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/13/value
2468599623,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2022-10-08T04:46:48.546Z,2022-10-08T07:15:41Z,3825990483,194,3zl5ec82f8zebkxkfdz16e3th,3825990485,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825990481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3825990479,130,11,3825990477,59,"23, 19, 17, 6, 5, 2, 8, 26, 9, 27, 28, 1, 3, 7, 10, 15, 16, 29",3825990473,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, uyhh5u2ezau9f095symdh3sa, ez47kkcz2wgypddldq97yz2dx, 3zl5ec82f8zebkxkfdz16e3th, 7mgwfxva7w88k90jhjd1wx3o5, czbwauhn3z2a0t8t6qreuq1yi, abfwfqsv8o9xsnkor896869cl, dbtn3hglkg6kfkvkz6gvs6x1x, dhnssdf1iuorniavvla5zbwx6, 4s2umn33b5fo5zcpkwjcbry7d, 26vm9o1w3l4behscs3hk4d8x6, bhl2kwvi52osrdsdnbtw45lyi, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, 7gi5lm8v10m3ivddvn8qqzk2y, c0p9hlssgk28sutlee99c24t1, dby4dlsu0mcjg51czovmyjvxm",3826098329,197,879,3825990475,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468599935,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-10-08T04:50:13.969Z,2022-10-08T06:11:16Z,3825992091,30,"4hdho3gfrydh4fzf3ydggef9x, btyconkxo00p1gkf87mn70lpl, 92ey6tqofzafadpm9y7af2ort, 4lk250c1xd4xsowjrdi0uuevp, qdjzxk5jrjnbbq6edbavp2p5, c3u652s3v8u1q4qid5mkbtyw9, am6xykrxjymw2qpqli6upysq, 6f9jrka1qz3j5mfx4x3a5ubfu, cz6tcx6dqmlj45s9d9wxvcnh1, 1nrqzt5f33akpl06zanky83bp, ebsxh1pvxhmt8olxtapkrf7xl, 4llft8t2rwgm3uewbwyaq5ckp, ceea6ndbo2sq5cvucg5j31oq2, 7gt275zxk4hkh4zvdtmo3xpzp, 6cke7ckocw7epjg5gj6exuytx, brm3r6uywyf21o3cnuizwofvu, 906itj33c7nzyzhkvxswvaxas, 44cqwwuueirgp57r8ks0725t5",3825992095,59,"12, 2, 13, 7, 6, 5, 35, 27, 94, 10, 99, 1, 8, 11, 17, 24, 31, 44",3826097855,197,9894,3825992093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3825992103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825992099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3825992097,130,8,3825992101,194,1nrqzt5f33akpl06zanky83bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620391,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-10-08T06:02:09.112Z,2022-10-08T06:02:09Z,3826101863,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620393,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2022-10-08T06:02:09.112Z,2022-10-08T06:02:10Z,3826101865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620407,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,50.2,50,2022-10-08T06:02:09.212Z,2022-10-08T06:02:22Z,3826101927,279,S,3826101923,212,6.8,3826101921,141,53.3,3826101925,213,2.8,3826102075,189,,3826101917,56,Back,3826101919,140,44.1,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620415,4,1,1,0,3,7jv344gvcvgqg7oeuc9u554dm,0,44.1,53.3,2022-10-08T06:02:12.821Z,2022-10-08T06:49:40Z,3826101953,140,92.8,3826101961,1,,3826101955,141,0.0,3826101951,56,Right,3826101959,213,5.6,3826101957,212,63.5,3826101949,155,,,,,6f9jrka1qz3j5mfx4x3a5ubfu,J. Skotadis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620465,3,5,1,0,5,v046no35g7ebk8lytdjmfb43,1,11.3,102,2022-10-08T06:02:15.012Z,2022-10-08T06:14:13Z,3826102135,233,5,3826102131,347,,3826102129,56,Back,,,,,,,,,,,,,,,,4gn22fnshsmgxyayuj2p77v85,J. Hingert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620419,5,5,1,0,5,7jv344gvcvgqg7oeuc9u554dm,0,88.7,-2,2022-10-08T06:02:15.012Z,2022-10-08T06:02:28Z,3826101971,56,Right,3826101973,347,,3826102139,233,3,,,,,,,,,,,,,,,,6f9jrka1qz3j5mfx4x3a5ubfu,J. Skotadis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468620467,4,1,1,0,20,v046no35g7ebk8lytdjmfb43,0,15.4,100,2022-10-08T06:02:29.840Z,2022-10-08T06:51:30Z,3826102163,212,14.3,3826102155,107,,3826102165,213,5.7,3826102161,141,89.7,3826102157,56,Back,3826102159,140,26.5,,,,,,,uyhh5u2ezau9f095symdh3sa,C. Armiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468642045,434,8,1,0,21,7jv344gvcvgqg7oeuc9u554dm,1,75.7,3.1,2022-10-08T06:02:30.112Z,2022-10-08T06:53:23Z,3826217593,56,Right,,,,,,,,,,,,,,,,,,,,,,am6xykrxjymw2qpqli6upysq,A. Toure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
