id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2521315329,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-18T07:40:22.869Z,2023-03-18T10:41:31Z,4104135323,59,"20, 31, 3, 28, 6, 16, 11, 17, 26, 10, 9, 1, 8, 14, 21, 23, 33, 36",4104135327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4104180631,197,891,4104135331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104135319,30,"98blyfvs09u1j6m7ltbqai9xx, 26h572pq2qiac1raqk6g0jvh0, 4rv3p2e0scrkce2l3budvzqol, dreyp9vpkgl8t38erpkrfwsbu, 6xvmp9q79f0fjjtvd6rcz00d1, 3ivpa9dqlbrg7dc71nsmaw1d5, dmj5oe18blqnxozkfd8q5myfp, 9xqw0h9piwsalgt47y5m6fr2t, pc2pewu255axe28t955qjcnp, e8iey6bpyyfd0u8lovucrc2xh, evh60twv2ab6si0q78fqi9coa, af9qi36c0nm8eso8z5ah8yyuh, 6fx6x1x0v02v094w754htlfx1, bb4iwletl36hvcn0rthlrm8a2, 2v9zl8rrcoi432p8iy1ngwlt6, 1yqlkot5sh85ot3eemo67djv9, 3n3jrt6gx6o1z1q2nq0qmaxhw, 9vu1fxor0nsvt0n80zn2wtgtm",4104135321,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4104135329,194,6xvmp9q79f0fjjtvd6rcz00d1,4104135325,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521316869,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-03-18T07:45:04.009Z,2023-03-18T08:46:34Z,4104142727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4104142735,194,bgzao2jp59jygdic68s5iudat,4104142731,130,8,4104142729,59,"1, 23, 3, 26, 2, 4, 10, 8, 11, 17, 18, 6, 12, 19, 20, 25, 28, 29",4104181303,197,868,4104142725,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 9dxuc4hj1ovd3mpjrxombnm22, 4ehmmuuxljgliiz7f7298h61h, 9634dv110vlqnf02k4yif14np, bgzao2jp59jygdic68s5iudat, aiehjyb5unahdn0somr3ewa1h, cr52lkk2tjwlz0gd34b0klyad, 4rg5d1oo8rtclemhci81i6xg5, c243bbqbc7agln9jpv0faa6dx, 974s3rwvb2ls1k1no4hlaz8ph, 7nkjqwtji300a54ubhxn5f179, cuaqqokt0c82wz0bc0tt10rxm, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, ctrffnfu5yqmqf9nqyex5ky22, emzxhx2ki2r67c5l33hfv8844, 49ctudxdwjkrhz6n3ykjpmdey",4104142737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104142733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325523,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-03-18T08:45:26.517Z,2023-03-19T09:35:05Z,4104182987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325521,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-18T08:45:26.517Z,2023-03-18T08:45:26Z,4104182981,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325529,3,1,1,0,1,6h553bwfqkoxayuv80uikkn42,1,50,50,2023-03-18T08:45:27.617Z,2023-03-19T09:35:19Z,4104183011,141,49.4,4104183009,140,36.9,4104183015,213,3.2,4104183013,212,13.8,4104183017,279,S,4104183007,56,Back,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325541,4,1,1,0,2,6h553bwfqkoxayuv80uikkn42,0,36.8,48.5,2023-03-18T08:45:29.284Z,2023-03-18T08:45:33Z,4104183061,1,,4104183053,141,23.6,4104183057,213,5.9,4104183049,56,Center,4104183051,140,75.5,4104183047,155,,4104183055,212,44.0,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325539,3,44,1,0,6,38ui5tfi8anjuh533emny2tz1,1,24.4,76.8,2023-03-18T08:45:32.611Z,2023-03-18T08:45:34Z,4104183045,285,,4104183043,56,Back,4104183079,233,5,,,,,,,,,,,,,,,,bgzao2jp59jygdic68s5iudat,A. Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325543,5,44,1,0,6,6h553bwfqkoxayuv80uikkn42,0,75.6,23.2,2023-03-18T08:45:32.612Z,2023-03-18T08:45:34Z,4104183071,56,Center,4104183073,286,,4104183085,233,3,,,,,,,,,,,,,,,,pc2pewu255axe28t955qjcnp,B. Borello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325549,4,1,1,0,6,38ui5tfi8anjuh533emny2tz1,1,24.3,77.1,2023-03-18T08:45:33.010Z,2023-03-18T08:45:37Z,4104183103,3,,4104183107,140,38.8,4104183113,213,0.1,4104183111,212,15.3,4104183109,141,78.6,4104183105,56,Back,,,,,,,bgzao2jp59jygdic68s5iudat,A. Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521325551,5,49,1,0,7,38ui5tfi8anjuh533emny2tz1,1,36.9,80.4,2023-03-18T08:45:34.443Z,2023-03-19T09:49:17Z,,,,,,,,,,,,,,,,,,,,,,,,,974s3rwvb2ls1k1no4hlaz8ph,Diego Caballo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
