id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2474869911,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2022-10-21T07:52:09.328Z,2022-10-21T08:44:57Z,3859301305,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, bknqxl16j0tm4dggbwjmzb2t, d2xblktxmr8illac50p2gcmhh, 6xe2j75i29sgwbu11cp526uad, bfw1ktidkogubiuvx2c0qqtbd, ak7gkgt0ysr3p9e5vvq036i8l, 43o49py4g8fmyg5pawvjsf8tm, 8wrppgiwivlivxryo6rvocamt, cqwfvlrzbld40ce3s1qmdniz9, cfkv8xhbb3j2e0wulp49i1jvt, 6f92up63vg0nzl9qqlm0rl6uh, 68z86n999vjdyb7mlj8nnlp05, bb4iwletl36hvcn0rthlrm8a2, 30eyww0b75hsid71kihac79pl, 8yyosfgv4yj0g7k2rwk743fft, 8sknvoifu8w9wpso5xije0b56",3859301313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3859301317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3859301311,130,8,3859301309,59,"1, 19, 17, 88, 4, 44, 8, 10, 9, 14, 11, 5, 21, 23, 26, 27, 37, 38",3859301307,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3859366501,197,6264,3859301315,194,bj77m6u2q7jd9nf67dleq2tp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474871391,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-10-21T08:00:34.689Z,2022-10-21T09:17:16Z,3859310735,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, 4lk250c1xd4xsowjrdi0uuevp, qdjzxk5jrjnbbq6edbavp2p5, c3u652s3v8u1q4qid5mkbtyw9, am6xykrxjymw2qpqli6upysq, 6f9jrka1qz3j5mfx4x3a5ubfu, 906itj33c7nzyzhkvxswvaxas, 6cke7ckocw7epjg5gj6exuytx, ebsxh1pvxhmt8olxtapkrf7xl, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, 49tycizve9vcx6u78ity42r8q, 4dwssyyzoy0nkmrghmlsbnqsq, f3z4grszald48qd1fidjycidw, aeoqbtq15nt9ks5cx50vallhw, cz6tcx6dqmlj45s9d9wxvcnh1",3859310745,194,6cke7ckocw7epjg5gj6exuytx,3859310737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3859310747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3859310741,130,8,3859310739,59,"12, 44, 13, 7, 6, 5, 35, 27, 31, 17, 99, 1, 2, 14, 32, 37, 41, 94",3859361747,197,9894,3859310743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883133,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2022-10-21T08:45:11.380Z,2022-10-22T10:52:53Z,3859366875,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883135,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-10-21T08:45:11.380Z,2022-10-21T08:45:14Z,3859366879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883145,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,50.1,49.9,2022-10-21T08:45:11.480Z,2022-10-21T09:44:57Z,3859366925,212,3.6,3859366923,141,52.8,3859366919,56,Back,3859366921,140,47.2,3859366927,213,2.6,3859366929,279,S,,,,,,,4lk250c1xd4xsowjrdi0uuevp,D. De Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883153,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,0,45.7,53.6,2022-10-21T08:45:13.764Z,2022-10-21T08:45:14Z,3859366961,141,26.7,3859366967,1,,3859366955,155,,3859366963,212,42.2,3859366965,213,5.8,3859366957,56,Center,3859366959,140,81.9,,,,6f9jrka1qz3j5mfx4x3a5ubfu,J. Skotadis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883169,3,1,1,0,4,7p460lrzt1kmp4rsofqa47eqy,1,20.3,73.5,2022-10-21T08:45:15.677Z,2022-10-21T08:45:17Z,3859367051,141,59.3,3859367045,3,,3859367053,212,15.5,3859367055,213,3.8,3859367047,56,Back,3859367049,140,8.7,,,,,,,6xe2j75i29sgwbu11cp526uad,N. Topor-Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883171,4,52,1,0,6,7p460lrzt1kmp4rsofqa47eqy,1,8.7,59.3,2022-10-21T08:45:17.385Z,2022-10-22T11:04:33Z,3861323705,377,,,,,,,,,,,,,,,,,,,,,,,do3hflya9zwcdzxiev0m2cclx,J. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883203,5,1,1,0,9,7p460lrzt1kmp4rsofqa47eqy,1,8.7,59.3,2022-10-21T08:45:20.538Z,2022-10-21T08:45:23Z,3859367203,212,13.1,3859367195,123,,3859367201,141,41.0,3859367197,56,Back,3859367205,213,5.0,3859367199,140,12.6,,,,,,,do3hflya9zwcdzxiev0m2cclx,J. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474883241,6,1,1,0,11,7p460lrzt1kmp4rsofqa47eqy,0,18.8,30.4,2022-10-21T08:45:23.290Z,2022-10-21T08:45:30Z,3859367315,155,,3859367325,213,0.1,3859367319,140,86.0,3859367323,212,71.2,3859367317,56,Center,3859367321,141,44.6,3859367327,1,,,,,d2xblktxmr8illac50p2gcmhh,L. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
