id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/12/value,qualifier/16/value,qualifier/13/value,qualifier/18/value
2506809409,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-02-12T04:54:48.230Z,2023-02-12T07:33:18Z,4027459533,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, ceea6ndbo2sq5cvucg5j31oq2, qdjzxk5jrjnbbq6edbavp2p5, 6i6sc8ttypctphire7scntu51, f3z4grszald48qd1fidjycidw, 7gt275zxk4hkh4zvdtmo3xpzp, 49tycizve9vcx6u78ity42r8q, 1nrqzt5f33akpl06zanky83bp, ebsxh1pvxhmt8olxtapkrf7xl, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, 4lk250c1xd4xsowjrdi0uuevp, du99hpqe1ikml2wohv8ei0hxx, am6xykrxjymw2qpqli6upysq, czj18cj8t4tx4zvhcsysstcve, aeoqbtq15nt9ks5cx50vallhw",4027521533,197,9894,4027459537,59,"12, 44, 13, 8, 6, 15, 37, 11, 14, 10, 99, 1, 2, 7, 9, 35, 36, 16",4027459535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4027459541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4027459539,130,8,4027459545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027459543,194,1nrqzt5f33akpl06zanky83bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506810229,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-02-12T04:58:31.168Z,2023-02-12T05:59:28Z,4027462667,59,"20, 17, 12, 14, 6, 21, 31, 5, 9, 10, 11, 3, 8, 13, 15, 19, 24, 40",4027462663,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, ak2u5d2qrp9ka1b8qyy9ne3md, 3sqlv5wy64mmcnmr5bepafefp, b1hpmuxmbcegdii4cbq5l8kwl, dkqmon0xrrwdhcy66htkf1xwp, 30xc2y82d5xu8hkfhqrjw1z9x, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7ex2ik73ntprjkatncipscudx, 9ydsdzboc7zbdq7vpxx63alm, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, 5uaqcfkubn92hz2hq5ovyurit, avp78eu4gzmfcrpsnqglvwnah, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4027462665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4027462671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4027462669,130,2,4027462675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027462673,194,ak2u5d2qrp9ka1b8qyy9ne3md,4027523085,197,17517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823601,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-02-12T06:00:38.071Z,2023-02-12T06:00:40Z,4027524545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823599,3,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-02-12T06:00:38.071Z,2023-02-13T13:10:01Z,4027524529,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823617,4,1,1,0,1,7jv344gvcvgqg7oeuc9u554dm,1,49.8,50,2023-02-12T06:00:39.171Z,2023-02-12T08:30:49Z,4027524659,279,S,4027524655,212,5.0,4027524649,56,Back,4027524657,213,3.3,4027524653,141,48.5,4027524651,140,45.1,,,,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823623,5,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,1,44.8,52.4,2023-02-12T06:00:40.442Z,2023-02-12T06:00:43Z,4027524685,141,89.9,4027524689,213,2.0,4027524683,140,35.1,4027524687,212,27.5,4027524681,56,Back,,,,,,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823633,6,1,1,0,5,7jv344gvcvgqg7oeuc9u554dm,1,31.6,89.4,2023-02-12T06:00:43.594Z,2023-02-12T06:00:45Z,4027524737,213,4.2,4027524733,141,70.6,4027524731,140,24.9,4027524735,212,14.6,4027524729,56,Back,,,,,,,,,,92ey6tqofzafadpm9y7af2ort,I. Vujica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823637,7,1,1,0,7,7jv344gvcvgqg7oeuc9u554dm,1,23,68.8,2023-02-12T06:00:45.786Z,2023-02-12T06:00:49Z,4027524791,140,7.3,4027524793,141,45.5,4027524797,213,3.9,4027524789,56,Back,4027524795,212,22.9,,,,,,,,,,6i6sc8ttypctphire7scntu51,A. Šušnjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823641,8,1,1,0,10,7jv344gvcvgqg7oeuc9u554dm,1,7.3,45.2,2023-02-12T06:00:49.002Z,2023-02-12T06:00:52Z,4027524833,213,5.2,4027524827,140,20.3,4027524831,212,26.9,4027524825,56,Back,4027524829,141,11.1,,,,,,,,,,4hdho3gfrydh4fzf3ydggef9x,F. Kurto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506823645,9,1,1,0,13,7jv344gvcvgqg7oeuc9u554dm,0,20.3,11.1,2023-02-12T06:00:51.107Z,2023-02-12T06:00:55Z,4027524851,213,0,4027524863,286,,4027524859,233,3,4027524847,141,11.1,4027524843,56,Back,4027524849,212,0.9,4027524845,140,21.2,4027524857,236,,qdjzxk5jrjnbbq6edbavp2p5,T. Uskok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
