id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/17/value,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2481548347,9,1,1,0,19,6h553bwfqkoxayuv80uikkn42,1,28.7,36,2022-11-05T08:46:19.227Z,2022-11-05T08:46:22Z,3894583695,213,2.6,3894583691,141,55.5,3894583693,212,25.3,3894583687,56,Back,3894583689,140,8.2,,,,,,,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548351,10,1,1,0,22,6h553bwfqkoxayuv80uikkn42,0,8.6,56.7,2022-11-05T08:46:22.732Z,2022-11-05T08:46:26Z,3894583717,155,,3894583719,56,Back,3894583723,141,84.5,3894583727,213,0.6,3894583729,1,,3894583721,140,37.7,3894583725,212,35.9,,,,98blyfvs09u1j6m7ltbqai9xx,L. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548389,3,1,1,0,23,c4ygb6mnh53kpl2mpxe52l8jw,1,62,15.3,2022-11-05T08:46:23.668Z,2022-11-05T09:08:48Z,3894583843,140,71.7,3894583849,213,5.9,3894583841,56,Right,3894583847,212,11.0,3894583845,141,9.1,,,,,,,,,,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548391,4,49,1,0,24,c4ygb6mnh53kpl2mpxe52l8jw,1,71.5,8.3,2022-11-05T08:46:24.836Z,2022-11-05T09:08:49Z,,,,,,,,,,,,,,,,,,,,,,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482274647,879,3,1,0,26,c4ygb6mnh53kpl2mpxe52l8jw,0,70.3,8.9,2022-11-05T08:46:26.630Z,2022-11-06T09:22:57Z,3898394035,56,Right,3898394041,467,4rv3p2e0scrkce2l3budvzqol,3898394037,286,,3898394039,465,,,,,,,,,,,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548405,5,4,1,0,27,c4ygb6mnh53kpl2mpxe52l8jw,1,70.2,9.3,2022-11-05T08:46:27.300Z,2022-11-05T09:08:13Z,3894583901,265,,3894583899,152,,3894583897,56,Right,3894609343,233,11,3894583903,286,,3894583895,13,,,,,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548371,11,4,1,0,27,6h553bwfqkoxayuv80uikkn42,0,29.8,90.7,2022-11-05T08:46:27.301Z,2022-11-05T09:08:13Z,3894583783,265,,3894583779,56,Back,3894583777,13,,3894609359,233,5,3894583785,285,,3894583781,152,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548529,12,17,1,0,57,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-11-05T08:46:57.371Z,2022-11-05T09:52:03Z,3894584381,392,,3894584401,189,,3894584379,31,,3894584383,13,243,,,,,,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548639,13,43,1,1,38,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-11-05T08:47:38.387Z,2022-11-05T08:47:52Z,3894584915,144,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548651,14,43,1,1,41,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-11-05T08:47:41.860Z,2022-11-05T08:47:51Z,3894584905,144,28,3894584769,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
