id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,keyPass
2501107543,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-01-28T00:57:28.267Z,2023-01-28T02:04:15Z,3997543595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3997543597,194,7vq2cctowa657lg0v740lhtjp,3997543599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3997543591,59,"13, 2, 36, 5, 29, 15, 8, 7, 16, 18, 19, 3, 4, 20, 21, 30, 37, 43",3997543589,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3997599925,197,17190,3997543593,130,12,3997543587,30,"1vr7xk50jy6ytnogke8h6ciga, 5pjrdhytzrteyqxxcvxxhjqax, 4oqiyxgv3i7lhki54wqjtyqz8, 68mqljqiwgzgextvvyncb3avp, adhfs6658xx5hpxur1496kv6d, 4hudkn0jcog2v9q8qv1vngij9, 7vq2cctowa657lg0v740lhtjp, cufgsqfkltgeb7ak2uan2dqdx, 4wk0sw7u4c17v2owhx5bhmusq, 61rdelnm1qf1rh24z6omazu1h, 869lv47g5aohwwzeyzx9xmt7u, 5c8v9xugyq3jm2kik1eeoptnu, 9sczcrp79182vio8prnrw5kdm, 1e1wh213cg8q6lsqa3kvbjdka, 982owm0ccito2d1x2pkvpqeh, dq73n90z7dgfp2bhh7y3d8161, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501108023,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-01-28T01:00:43.204Z,2023-01-28T02:03:35Z,3997546225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3997546227,59,"20, 17, 12, 14, 6, 21, 10, 5, 9, 7, 11, 3, 8, 13, 19, 24, 31, 40",3997546233,194,ak2u5d2qrp9ka1b8qyy9ne3md,3997546229,130,2,3997599873,197,18054,3997546235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3997546223,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, ak2u5d2qrp9ka1b8qyy9ne3md, 3sqlv5wy64mmcnmr5bepafefp, b1hpmuxmbcegdii4cbq5l8kwl, 42xmd4lhr1zub89n0ormclv4l, 30xc2y82d5xu8hkfhqrjw1z9x, ekjy3o3ymld0zkjdaynb4itat, 7wy9lh4qgnim12456qttxn85, 7ex2ik73ntprjkatncipscudx, 9ydsdzboc7zbdq7vpxx63alm, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, avp78eu4gzmfcrpsnqglvwnah, 3s29k3e5nvxhiiwntw8mynb6y, dkqmon0xrrwdhcy66htkf1xwp, 82tyg0nqfcncdgw3g474a37fu",3997546231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119175,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-01-28T02:00:13.181Z,2023-01-28T02:00:14Z,3997603179,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119173,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-01-28T02:00:13.181Z,2023-01-28T15:43:55Z,3997603173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119187,3,1,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,50.2,49.6,2023-01-28T02:00:13.281Z,2023-01-28T02:00:42Z,3997603243,279,S,3997603233,56,Back,3997603237,141,50.4,3997603235,140,34.6,3997603239,212,16.4,3997603241,213,3.1,,,,,,,7wy9lh4qgnim12456qttxn85,K. Barbarouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119193,4,1,1,0,2,6j4xzc2g1eeafo6v1f38d4x22,1,34.6,50.4,2023-01-28T02:00:16.018Z,2023-01-28T02:00:17Z,3997603277,140,32.9,3997603275,56,Back,3997603281,212,5.1,3997603279,141,43.4,3997603283,213,4.4,,,,,,,,,,30xc2y82d5xu8hkfhqrjw1z9x,S. Ugarković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119201,5,1,1,0,3,6j4xzc2g1eeafo6v1f38d4x22,1,32.9,43.4,2023-01-28T02:00:16.945Z,2023-01-28T02:00:19Z,3997603341,213,1.8,3997603339,212,15.3,3997603335,140,29.1,3997603337,141,65.1,3997603333,56,Back,,,,,,,,,,ak2u5d2qrp9ka1b8qyy9ne3md,A. Rufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119209,6,1,1,0,5,6j4xzc2g1eeafo6v1f38d4x22,1,29.3,81,2023-01-28T02:00:18.977Z,2023-01-28T03:01:43Z,3997603385,212,18.7,3997603387,213,0.5,3997603381,140,44.9,3997603377,56,Back,3997603383,141,94.4,,,,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119215,7,1,1,0,7,6j4xzc2g1eeafo6v1f38d4x22,1,46.6,95,2023-01-28T02:00:20.401Z,2023-01-28T03:01:48Z,3997603429,213,4.3,3997603421,56,Back,3997603425,141,85.1,3997603427,212,7.3,3997603423,140,44.0,,,,,,,,,,6hqb04t5w85e576dgf44vn71m,L. Mauragis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501119225,8,1,1,0,8,6j4xzc2g1eeafo6v1f38d4x22,0,43,84.1,2023-01-28T02:00:21.834Z,2023-01-28T15:45:38Z,3997603477,213,0.2,3997603467,155,,3997603475,212,29.6,3997603469,56,Left,3997603471,140,70.8,3997603473,141,90.9,,,,,,,30xc2y82d5xu8hkfhqrjw1z9x,S. Ugarković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
