id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2489997935,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2022-12-10T07:49:52.564Z,2022-12-10T08:46:10Z,3938883771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3938908407,197,15092,3938883775,130,8,3938883769,30,"77gcx1qotysu9hbi2hw2gjsvd, aeberiw2itt147h2mpjvd5rai, bwxn7o8ved1xo5bmfkfgzekiy, 7q8urr40blud747zzb3io8w5x, ze75933qynqbr4gupkz6xzo5, 8wbljx8706rh6uyhf8eegl1w5, af7c4t8wp0341io4x0dl02ac5, bdo2grdx1mgm63gii3zar50id, 31v9w4cyk1fxlig452kuc65ed, 446scvw0ckoxnvnsqcqocve1h, 7cdvlgpi8g3e8ttspzvr1k251, cqoz8o1pse9uspkqvq3cmges5, 7nhzkoa6bywrlkj9nc3f5ylii, dnpala3bol8svyc2awng6iv9x, c00r3yls3lf245nbo93m9d6cq, 5wivkupbnot9s6z48c31an42y, cixqyw3j852c56wkldlgcd82c, chx78g4kh1xfr7wp84etip016",3938883781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3938883773,59,"1, 25, 38, 8, 4, 3, 15, 6, 9, 14, 7, 2, 16, 22, 23, 33, 34, 35",3938883779,194,8wbljx8706rh6uyhf8eegl1w5,3938883777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489998169,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2022-12-10T07:52:15.309Z,2022-12-10T08:48:14Z,3938914829,197,15395,3938885435,59,"1, 23, 18, 26, 2, 6, 8, 17, 12, 10, 22, 9, 19, 20, 25, 27, 28, 29",3938885443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3938885431,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 974s3rwvb2ls1k1no4hlaz8ph, 4ehmmuuxljgliiz7f7298h61h, 9634dv110vlqnf02k4yif14np, 7nkjqwtji300a54ubhxn5f179, cr52lkk2tjwlz0gd34b0klyad, c243bbqbc7agln9jpv0faa6dx, cuaqqokt0c82wz0bc0tt10rxm, aiehjyb5unahdn0somr3ewa1h, bu8z6ig5wrrtgsm1qhe4fxe51, b255io6lia16l5dzuxfpruhud, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, ctrffnfu5yqmqf9nqyex5ky22, 1jztjm4e2ram1rrx1meaqu44q, emzxhx2ki2r67c5l33hfv8844, 49ctudxdwjkrhz6n3ykjpmdey",3938885437,130,4,3938885439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3938885441,194,4ehmmuuxljgliiz7f7298h61h,3938885433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003653,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2022-12-10T08:45:42.358Z,2022-12-11T07:48:55Z,3938914993,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003657,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2022-12-10T08:45:42.358Z,2022-12-10T08:45:44Z,3938914999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003665,3,1,1,0,0,38ui5tfi8anjuh533emny2tz1,1,50.6,50.7,2022-12-10T08:45:42.458Z,2022-12-10T08:45:45Z,3938915031,279,S,3938915025,141,49.0,3938915021,56,Back,3938915029,213,3.2,3938915023,140,39.0,3938915027,212,12.2,,,,,,,cuaqqokt0c82wz0bc0tt10rxm,P. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003671,4,1,1,0,3,38ui5tfi8anjuh533emny2tz1,1,39.1,36.3,2022-12-10T08:45:45.684Z,2022-12-10T08:45:47Z,3938915065,140,41.4,3938915069,212,20.4,3938915063,56,Back,3938915071,213,4.8,3938915067,141,6.5,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003675,5,1,1,0,5,38ui5tfi8anjuh533emny2tz1,1,39.6,7.3,2022-12-10T08:45:47.540Z,2022-12-10T08:45:48Z,3938915103,213,1.3,3938915101,212,7.4,3938915095,56,Back,3938915099,141,17.9,3938915097,140,41.3,,,,,,,,,,7yl3en0sif2gcwrtwmtmo3d1x,R. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003679,6,1,1,0,6,38ui5tfi8anjuh533emny2tz1,1,41.3,17.9,2022-12-10T08:45:48.804Z,2022-12-10T08:45:50Z,3938915111,56,Right,3938915113,140,56.0,3938915115,141,3.7,3938915119,213,5.7,3938915117,212,18.2,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003681,7,1,1,0,7,38ui5tfi8anjuh533emny2tz1,0,56,3.7,2022-12-10T08:45:49.987Z,2022-12-10T08:46:08Z,3938915123,56,Right,3938915125,140,57.4,3938915131,213,1.4,3938915129,212,8.6,3938915127,141,16.2,,,,,,,,,,aiehjyb5unahdn0somr3ewa1h,J. Lolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490003687,3,12,1,0,8,c33jm806py6adse5wv9wx6ch1,1,38.9,85.7,2022-12-10T08:45:50.896Z,2022-12-10T09:38:31Z,3938915147,140,46.1,3938915159,167,,3938915153,213,1.0,3938915145,56,Back,3938915151,212,13.4,3938915149,141,100.0,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
