id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2482210919,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2022-11-06T04:56:27.016Z,2022-11-06T06:29:53Z,3898088225,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, ak7gkgt0ysr3p9e5vvq036i8l, 30eyww0b75hsid71kihac79pl, d2xblktxmr8illac50p2gcmhh, bfw1ktidkogubiuvx2c0qqtbd, bknqxl16j0tm4dggbwjmzb2t, 43o49py4g8fmyg5pawvjsf8tm, 8wrppgiwivlivxryo6rvocamt, cqwfvlrzbld40ce3s1qmdniz9, cfkv8xhbb3j2e0wulp49i1jvt, 68z86n999vjdyb7mlj8nnlp05, bb4iwletl36hvcn0rthlrm8a2, 7914s37ru5s1ocfb6ke2fs2ga, 8yyosfgv4yj0g7k2rwk743fft, 8sknvoifu8w9wpso5xije0b56, d5wx8rvjfaw1arn69fdd64d90",3898153397,197,6264,3898088237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898088229,59,"1, 19, 17, 10, 27, 4, 8, 88, 9, 14, 11, 5, 23, 26, 33, 37, 38, 42",3898088231,130,8,3898088227,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3898088233,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3898088235,194,bj77m6u2q7jd9nf67dleq2tp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482211159,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2022-11-06T04:58:32.190Z,2022-11-06T06:18:44Z,3898089697,194,8wt0rz1iw4aon12zj6axq1sk5,3898152849,197,13032,3898089687,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 2kig0lwusomobls6p3am0l7qi, a5y5w6rclo7jen1tg6xhfgewa, 8t39sfyi8s85bs1ptjymmbd1x, bidqgybf8b93bdsi4t4kzeuhh, 3qwtpnlm38xo5f1u36a30kus5, 6b31g4lw3ste6xrg1kwwn5iol, 7svze93i8mizkw3h8wsdbxkgl, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 5jj95ojkl5antavm5xboygokq, 9l5seuy6ggcvpqnt5ekxn1pii, bdubw4m7kqyerzclhw8s8zpp1, evf4z0xf7cd5nidnq6q4x8w7o, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",3898089691,59,"46, 21, 7, 6, 41, 3, 26, 8, 9, 14, 11, 1, 2, 13, 28, 35, 55, 66",3898089699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898089689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3898089695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3898089693,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220305,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2022-11-06T06:00:10.793Z,2022-11-06T06:08:21Z,3898154573,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220311,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2022-11-06T06:00:10.793Z,2022-11-24T04:40:40Z,3898154591,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220319,3,1,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,50,50,2022-11-06T06:00:10.893Z,2022-11-06T06:08:20Z,3898154651,212,17.8,3898154647,140,33.6,3898154655,279,S,3898154653,213,2.9,3898154649,141,56.9,3898154645,56,Back,,,,,,,6b31g4lw3ste6xrg1kwwn5iol,H. Ibusuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220329,4,1,1,0,3,6lezh5aazy0xca1800e5dqxwl,0,39.9,52.8,2022-11-06T06:00:14.437Z,2022-11-06T06:08:20Z,3898154703,212,56.4,3898154705,213,5.7,3898154695,155,,3898154701,141,10.0,3898154699,140,85.9,3898154697,56,Right,3898154707,1,,,,,3qwtpnlm38xo5f1u36a30kus5,Isaías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220341,3,1,1,0,7,7p460lrzt1kmp4rsofqa47eqy,1,18.3,88.1,2022-11-06T06:00:17.968Z,2022-11-06T06:00:21Z,3898154797,212,8.1,3898154795,141,88.9,3898154793,140,26.0,3898154791,56,Back,3898154799,213,0.1,3898154789,3,,,,,,,,f4dbx6c236nuk9f1p2qqi3x79,B. Garuccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220345,4,49,1,0,10,7p460lrzt1kmp4rsofqa47eqy,1,26,88.9,2022-11-06T06:00:21.072Z,2022-11-06T06:00:36Z,,,,,,,,,,,,,,,,,,,,,,,,,bknqxl16j0tm4dggbwjmzb2t,N. Kilkenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220347,5,1,1,0,10,7p460lrzt1kmp4rsofqa47eqy,0,26,88.9,2022-11-06T06:00:21.598Z,2022-11-06T06:00:38Z,3898154825,141,100.0,3898154823,140,50.6,3898154821,56,Left,3898154829,213,0.3,3898154831,1,,3898154827,212,27.2,3898154819,157,,,,,bknqxl16j0tm4dggbwjmzb2t,N. Kilkenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482220355,5,5,1,0,11,6lezh5aazy0xca1800e5dqxwl,1,50,-1,2022-11-06T06:00:22.660Z,2022-11-06T06:11:12Z,3898154881,233,6,3898154873,56,Right,3898154875,347,,,,,,,,,,,,,,,,,3qwtpnlm38xo5f1u36a30kus5,Isaías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
