id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/14/value,assist,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2515653947,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-03-05T02:37:13.217Z,2023-03-05T04:34:56Z,4074145603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4074145607,130,23,4074145611,194,qdjzxk5jrjnbbq6edbavp2p5,4074145605,59,"12, 44, 13, 11, 6, 5, 8, 99, 9, 35, 7, 1, 2, 41, 20, 24, 27, 36",4074145609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074270801,197,9894,4074145601,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, 7gt275zxk4hkh4zvdtmo3xpzp, qdjzxk5jrjnbbq6edbavp2p5, c3u652s3v8u1q4qid5mkbtyw9, ceea6ndbo2sq5cvucg5j31oq2, ebsxh1pvxhmt8olxtapkrf7xl, du99hpqe1ikml2wohv8ei0hxx, am6xykrxjymw2qpqli6upysq, 4lk250c1xd4xsowjrdi0uuevp, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, aeoqbtq15nt9ks5cx50vallhw, cyex7clv49xf8p6j8l3jw1cdl, brm3r6uywyf21o3cnuizwofvu, 6f9jrka1qz3j5mfx4x3a5ubfu, czj18cj8t4tx4zvhcsysstcve",4074145613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515655235,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-03-05T02:43:34.986Z,2023-03-05T05:23:12Z,4074154411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074154405,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4074154409,130,12,4074286165,194,3zl5ec82f8zebkxkfdz16e3th,4074154403,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, 11kqna4zthfmc592eudehj3oq, bhl2kwvi52osrdsdnbtw45lyi, 3zl5ec82f8zebkxkfdz16e3th, dhnssdf1iuorniavvla5zbwx6, 1hcnrw2udxcdff6bre73sv1pm, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, 2h9me0kgogb1ke6327y78hk9h, 7nhzkoa6bywrlkj9nc3f5ylii, 26vm9o1w3l4behscs3hk4d8x6, 7mgwfxva7w88k90jhjd1wx3o5, cap22dno3uid8jyckne737tyi, uyhh5u2ezau9f095symdh3sa, da3z6nhhqd45932cy3qi2kout, abfwfqsv8o9xsnkor896869cl, 6jri9zzc1ccwcof95srv8h4pg",4074154407,59,"23, 19, 11, 3, 5, 27, 13, 7, 10, 22, 12, 1, 2, 15, 17, 21, 26, 35",4074271245,197,879,4074154413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678513,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-03-05T04:02:28.704Z,2023-03-05T10:34:14Z,4074278217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678517,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-03-05T04:02:28.704Z,2023-03-05T04:02:30Z,4074278233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678521,3,1,1,0,1,v046no35g7ebk8lytdjmfb43,1,50,50,2023-03-05T04:02:29.804Z,2023-03-05T05:02:00Z,4074278251,140,39.9,4074278259,279,S,4074278255,212,11.5,4074278249,56,Back,4074278253,141,56.4,4074278257,213,2.8,,,,,,,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678543,4,1,1,0,2,v046no35g7ebk8lytdjmfb43,1,39.9,56.4,2023-03-05T04:02:31.673Z,2023-03-05T05:02:02Z,4074278363,212,6.0,4074278365,213,4.5,4074278357,56,Back,4074278361,141,47.8,4074278359,140,38.7,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,T. Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678549,5,1,1,0,3,v046no35g7ebk8lytdjmfb43,0,38.7,47.8,2023-03-05T04:02:32.454Z,2023-03-05T10:13:59Z,4074278397,140,80.6,4074278393,155,,4074278405,1,,4074278395,56,Center,4074278401,212,47.3,4074278399,141,73.2,4074278403,213,0.4,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515764281,887,49,1,0,5,7jv344gvcvgqg7oeuc9u554dm,1,22.5,32.9,2023-03-05T04:02:34.014Z,2023-03-05T10:14:12Z,,,,,,,,,,,,,,,,,,,,,,,,,44cqwwuueirgp57r8ks0725t5,M. Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678565,3,1,1,0,6,7jv344gvcvgqg7oeuc9u554dm,1,20.9,25.9,2023-03-05T04:02:35.486Z,2023-03-05T04:02:37Z,4074278469,1,,4074278465,212,32.2,4074278467,213,1.4,4074278463,141,72.6,4074278459,56,Back,4074278461,140,25.7,4074278457,157,,,,,44cqwwuueirgp57r8ks0725t5,M. Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678589,4,1,1,0,9,7jv344gvcvgqg7oeuc9u554dm,0,25.7,72.6,2023-03-05T04:02:37.867Z,2023-03-05T04:02:44Z,4074278599,3,,4074278601,56,Back,4074278605,141,20.3,4074278611,1,,4074278609,213,5.2,4074278603,140,45.0,4074278607,212,40.9,,,,92ey6tqofzafadpm9y7af2ort,I. Vujica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678611,6,4,1,0,15,v046no35g7ebk8lytdjmfb43,1,51.5,75.8,2023-03-05T04:02:44.642Z,2023-03-05T04:02:50Z,4074278723,13,,4074278727,56,Center,4074278737,233,5,4074278731,286,,4074278725,295,,4074278729,152,,,,,,,,bhl2kwvi52osrdsdnbtw45lyi,J. Courtney-Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678601,5,4,1,0,15,7jv344gvcvgqg7oeuc9u554dm,0,48.5,24.2,2023-03-05T04:02:44.643Z,2023-03-05T04:02:50Z,4074278677,56,Back,4074278673,13,,4074278675,295,,4074278679,152,,4074278681,285,,4074278747,233,6,,,,,,,du99hpqe1ikml2wohv8ei0hxx,B. Arabuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678651,7,1,1,0,27,v046no35g7ebk8lytdjmfb43,0,48.3,87.1,2023-03-05T04:02:56.211Z,2023-03-05T04:02:59Z,4074278921,212,42.0,4074278909,5,,4074278911,155,,4074278915,56,Left,4074278919,141,79.7,4074278923,213,6.2,4074278917,140,88.0,4074278913,152,,bhl2kwvi52osrdsdnbtw45lyi,J. Courtney-Perkins,4074278925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515678669,6,1,1,0,33,7jv344gvcvgqg7oeuc9u554dm,1,9.5,15.9,2023-03-05T04:03:02.589Z,2023-03-05T04:08:07Z,4074285825,56,Back,4074285829,141,2.7,4074285823,3,,4074285827,140,21.6,4074285833,213,5.7,4074285831,212,15.6,,,,,,,qdjzxk5jrjnbbq6edbavp2p5,T. Uskok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515680013,56,49,1,0,34,7jv344gvcvgqg7oeuc9u554dm,1,27.1,2.5,2023-03-05T04:03:02.836Z,2023-03-05T04:07:33Z,,,,,,,,,,,,,,,,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
