id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/16/value,qualifier/17/value,assist
2538613999,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-24T07:51:58.094Z,2023-04-24T09:33:46Z,4216762793,197,879,4216762787,130,7,4216762781,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, bhl2kwvi52osrdsdnbtw45lyi, 7nhzkoa6bywrlkj9nc3f5ylii, 7mgwfxva7w88k90jhjd1wx3o5, 3zl5ec82f8zebkxkfdz16e3th, 1hcnrw2udxcdff6bre73sv1pm, abfwfqsv8o9xsnkor896869cl, 2h9me0kgogb1ke6327y78hk9h, dhnssdf1iuorniavvla5zbwx6, 11kqna4zthfmc592eudehj3oq, 26vm9o1w3l4behscs3hk4d8x6, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, cap22dno3uid8jyckne737tyi, uyhh5u2ezau9f095symdh3sa, da3z6nhhqd45932cy3qi2kout, 4s2umn33b5fo5zcpkwjcbry7d",4216762785,59,"23, 19, 3, 12, 2, 5, 13, 26, 22, 27, 11, 1, 7, 10, 15, 17, 21, 28",4216762789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4216762783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4216762791,194,3zl5ec82f8zebkxkfdz16e3th,4216762795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538619591,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-04-24T08:04:39.088Z,2023-04-24T09:15:00Z,4216789879,194,bgzao2jp59jygdic68s5iudat,4216789873,59,"1, 23, 3, 26, 6, 4, 10, 17, 22, 9, 11, 2, 8, 12, 19, 20, 25, 28",4216789877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4216789875,130,2,4216789871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4216789883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216789869,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 9dxuc4hj1ovd3mpjrxombnm22, 4ehmmuuxljgliiz7f7298h61h, 7nkjqwtji300a54ubhxn5f179, bgzao2jp59jygdic68s5iudat, aiehjyb5unahdn0somr3ewa1h, c243bbqbc7agln9jpv0faa6dx, bu8z6ig5wrrtgsm1qhe4fxe51, b255io6lia16l5dzuxfpruhud, 4rg5d1oo8rtclemhci81i6xg5, 9634dv110vlqnf02k4yif14np, cr52lkk2tjwlz0gd34b0klyad, cuaqqokt0c82wz0bc0tt10rxm, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, ctrffnfu5yqmqf9nqyex5ky22, emzxhx2ki2r67c5l33hfv8844",4216789881,197,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639291,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-04-24T09:10:01.126Z,2023-04-24T09:10:01Z,4216890217,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639297,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-24T09:10:01.126Z,2023-04-25T11:42:14Z,4216890245,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639317,3,1,1,0,0,38ui5tfi8anjuh533emny2tz1,1,50,50,2023-04-24T09:10:01.226Z,2023-04-24T09:10:04Z,4216890313,279,S,4216890307,141,43.4,4216890305,140,38.9,4216890303,56,Back,4216890309,212,12.5,4216890311,213,3.5,,,,,,,b255io6lia16l5dzuxfpruhud,A. Le Fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639325,4,1,1,0,3,38ui5tfi8anjuh533emny2tz1,1,40.5,39.7,2023-04-24T09:10:04.378Z,2023-04-24T09:10:05Z,4216890349,212,10.6,4216890343,56,Back,4216890351,213,5.2,4216890347,141,25.6,4216890345,140,44.8,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639347,5,1,1,0,4,38ui5tfi8anjuh533emny2tz1,1,44.6,22.4,2023-04-24T09:10:05.746Z,2023-04-24T09:10:08Z,4216890453,140,40.8,4216890459,213,4.4,4216890457,212,14.1,4216890451,56,Back,4216890455,141,2.5,,,,,,,,,,bu8z6ig5wrrtgsm1qhe4fxe51,M. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639351,6,1,1,0,7,38ui5tfi8anjuh533emny2tz1,0,40.8,2.5,2023-04-24T09:10:08.290Z,2023-04-24T09:10:09Z,4216890469,140,51.4,4216890475,213,0.2,4216890471,141,5.8,4216890473,212,11.4,4216890467,56,Right,,,,,,,,,,7yl3en0sif2gcwrtwmtmo3d1x,R. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639365,3,49,1,0,8,v046no35g7ebk8lytdjmfb43,1,39.1,92.9,2023-04-24T09:10:10.082Z,2023-04-24T09:10:10Z,,,,,,,,,,,,,,,,,,,,,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639391,4,1,1,0,9,v046no35g7ebk8lytdjmfb43,1,39.1,92.9,2023-04-24T09:10:10.250Z,2023-04-24T09:10:12Z,4216890629,141,94.5,4216890633,213,0.1,4216890631,212,17.8,4216890627,140,56.0,4216890625,56,Left,,,,,,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639393,7,45,1,0,10,38ui5tfi8anjuh533emny2tz1,0,43.8,5.1,2023-04-24T09:10:11.235Z,2023-04-24T09:20:52Z,4216890643,285,,4216890705,233,48,4216890641,56,Back,,,,,,,,,,,,,,,,7yl3en0sif2gcwrtwmtmo3d1x,R. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538642291,48,3,1,0,10,v046no35g7ebk8lytdjmfb43,1,56.2,94.9,2023-04-24T09:10:11.235Z,2023-04-25T11:43:41Z,4216904531,56,Left,4216904533,286,,4216904539,233,7,4219245997,465,,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639403,5,3,1,0,11,v046no35g7ebk8lytdjmfb43,1,57.2,95.6,2023-04-24T09:10:12.329Z,2023-04-25T11:44:00Z,4216890671,56,Left,4219246055,465,,4216890673,286,,4216890679,233,56,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538642289,56,45,1,0,11,38ui5tfi8anjuh533emny2tz1,0,42.8,4.4,2023-04-24T09:10:12.329Z,2023-04-25T11:44:02Z,4216907321,233,5,4216907305,56,Back,4216907307,285,,,,,,,,,,,,,,,,,bu8z6ig5wrrtgsm1qhe4fxe51,M. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639421,6,1,1,0,12,v046no35g7ebk8lytdjmfb43,0,55.8,92.6,2023-04-24T09:10:13.502Z,2023-04-24T09:10:16Z,4216890739,212,2.3,4216890733,56,Left,4216890765,236,,4216890767,233,8,4216890737,141,89.6,4216890735,140,56.8,4216890741,213,5.2,4216890771,286,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639407,8,74,1,0,12,38ui5tfi8anjuh533emny2tz1,1,42.9,6.1,2023-04-24T09:10:13.503Z,2023-04-24T09:10:16Z,4216890685,285,,4216890683,56,Back,4216890779,233,6,,,,,,,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538639449,9,1,1,0,14,38ui5tfi8anjuh533emny2tz1,1,33.7,3.4,2023-04-24T09:10:15.378Z,2023-04-24T09:10:17Z,4216890859,213,2.7,4216890853,140,19.0,4216890855,141,12.9,4216890851,56,Back,4216890857,212,16.7,,,,,,,,,,7yl3en0sif2gcwrtwmtmo3d1x,R. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
