id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,assist,qualifier/16/value
2514837535,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-03-04T04:37:17.461Z,2023-03-04T05:58:55Z,4069833685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069833681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069961791,197,6264,4069833677,59,"1, 19, 17, 7, 6, 4, 8, 88, 38, 14, 11, 5, 9, 10, 23, 37, 44, 99",4069833675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4069833671,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, d9fmhxd6637ihfqc9qvsnmjth, 8alirbm4n482p155zi3174fyt, d2xblktxmr8illac50p2gcmhh, bfw1ktidkogubiuvx2c0qqtbd, bknqxl16j0tm4dggbwjmzb2t, 8sknvoifu8w9wpso5xije0b56, 8wrppgiwivlivxryo6rvocamt, cqwfvlrzbld40ce3s1qmdniz9, cfkv8xhbb3j2e0wulp49i1jvt, 34dwjcubokyikikcect9v4wve, ak7gkgt0ysr3p9e5vvq036i8l, 68z86n999vjdyb7mlj8nnlp05, 8yyosfgv4yj0g7k2rwk743fft, 6xe2j75i29sgwbu11cp526uad, dpre9cmklv12i80xbyqnku505",4069833683,194,bj77m6u2q7jd9nf67dleq2tp1,4069833679,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514837969,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-04T04:39:25.198Z,2023-03-04T06:04:58Z,4069835843,30,"1vr7xk50jy6ytnogke8h6ciga, f35u25047d9vmzt6j20fd29cl, 8gzsegmgy3fjcluzdci515j2t, 68mqljqiwgzgextvvyncb3avp, 4hudkn0jcog2v9q8qv1vngij9, 5pjrdhytzrteyqxxcvxxhjqax, 4wk0sw7u4c17v2owhx5bhmusq, 7vq2cctowa657lg0v740lhtjp, 61rdelnm1qf1rh24z6omazu1h, 2tveu4wl8zdno0v950r0r34k5, 5ik9yg42hblwa27q4p29awyj9, 9sczcrp79182vio8prnrw5kdm, 869lv47g5aohwwzeyzx9xmt7u, 1e1wh213cg8q6lsqa3kvbjdka, 982owm0ccito2d1x2pkvpqeh, dq73n90z7dgfp2bhh7y3d8161, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",4069959903,197,17190,4069835855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069835851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069835853,194,7vq2cctowa657lg0v740lhtjp,4069835849,130,10,4069835847,59,"13, 10, 14, 5, 15, 2, 16, 8, 18, 22, 6, 4, 19, 20, 21, 30, 37, 43",4069835845,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862137,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-04T06:00:10.275Z,2023-03-04T06:00:10Z,4069962835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862139,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-03-04T06:00:10.275Z,2023-03-04T11:42:30Z,4069962851,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862149,3,1,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,49.3,51.5,2023-03-04T06:00:10.375Z,2023-03-04T06:00:13Z,4069962883,56,Back,4069962891,213,2.9,4069962885,140,33.2,4069962887,141,56.7,4069962893,279,S,4069962889,212,17.3,,,,,,,5ik9yg42hblwa27q4p29awyj9,A. McEneff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862163,4,1,1,0,3,cuj4qahgk4idsme4dg8clk6gw,0,33.3,58.1,2023-03-04T06:00:13.688Z,2023-03-04T06:00:17Z,4069962999,212,57.1,4069962991,196,,4069963003,1,,4069962995,140,71.3,4069962997,141,0.0,4069962993,56,Right,4069963001,213,5.5,4069962989,155,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862209,3,5,1,0,7,7p460lrzt1kmp4rsofqa47eqy,1,32.8,102,2023-03-04T06:00:17.735Z,2023-03-04T06:31:19Z,4069963201,233,5,4069963191,347,,4069963189,56,Back,,,,,,,,,,,,,,,,f4dbx6c236nuk9f1p2qqi3x79,B. Garuccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862165,5,5,1,0,7,cuj4qahgk4idsme4dg8clk6gw,0,67.2,-2,2023-03-04T06:00:17.735Z,2023-03-04T06:00:26Z,4069963221,233,3,4069963015,347,,4069963013,56,Right,,,,,,,,,,,,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862227,4,1,1,0,15,7p460lrzt1kmp4rsofqa47eqy,1,31.9,100,2023-03-04T06:00:25.418Z,2023-03-04T06:00:28Z,4069963289,56,Back,4069963293,141,87.1,4069963287,107,,4069963297,213,5.7,4069963295,212,19.8,4069963291,140,48.1,,,,,,,f4dbx6c236nuk9f1p2qqi3x79,B. Garuccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514862241,5,1,1,0,18,7p460lrzt1kmp4rsofqa47eqy,1,47.2,87.2,2023-03-04T06:00:28.442Z,2023-03-04T06:00:30Z,4069963367,141,59.7,4069963359,3,,4069963365,140,43.8,4069963371,213,4.5,4069963369,212,19.0,4069963363,56,Back,,,,,,,8sknvoifu8w9wpso5xije0b56,N. Botić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
