id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/10/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/17/value
2475184133,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-10-22T04:51:30.302Z,2022-10-22T06:15:51Z,3860940495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860940485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3860940483,30,"4epapct9t0a0skf8522jyerjd, a9a2obtq50arrgfe7m0cd0qtx, 4qdcbp2hdy7ap97sas98x3g0l, 37ymn40mii3xfovk1iyg6mthx, bpm5mr9bgqdsnc5cesnf2ga1h, 3gpp1g8587gh95uzripmv9pwq, 7zbq77fks307ubp7bxvghxdqt, 9lh56gt4nxb29rm416rb6lv1m, 8q4a3xz1plwm6f06jawwvo5ih, ukb790rcuwjsylvtyu822prd, 1u9k9c9uuoj9ktx8ctacv2ajt, 30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, ccof41jyzj4bnh14u8goyjutx, 6lu5jfgq3rxunqnbbxpu8ztyi, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 6f2f519kxin4bqo4gco4lby1g",3860940491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860973881,197,869,3860940487,59,"20, 25, 24, 6, 5, 33, 11, 32, 8, 10, 7, 1, 2, 3, 17, 18, 19, 26",3860940489,130,8,3860940493,194,bpm5mr9bgqdsnc5cesnf2ga1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475185801,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-10-22T05:05:53.836Z,2022-10-22T06:01:37Z,3860973377,197,883,3860948975,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3860948985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860948973,30,"56p368h15z4s1izxoz3pvu4et, 3sqlv5wy64mmcnmr5bepafefp, avp78eu4gzmfcrpsnqglvwnah, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, b1hpmuxmbcegdii4cbq5l8kwl, 7wy9lh4qgnim12456qttxn85, 578n9sc6cucs81focurtu36c5, ekjy3o3ymld0zkjdaynb4itat, e713hl3clivldop8wln53rsyy, 7ex2ik73ntprjkatncipscudx, 9ydsdzboc7zbdq7vpxx63alm, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, ueklj0jop1moq303rq5vnca1, 3s29k3e5nvxhiiwntw8mynb6y, 2mrh8hbusuml4jkvcuw84enhm, 82tyg0nqfcncdgw3g474a37fu",3860948983,194,56p368h15z4s1izxoz3pvu4et,3860948977,59,"20, 6, 19, 5, 4, 21, 7, 23, 9, 18, 11, 3, 8, 13, 17, 24, 35, 40",3860948979,130,2,3860948981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475191955,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-10-22T06:01:08.473Z,2022-10-23T07:34:17Z,3860979663,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475191957,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-10-22T06:01:08.473Z,2022-10-22T06:01:10Z,3860979673,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475191969,3,1,1,0,1,chu9blh367xs3yumct5tqto2q,1,50.1,49.9,2022-10-22T06:01:09.573Z,2022-10-23T07:41:28Z,3860979721,213,3.5,3860979713,56,Back,3860979723,279,S,3860979719,212,18.0,3860979717,141,39.7,3860979715,140,34.3,,,,,,,ukb790rcuwjsylvtyu822prd,R. Piscopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475191983,4,1,1,0,2,chu9blh367xs3yumct5tqto2q,1,33.6,38.6,2022-10-22T06:01:10.805Z,2022-10-23T07:41:30Z,3860979795,56,Back,3860979799,141,27.8,3860979797,140,36.8,3860979801,212,8.1,3860979803,213,5.1,,,,,,,,,,bpm5mr9bgqdsnc5cesnf2ga1h,M. Jurman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192005,5,1,1,0,5,chu9blh367xs3yumct5tqto2q,0,37.9,17.6,2022-10-22T06:01:14.237Z,2022-10-22T06:01:19Z,3860979939,212,39.4,3860979941,213,0.1,3860979935,140,75.1,3860979937,141,25.0,3860979931,155,,3860979943,1,,3860979933,56,Center,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192227,6,44,1,0,7,6j4xzc2g1eeafo6v1f38d4x22,1,23.6,75.6,2022-10-22T06:01:15.762Z,2022-10-22T06:02:33Z,3860981687,233,6,3860981249,285,,3860981247,56,Back,,,,,,,,,,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192007,6,44,1,0,7,chu9blh367xs3yumct5tqto2q,0,76.4,24.4,2022-10-22T06:01:15.763Z,2022-10-22T06:02:34Z,3860981707,233,6,3860979947,56,Center,3860979949,286,,,,,,,,,,,,,,,,,1u9k9c9uuoj9ktx8ctacv2ajt,T. Buhagiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192009,3,1,1,0,7,6j4xzc2g1eeafo6v1f38d4x22,0,21.7,74.7,2022-10-22T06:01:16.252Z,2022-10-23T07:41:40Z,3860979963,140,38.4,3860979959,3,,3860979961,56,Back,3860979967,212,19.0,3860979965,141,85.3,3860979969,213,0.4,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192021,7,1,1,0,10,chu9blh367xs3yumct5tqto2q,1,59.1,11.2,2022-10-22T06:01:19.150Z,2022-10-22T06:52:24Z,3860980055,3,,3860980063,212,14.0,3860980061,141,5.9,3860980057,56,Right,3860980059,140,72.0,3860980065,213,6.0,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192033,8,1,1,0,11,chu9blh367xs3yumct5tqto2q,1,72,5.9,2022-10-22T06:01:20.133Z,2022-10-22T06:52:26Z,3860980095,56,Right,3860980099,141,14.0,3860980103,213,2.2,3860980097,140,68.4,3860980101,212,6.7,3860980093,3,,,,,,,,8q4a3xz1plwm6f06jawwvo5ih,B. Dartsmelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
