id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,assist,qualifier/16/value,qualifier/17/value
2540514497,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-04-29T08:46:18.581Z,2023-04-29T09:56:22Z,4233895521,194,yhkueqgsvvd5fzdffg9nky51,4233895517,130,21,4233895513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4233895523,197,889,4233895511,30,"dmxzug2enscx331w5vmdzn2s5, 2g39f2y5dqwg3q4sw2jf6x6g9, 2wnqoxtt8xlglpndyjb5rb622, ez47kkcz2wgypddldq97yz2dx, 46acb400oivj94jwu3i3lrxsl, yhkueqgsvvd5fzdffg9nky51, 5hylntpne6d7xwey2v9d9lg8a, 21ngdkjv2nhbacznidnyq82ui, njzhdtpegev8seam0oe0zpp1, cl3z842ngppg6uu3tlusruep5, c575swutxi9er3j9txklhrzoq, 3ff82uwwa2eb4k4yh7f1144id, vfwu1evhxgeeza1pvkyaxgph, 2nn6berxelojkxb2rjjnqw4id, 91lwbi9gd4crrnmt30yld307p, w8u1a5hrtitytfof3jk0zbh1, bzzknt1y8qkmcon3vw7hdadp1, 5ub4d2vf2s1fujgoa2at29aay",4233895525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233895519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233895515,59,"20, 16, 3, 14, 5, 21, 24, 46, 10, 19, 11, 1, 4, 6, 7, 8, 18, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540515935,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-29T08:49:38.499Z,2023-04-29T09:50:55Z,4233902677,197,879,4233902673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233902667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4233902671,130,6,4233902675,194,3zl5ec82f8zebkxkfdz16e3th,4233902669,59,"1, 19, 3, 27, 2, 5, 13, 12, 22, 26, 11, 7, 10, 15, 17, 21, 23, 28",4233902679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233902665,30,"26vm9o1w3l4behscs3hk4d8x6, 4gn22fnshsmgxyayuj2p77v85, bhl2kwvi52osrdsdnbtw45lyi, dhnssdf1iuorniavvla5zbwx6, 7mgwfxva7w88k90jhjd1wx3o5, 3zl5ec82f8zebkxkfdz16e3th, 1hcnrw2udxcdff6bre73sv1pm, 7nhzkoa6bywrlkj9nc3f5ylii, 2h9me0kgogb1ke6327y78hk9h, abfwfqsv8o9xsnkor896869cl, 11kqna4zthfmc592eudehj3oq, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, cap22dno3uid8jyckne737tyi, uyhh5u2ezau9f095symdh3sa, da3z6nhhqd45932cy3qi2kout, cb0y1hi0ozn1rx00vx6a1xr6x, 4s2umn33b5fo5zcpkwjcbry7d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532269,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-29T09:46:03.157Z,2023-04-29T09:46:03Z,4233993233,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532275,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-04-29T09:46:03.157Z,2023-04-29T22:01:44Z,4233993251,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532295,3,1,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,50,49.9,2023-04-29T09:46:03.257Z,2023-04-29T09:53:58Z,4233993369,140,24.6,4233993375,213,3.2,4233993371,141,48.9,4233993367,56,Back,4233993373,212,26.7,4233993377,279,S,,,,,,,cl3z842ngppg6uu3tlusruep5,F. Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532299,4,43,1,0,5,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-04-29T09:46:09.029Z,2023-04-29T09:54:36Z,4233993419,140,27.6,4233993425,213,3.3,4233993423,212,8.0,4233993417,56,Back,4234004339,144,1,4233993421,141,44.8,,,,,,,ez47kkcz2wgypddldq97yz2dx,C. Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532303,5,1,1,0,7,9xmhnv6im8h7c9e17oqvcx8gl,1,27.6,44.8,2023-04-29T09:46:10.316Z,2023-04-29T09:54:33Z,4233993467,213,5.0,4233993457,140,32.6,4233993461,141,17.9,4233993453,56,Back,4233993465,212,19.0,,,,,,,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532311,6,1,1,0,8,9xmhnv6im8h7c9e17oqvcx8gl,1,32.6,17.9,2023-04-29T09:46:11.772Z,2023-04-29T09:46:13Z,4233993499,140,22.7,4233993503,212,12.9,4233993501,141,29.1,4233993505,213,2.5,4233993497,56,Back,,,,,,,,,,2g39f2y5dqwg3q4sw2jf6x6g9,S. Nigro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532321,7,1,1,0,9,9xmhnv6im8h7c9e17oqvcx8gl,1,22.7,29.1,2023-04-29T09:46:12.941Z,2023-04-29T09:46:15Z,4233993569,140,29.7,4233993575,213,5.1,4233993571,141,5.2,4233993567,56,Back,4233993573,212,17.8,,,,,,,,,,46acb400oivj94jwu3i3lrxsl,D. Da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540532325,8,1,1,0,11,9xmhnv6im8h7c9e17oqvcx8gl,0,28.3,2.9,2023-04-29T09:46:14.725Z,2023-04-29T22:02:07Z,4233993607,213,0.2,4233993599,140,55.6,4233993595,155,,4233993601,141,10.3,4233993597,56,Right,4233993605,212,29.1,,,,,,,2g39f2y5dqwg3q4sw2jf6x6g9,S. Nigro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
