id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2531485711,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-04-10T04:55:17.656Z,2023-04-10T05:56:44Z,4178865145,194,ak2u5d2qrp9ka1b8qyy9ne3md,4178865141,130,2,4178865135,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, avp78eu4gzmfcrpsnqglvwnah, ak2u5d2qrp9ka1b8qyy9ne3md, 3sqlv5wy64mmcnmr5bepafefp, b1hpmuxmbcegdii4cbq5l8kwl, dkqmon0xrrwdhcy66htkf1xwp, 30xc2y82d5xu8hkfhqrjw1z9x, 42xmd4lhr1zub89n0ormclv4l, ekjy3o3ymld0zkjdaynb4itat, 7ex2ik73ntprjkatncipscudx, 7wy9lh4qgnim12456qttxn85, 6hqb04t5w85e576dgf44vn71m, 4xkq0dt99xipecd4tbm74kq1, 5uaqcfkubn92hz2hq5ovyurit, 578n9sc6cucs81focurtu36c5, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4178865143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4178865149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178865139,59,"20, 17, 19, 14, 6, 21, 31, 5, 10, 9, 11, 7, 12, 13, 15, 23, 24, 40",4178865147,197,17517,4178865137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531492721,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-04-10T05:21:50.332Z,2023-04-10T07:02:00Z,4178900799,30,"77gcx1qotysu9hbi2hw2gjsvd, aeberiw2itt147h2mpjvd5rai, bwxn7o8ved1xo5bmfkfgzekiy, bcytv86dp6kqrsosu6gck9q7d, bdo2grdx1mgm63gii3zar50id, dnpala3bol8svyc2awng6iv9x, 446scvw0ckoxnvnsqcqocve1h, 5he6zl0hg2jxsb2m624xlum6t, 31v9w4cyk1fxlig452kuc65ed, af7c4t8wp0341io4x0dl02ac5, c00r3yls3lf245nbo93m9d6cq, cqoz8o1pse9uspkqvq3cmges5, ze75933qynqbr4gupkz6xzo5, 5wz8hmh6szarsa6j0thdxeane, 5wivkupbnot9s6z48c31an42y, chx78g4kh1xfr7wp84etip016, 1q1gfw2mh9tb52nvg2ilxvxwq, 5vn0zyf02eewx7nrkhnhchrmc",4178900811,197,886,4178900807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4178900813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178900801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4178900805,130,4,4178900803,59,"1, 25, 38, 13, 6, 22, 14, 10, 9, 15, 23, 2, 4, 18, 33, 35, 36, 37",4178900809,194,31v9w4cyk1fxlig452kuc65ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496639,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-04-10T06:00:10.517Z,2023-04-10T06:00:12Z,4178927449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496635,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-04-10T06:00:10.517Z,2023-04-11T06:08:58Z,4178927439,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496651,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,50.1,50.3,2023-04-10T06:00:10.617Z,2023-04-10T06:00:14Z,4178927495,56,Back,4178927499,141,61.2,4178927503,213,2.6,4178927497,140,39.2,4178927505,279,S,4178927501,212,13.6,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496653,4,1,1,0,3,c33jm806py6adse5wv9wx6ch1,1,38,55.5,2023-04-10T06:00:14.124Z,2023-04-11T06:15:19Z,4182194409,212,1.7,4182194407,141,53.4,4178927509,56,Back,4182194405,140,37.2,4182194411,213,4.2,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496671,5,1,1,0,5,c33jm806py6adse5wv9wx6ch1,1,38.9,61.2,2023-04-10T06:00:16.307Z,2023-04-10T06:04:29Z,4178927555,155,,4178927567,1,,4178927559,140,67.2,4178927561,141,6.2,4178927565,213,5.4,4178927557,56,Right,4178927563,212,47.8,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496673,6,44,1,0,6,c33jm806py6adse5wv9wx6ch1,1,68,5.9,2023-04-10T06:00:17.209Z,2023-04-10T06:00:19Z,4178927585,233,3,4178927579,286,,4178927577,56,Right,,,,,,,,,,,,,,,,af7c4t8wp0341io4x0dl02ac5,A. Nabbout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496661,3,44,1,0,6,6j4xzc2g1eeafo6v1f38d4x22,0,32,94.1,2023-04-10T06:00:17.210Z,2023-04-10T06:00:19Z,4178927535,56,Back,4178927593,233,6,4178927537,285,,,,,,,,,,,,,,,,,avp78eu4gzmfcrpsnqglvwnah,S. Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531496681,7,1,1,0,7,c33jm806py6adse5wv9wx6ch1,0,67.2,6.5,2023-04-10T06:00:17.914Z,2023-04-10T06:04:44Z,4178927617,213,0.6,4178927613,141,14.6,4178927609,56,Right,4178927607,3,,4178927615,212,9.9,4178927611,140,75.0,,,,,,,af7c4t8wp0341io4x0dl02ac5,A. Nabbout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
