id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2497053245,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-01-14T07:36:56.198Z,2023-01-14T08:46:48Z,3976207485,30,"8bp03i0tjmh836ud5jekv2aui, 5eqoaq3vo99bk6w8rda67iw6i, 9p4eptchs6yk33mzve5acbth, bdubw4m7kqyerzclhw8s8zpp1, 5c2z04q3s8o3p3718hiluxzo5, a5y5w6rclo7jen1tg6xhfgewa, bidqgybf8b93bdsi4t4kzeuhh, 2kig0lwusomobls6p3am0l7qi, 6b31g4lw3ste6xrg1kwwn5iol, 4j4nenchzzxi4a96o7jqdpgid, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 7svze93i8mizkw3h8wsdbxkgl, 8xkw7djsy38p9rck0ysxtfdd6, 410fzkckxjcw6b02nkcvpvitw, eq8bdzwg6sb1ph933j38jf47o, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",3976207497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976239795,197,874,3976207493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976207491,130,8,3976207495,194,8wt0rz1iw4aon12zj6axq1sk5,3976207487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3976207489,59,"46, 36, 7, 28, 21, 41, 26, 6, 9, 10, 11, 1, 14, 27, 47, 51, 55, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497053589,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-01-14T07:40:50.897Z,2023-01-14T12:31:58Z,3976209533,30,"3ff82uwwa2eb4k4yh7f1144id, 95sml1vx1fwwhq8p32p60e11x, cap22dno3uid8jyckne737tyi, 2nn6berxelojkxb2rjjnqw4id, 9660pkh3215x0w4jllovetpwq, 3rc0ufm6jvj8ngj9jl49o0r11, 91lwbi9gd4crrnmt30yld307p, w8u1a5hrtitytfof3jk0zbh1, abz6occh9zmu2tcsejm5uiyg9, cx8wxcop4vdfapgaboyzqrsvd, c575swutxi9er3j9txklhrzoq, vfwu1evhxgeeza1pvkyaxgph, njzhdtpegev8seam0oe0zpp1, 4bkh8hka55xcxf9krl9ga4iui, 5hylntpne6d7xwey2v9d9lg8a, 5ub4d2vf2s1fujgoa2at29aay, 3dgasrprt0ly3015fv1rulwmi, cd0uffrnjl7wysygus4acsm0a",3976209539,130,8,3976237429,197,17502,3976209543,194,w8u1a5hrtitytfof3jk0zbh1,3976209537,59,"1, 2, 25, 6, 31, 5, 7, 8, 18, 22, 11, 4, 10, 14, 24, 26, 28, 30",3976209541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976209545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976209535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497058549,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-01-14T08:45:21.449Z,2023-01-14T08:45:21Z,3976238451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497058553,3,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-01-14T08:45:21.449Z,2023-01-14T12:23:06Z,3976238457,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497058567,3,1,1,0,1,9xmhnv6im8h7c9e17oqvcx8gl,1,49.9,49.9,2023-01-14T08:45:22.549Z,2023-01-14T12:24:03Z,3976238543,56,Back,3976238549,212,12.9,3976238547,141,50.7,3976238551,213,3.1,3976238553,279,S,3976238545,140,37.6,,,,,,,abz6occh9zmu2tcsejm5uiyg9,N. D'Agostino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497112779,855,1,1,0,2,9xmhnv6im8h7c9e17oqvcx8gl,1,32.9,49.9,2023-01-14T08:45:23.600Z,2023-01-14T12:24:34Z,3976506853,141,53.0,3976506849,56,Back,3976506851,140,33.5,3976506855,212,2.2,3976506857,213,1.3,,,,,,,,,,9660pkh3215x0w4jllovetpwq,M. Bozinovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497058573,4,1,1,0,3,9xmhnv6im8h7c9e17oqvcx8gl,0,37.1,53.1,2023-01-14T08:45:24.503Z,2023-01-14T12:23:29Z,3976238607,141,9.1,3976238611,213,5.7,3976238613,1,,3976238605,140,76.5,3976238601,155,,3976238609,212,51.1,3976238603,56,Right,,,,3rc0ufm6jvj8ngj9jl49o0r11,M. Špiranović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497058575,5,44,1,0,4,9xmhnv6im8h7c9e17oqvcx8gl,1,70.7,11.2,2023-01-14T08:45:25.908Z,2023-01-14T12:24:34Z,3976238989,233,4,3976238619,286,,3976238617,56,Right,,,,,,,,,,,,,,,,95sml1vx1fwwhq8p32p60e11x,J. Geria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497058563,4,44,1,0,4,6lezh5aazy0xca1800e5dqxwl,0,29.3,88.8,2023-01-14T08:45:25.909Z,2023-01-14T12:24:37Z,3976238531,56,Back,3976238533,285,,3976239005,233,5,,,,,,,,,,,,,,,,8wt0rz1iw4aon12zj6axq1sk5,C. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497067419,405,1,1,0,5,9xmhnv6im8h7c9e17oqvcx8gl,0,65.3,18,2023-01-14T08:45:26.449Z,2023-01-14T12:24:39Z,3976281103,3,,3976281109,140,76.4,3976281115,213,0.3,3976281107,56,Center,3976281111,141,22.5,3976281105,168,,3976281113,212,12.1,,,,95sml1vx1fwwhq8p32p60e11x,J. Geria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
