id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2478156113,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-10-28T07:43:45.510Z,2022-10-28T08:49:21Z,3876686129,130,2,3876748863,197,891,3876686135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3876686131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3876686127,59,"20, 2, 3, 17, 5, 6, 26, 28, 10, 11, 9, 1, 7, 12, 19, 35, 36, 37",3876686123,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, 9xqw0h9piwsalgt47y5m6fr2t, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, pc2pewu255axe28t955qjcnp, dreyp9vpkgl8t38erpkrfwsbu, e8iey6bpyyfd0u8lovucrc2xh, 2tmu6esf1xub0sja4gwnakvyt, evh60twv2ab6si0q78fqi9coa, af9qi36c0nm8eso8z5ah8yyuh, 5p3y4bh0mdmymeceltd1fpw8a, 1x6l08ntcq6rpjghegacvtbzd, d0f8dmnejzbjc7dfg14u8yv6y, v9xcxlic45xllm9t5gvxf1ii, 9vu1fxor0nsvt0n80zn2wtgtm, bfz6cqvrhregc09eq5bymtt04",3876686133,194,6xvmp9q79f0fjjtvd6rcz00d1,3876686125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478156419,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-10-28T07:45:35.781Z,2022-10-28T09:35:21Z,3876687677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3876687675,30,"4epapct9t0a0skf8522jyerjd, a9a2obtq50arrgfe7m0cd0qtx, 4qdcbp2hdy7ap97sas98x3g0l, 37ymn40mii3xfovk1iyg6mthx, bpm5mr9bgqdsnc5cesnf2ga1h, 3gpp1g8587gh95uzripmv9pwq, 1u9k9c9uuoj9ktx8ctacv2ajt, 9lh56gt4nxb29rm416rb6lv1m, ukb790rcuwjsylvtyu822prd, 8q4a3xz1plwm6f06jawwvo5ih, 7zbq77fks307ubp7bxvghxdqt, 30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, ccof41jyzj4bnh14u8goyjutx, 62ln44wo6iw2dweq0aqq04ded, 6lu5jfgq3rxunqnbbxpu8ztyi, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy",3876687683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3876687687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3876687681,130,8,3876687685,194,bpm5mr9bgqdsnc5cesnf2ga1h,3876741909,197,10196,3876687679,59,"20, 25, 24, 6, 5, 33, 7, 32, 10, 8, 11, 1, 2, 3, 9, 17, 18, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170193,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-10-28T08:48:12.477Z,2022-10-28T08:48:13Z,3876747465,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170187,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-10-28T08:48:12.477Z,2022-10-28T21:24:28Z,3876747437,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170215,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,50,50,2022-10-28T08:48:12.577Z,2022-10-28T08:48:39Z,3876747555,212,3.1,3876747551,140,47.9,3876747553,141,53.3,3876747549,56,Back,3876747557,213,2.3,3876747559,279,S,,,,,,,2tmu6esf1xub0sja4gwnakvyt,S. Krpić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170227,4,1,1,0,4,6h553bwfqkoxayuv80uikkn42,1,54.7,54.2,2022-10-28T08:48:16.590Z,2022-10-28T08:48:19Z,3876747621,213,2.5,3876747615,140,38.6,3876747619,212,21.5,3876747613,56,Back,3876747617,141,73.8,,,,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170245,5,1,1,0,6,6h553bwfqkoxayuv80uikkn42,1,38.2,68.2,2022-10-28T08:48:19.294Z,2022-10-28T08:48:23Z,3876747663,140,37.5,3876747667,212,24.8,3876747665,141,31.8,3876747661,56,Back,3876747669,213,4.7,,,,,,,,,,6xvmp9q79f0fjjtvd6rcz00d1,Marcelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170267,6,1,1,0,10,6h553bwfqkoxayuv80uikkn42,0,38.9,25.2,2022-10-28T08:48:22.927Z,2022-10-28T08:48:26Z,3876747781,56,Right,3876747785,141,0.0,3876747783,140,80.9,3876747787,212,47.8,3876747779,155,,3876747791,1,,3876747789,213,5.9,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170287,3,5,1,0,13,chu9blh367xs3yumct5tqto2q,1,19.1,101.5,2022-10-28T08:48:25.608Z,2022-10-28T08:48:37Z,3876747919,56,Back,3876747921,347,,3876747931,233,7,,,,,,,,,,,,,,,,4qdcbp2hdy7ap97sas98x3g0l,J. McGarry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478170271,7,5,1,0,13,6h553bwfqkoxayuv80uikkn42,0,80.9,-1.5,2022-10-28T08:48:25.608Z,2022-10-28T08:54:37Z,3876747937,233,3,3876747797,56,Right,3876747799,347,,,,,,,,,,,,,,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
