id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2530086281,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-08T06:13:34.961Z,2023-04-08T07:17:19Z,4171491877,59,"23, 19, 15, 27, 2, 5, 13, 12, 22, 26, 11, 1, 3, 7, 10, 17, 21, 28",4171491885,197,879,4171491881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4171491875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4171491887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171491873,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, cap22dno3uid8jyckne737tyi, dhnssdf1iuorniavvla5zbwx6, 7mgwfxva7w88k90jhjd1wx3o5, 3zl5ec82f8zebkxkfdz16e3th, 1hcnrw2udxcdff6bre73sv1pm, 7nhzkoa6bywrlkj9nc3f5ylii, 2h9me0kgogb1ke6327y78hk9h, abfwfqsv8o9xsnkor896869cl, 11kqna4zthfmc592eudehj3oq, 26vm9o1w3l4behscs3hk4d8x6, bhl2kwvi52osrdsdnbtw45lyi, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, uyhh5u2ezau9f095symdh3sa, da3z6nhhqd45932cy3qi2kout, 4s2umn33b5fo5zcpkwjcbry7d",4171491883,194,3zl5ec82f8zebkxkfdz16e3th,4171491879,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530086755,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-04-08T06:17:33.601Z,2023-04-08T07:18:53Z,4171494431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4171494423,30,"4epapct9t0a0skf8522jyerjd, b64xe0hw5h2k79a52awusbkve, dmk1iij050mf8g3sdc3cvhazt, 9lh56gt4nxb29rm416rb6lv1m, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, 6lu5jfgq3rxunqnbbxpu8ztyi, 37ymn40mii3xfovk1iyg6mthx, ukb790rcuwjsylvtyu822prd, 1u9k9c9uuoj9ktx8ctacv2ajt, 305har0fmf8wye7e3wbpfqcid, 30x4bcy7zsqgreti63wpds0yd, ccof41jyzj4bnh14u8goyjutx, 7zbq77fks307ubp7bxvghxdqt, uqoseczs2k03doablx2zuusq, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 3gpp1g8587gh95uzripmv9pwq",4171494435,197,873,4171494429,130,2,4171494437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171494427,59,"20, 39, 2, 32, 25, 5, 17, 6, 10, 7, 4, 1, 3, 11, 14, 18, 19, 33",4171494425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4171494433,194,bpm5mr9bgqdsnc5cesnf2ga1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530091975,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-08T07:00:18.055Z,2023-04-09T11:04:54Z,4171520567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530091979,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-04-08T07:00:18.055Z,2023-04-08T07:00:19Z,4171520575,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530091983,3,1,1,0,0,v046no35g7ebk8lytdjmfb43,1,49.9,50,2023-04-08T07:00:18.155Z,2023-04-08T09:28:02Z,4171520595,140,39.8,4171520599,212,10.8,4171520603,279,S,4171520593,56,Back,4171520597,141,52.8,4171520601,213,3.0,,,,,,,2h9me0kgogb1ke6327y78hk9h,S. Šćepović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530091991,4,1,1,0,2,v046no35g7ebk8lytdjmfb43,1,39.8,52.8,2023-04-08T07:00:20.268Z,2023-04-08T07:00:21Z,4171520631,213,4.2,4171520623,56,Back,4171520629,212,2.6,4171520627,141,49.4,4171520625,140,38.6,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,T. Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530091999,5,1,1,0,3,v046no35g7ebk8lytdjmfb43,0,38.6,49.6,2023-04-08T07:00:21.869Z,2023-04-08T07:13:50Z,4171520657,212,50.5,4171520655,141,100.0,4171520649,155,,4171520651,56,Left,4171520653,140,73.0,4171520661,1,,4171520659,213,0.8,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092009,3,5,1,0,5,chu9blh367xs3yumct5tqto2q,1,28.2,-1.6,2023-04-08T07:00:23.310Z,2023-04-08T07:03:33Z,4171520691,347,,4171520689,56,Back,4171520701,233,6,,,,,,,,,,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092001,6,5,1,0,5,v046no35g7ebk8lytdjmfb43,0,71.8,101.6,2023-04-08T07:00:23.310Z,2023-04-08T07:00:26Z,4171520713,233,3,4171520667,56,Left,4171520669,347,,,,,,,,,,,,,,,,,7mgwfxva7w88k90jhjd1wx3o5,S. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092023,4,1,1,0,9,chu9blh367xs3yumct5tqto2q,1,29.3,0,2023-04-08T07:00:27.304Z,2023-04-08T07:00:29Z,4171520757,213,2.7,4171520749,56,Back,4171520751,140,12.0,4171520755,212,20.1,4171520753,141,10.6,4171520747,107,,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
