id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2514434055,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-03-03T07:40:38.989Z,2023-03-03T09:02:09Z,4067700619,130,5,4067700625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4067700613,30,"77gcx1qotysu9hbi2hw2gjsvd, ze75933qynqbr4gupkz6xzo5, bwxn7o8ved1xo5bmfkfgzekiy, 446scvw0ckoxnvnsqcqocve1h, bdo2grdx1mgm63gii3zar50id, dnpala3bol8svyc2awng6iv9x, c00r3yls3lf245nbo93m9d6cq, 7q8urr40blud747zzb3io8w5x, 31v9w4cyk1fxlig452kuc65ed, bcytv86dp6kqrsosu6gck9q7d, af7c4t8wp0341io4x0dl02ac5, cqoz8o1pse9uspkqvq3cmges5, 8wbljx8706rh6uyhf8eegl1w5, 5he6zl0hg2jxsb2m624xlum6t, 5wz8hmh6szarsa6j0thdxeane, aeberiw2itt147h2mpjvd5rai, 5wivkupbnot9s6z48c31an42y, 5vn0zyf02eewx7nrkhnhchrmc",4067731269,197,886,4067700623,194,31v9w4cyk1fxlig452kuc65ed,4067700617,59,"1, 4, 38, 14, 6, 22, 23, 8, 9, 13, 15, 2, 3, 10, 18, 25, 33, 37",4067700615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4067700621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514434897,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-03T07:44:48.479Z,2023-03-03T09:16:56Z,4067703725,59,"46, 21, 7, 8, 13, 3, 26, 10, 9, 6, 11, 1, 18, 35, 41, 47, 55, 66",4067730309,197,874,4067703727,130,7,4067703731,194,8wt0rz1iw4aon12zj6axq1sk5,4067703723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4067703729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4067703721,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 3qwtpnlm38xo5f1u36a30kus5, 9l5seuy6ggcvpqnt5ekxn1pii, 8t39sfyi8s85bs1ptjymmbd1x, bidqgybf8b93bdsi4t4kzeuhh, 4j4nenchzzxi4a96o7jqdpgid, 6b31g4lw3ste6xrg1kwwn5iol, 2kig0lwusomobls6p3am0l7qi, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 4bkh8hka55xcxf9krl9ga4iui, evf4z0xf7cd5nidnq6q4x8w7o, a5y5w6rclo7jen1tg6xhfgewa, 410fzkckxjcw6b02nkcvpvitw, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",4067703733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441693,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-03T08:45:36.144Z,2023-03-04T04:23:22Z,4067731623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441691,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-03-03T08:45:36.144Z,2023-03-03T08:45:36Z,4067731621,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441697,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,49.9,50,2023-03-03T08:45:36.244Z,2023-03-03T08:45:39Z,4067731635,140,37.1,4067731637,141,51.3,4067731633,56,Back,4067731641,213,3.1,4067731639,212,13.5,4067731643,279,S,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441705,4,1,1,0,2,c33jm806py6adse5wv9wx6ch1,1,37.1,51.3,2023-03-03T08:45:38.332Z,2023-03-03T08:45:40Z,4067731667,141,65.7,4067731665,140,28.0,4067731669,212,13.7,4067731671,213,2.3,4067731663,56,Back,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441715,5,1,1,0,4,c33jm806py6adse5wv9wx6ch1,1,29.5,65.8,2023-03-03T08:45:40.220Z,2023-03-04T04:34:00Z,4067731709,212,26.3,4067731711,213,4.6,4067731703,56,Back,4067731705,140,27.3,4067731707,141,27.2,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441723,6,1,1,0,7,c33jm806py6adse5wv9wx6ch1,0,31.3,21.2,2023-03-03T08:45:43.604Z,2023-03-03T08:45:46Z,4067731731,155,,4067731743,1,,4067731741,213,6.0,4067731733,56,Right,4067731739,212,47.9,4067731737,141,0.0,4067731735,140,74.4,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441741,3,5,1,0,9,6lezh5aazy0xca1800e5dqxwl,1,27.8,101.8,2023-03-03T08:45:46.006Z,2023-03-03T09:03:39Z,4067731831,233,7,4067731817,347,,4067731815,56,Back,,,,,,,,,,,,,,,,4j4nenchzzxi4a96o7jqdpgid,Z. Clough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514441727,7,5,1,0,9,c33jm806py6adse5wv9wx6ch1,0,72.2,-1.8,2023-03-03T08:45:46.006Z,2023-03-03T08:45:54Z,4067731759,56,Right,4067731763,347,,4067731839,233,3,,,,,,,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
