id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/10/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2536485419,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-04-21T08:28:53.626Z,2023-04-21T09:57:22Z,4205457743,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4205457747,130,2,4205457753,197,891,4205457749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4205457751,194,6xvmp9q79f0fjjtvd6rcz00d1,4205457745,59,"20, 31, 3, 28, 5, 6, 11, 4, 10, 26, 17, 1, 2, 8, 9, 14, 16, 23",4205457741,30,"98blyfvs09u1j6m7ltbqai9xx, 26h572pq2qiac1raqk6g0jvh0, 4rv3p2e0scrkce2l3budvzqol, dreyp9vpkgl8t38erpkrfwsbu, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, dmj5oe18blqnxozkfd8q5myfp, dxb1r4gqgxkngb0pzvfby9iol, e8iey6bpyyfd0u8lovucrc2xh, pc2pewu255axe28t955qjcnp, 9xqw0h9piwsalgt47y5m6fr2t, af9qi36c0nm8eso8z5ah8yyuh, b9etmvw7ljdrjbsw632ey0nhl, 6fx6x1x0v02v094w754htlfx1, evh60twv2ab6si0q78fqi9coa, bb4iwletl36hvcn0rthlrm8a2, 3ivpa9dqlbrg7dc71nsmaw1d5, 1yqlkot5sh85ot3eemo67djv9",4205457755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536485461,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-04-21T08:29:44.562Z,2023-04-21T08:29:44Z,4205458065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4205458071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4205458063,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, avp78eu4gzmfcrpsnqglvwnah, 578n9sc6cucs81focurtu36c5, 4ljmkn447genzakxxuzkn5iol, 3sqlv5wy64mmcnmr5bepafefp, dkqmon0xrrwdhcy66htkf1xwp, 30xc2y82d5xu8hkfhqrjw1z9x, 42xmd4lhr1zub89n0ormclv4l, ekjy3o3ymld0zkjdaynb4itat, 7ex2ik73ntprjkatncipscudx, 7wy9lh4qgnim12456qttxn85, 6hqb04t5w85e576dgf44vn71m, 4xkq0dt99xipecd4tbm74kq1, ak2u5d2qrp9ka1b8qyy9ne3md, b1hpmuxmbcegdii4cbq5l8kwl, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4205458069,130,2,4205458067,59,"20, 17, 19, 23, 4, 6, 31, 5, 10, 9, 11, 7, 12, 13, 14, 21, 24, 40",4205458077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4205458073,194,56p368h15z4s1izxoz3pvu4et,4205458075,197,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507597,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-04-21T09:53:13.796Z,2023-04-21T12:37:32Z,4205570427,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507599,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-04-21T09:53:13.796Z,2023-04-21T09:53:15Z,4205570431,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507601,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,50.1,49.9,2023-04-21T09:53:13.896Z,2023-04-21T09:54:17Z,4205570475,141,51.6,4205570481,279,S,4205570479,213,3.0,4205570471,56,Back,4205570473,140,44.3,4205570477,212,6.2,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507603,4,1,1,0,1,6h553bwfqkoxayuv80uikkn42,1,44.3,51.6,2023-04-21T09:53:15.464Z,2023-04-21T09:58:51Z,4205570493,140,56.3,4205570497,212,12.6,4205570495,141,51.8,4205570499,213,0.0,4205570491,56,Center,,,,,,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507629,5,1,1,0,2,6h553bwfqkoxayuv80uikkn42,1,56.3,51.8,2023-04-21T09:53:16.680Z,2023-04-21T09:53:21Z,4205570633,56,Back,4205570639,212,11.9,4205570637,141,66.1,4205570641,213,2.2,4205570635,140,49.8,,,,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507643,6,1,1,0,7,6h553bwfqkoxayuv80uikkn42,1,48.5,62,2023-04-21T09:53:20.873Z,2023-04-21T09:53:24Z,4205570731,213,4.6,4205570725,140,44.8,4205570729,212,30.0,4205570727,141,18.2,4205570723,56,Back,,,,,,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507667,7,1,1,0,10,6h553bwfqkoxayuv80uikkn42,1,43.4,14.4,2023-04-21T09:53:23.912Z,2023-04-21T09:53:27Z,4205570849,56,Back,4205570851,140,36.7,4205570855,212,12.2,4205570857,213,2.2,4205570853,141,29.1,,,,,,,,,,26h572pq2qiac1raqk6g0jvh0,A. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536507707,8,1,1,0,13,6h553bwfqkoxayuv80uikkn42,1,34.7,34.6,2023-04-21T09:53:27.352Z,2023-04-21T09:53:33Z,4205571041,212,22.0,4205571035,56,Back,4205571037,140,35.1,4205571039,141,67.0,4205571043,213,1.6,,,,,,,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
