id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2497561521,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-01-15T04:50:27.526Z,2023-01-15T05:57:07Z,3978917867,59,"1, 27, 19, 88, 6, 4, 5, 7, 99, 8, 11, 9, 23, 26, 37, 38, 42, 44",3978917865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3978917873,194,bj77m6u2q7jd9nf67dleq2tp1,3978917869,130,8,3978917871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3978963665,197,6264,3978917875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978917863,30,"do3hflya9zwcdzxiev0m2cclx, 30eyww0b75hsid71kihac79pl, bj77m6u2q7jd9nf67dleq2tp1, bknqxl16j0tm4dggbwjmzb2t, 8alirbm4n482p155zi3174fyt, d2xblktxmr8illac50p2gcmhh, cfkv8xhbb3j2e0wulp49i1jvt, d9fmhxd6637ihfqc9qvsnmjth, dpre9cmklv12i80xbyqnku505, bfw1ktidkogubiuvx2c0qqtbd, cqwfvlrzbld40ce3s1qmdniz9, 43o49py4g8fmyg5pawvjsf8tm, 68z86n999vjdyb7mlj8nnlp05, bb4iwletl36hvcn0rthlrm8a2, 8yyosfgv4yj0g7k2rwk743fft, 8sknvoifu8w9wpso5xije0b56, d5wx8rvjfaw1arn69fdd64d90, 6xe2j75i29sgwbu11cp526uad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497561717,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-01-15T04:52:16.106Z,2023-01-15T06:07:44Z,3978919007,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3978919005,30,"30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, 4qdcbp2hdy7ap97sas98x3g0l, 8q4a3xz1plwm6f06jawwvo5ih, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, 7zbq77fks307ubp7bxvghxdqt, 9lh56gt4nxb29rm416rb6lv1m, 62ln44wo6iw2dweq0aqq04ded, 1u9k9c9uuoj9ktx8ctacv2ajt, djh55twz4lsp63j6858ea97xm, ccof41jyzj4bnh14u8goyjutx, 4hudkn0jcog2v9q8qv1vngij9, ukb790rcuwjsylvtyu822prd, uqoseczs2k03doablx2zuusq, 6lu5jfgq3rxunqnbbxpu8ztyi, 4epapct9t0a0skf8522jyerjd, 6f2f519kxin4bqo4gco4lby1g",3978919017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978964205,197,10196,3978919011,130,2,3978919009,59,"1, 2, 24, 8, 25, 5, 11, 32, 9, 7, 18, 3, 4, 10, 14, 17, 20, 26",3978919015,194,bpm5mr9bgqdsnc5cesnf2ga1h,3978919013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570333,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-01-15T06:01:18.800Z,2023-01-23T13:23:54Z,3978965713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570331,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-01-15T06:01:18.800Z,2023-01-15T06:01:18Z,3978965711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570337,3,1,1,0,1,7p460lrzt1kmp4rsofqa47eqy,1,50,50.1,2023-01-15T06:01:19.865Z,2023-01-15T06:14:55Z,3978965729,140,35.0,3978965733,212,15.8,3978965727,56,Back,3978977769,279,S,3978965735,213,3.1,3978965731,141,50.3,,,,,,,dpre9cmklv12i80xbyqnku505,A. Prijović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570353,4,1,1,0,4,7p460lrzt1kmp4rsofqa47eqy,1,32.1,55.5,2023-01-15T06:01:22.872Z,2023-01-15T06:01:25Z,3978965795,56,Back,3978965797,140,37.4,3978965803,213,1.2,3978965799,141,76.3,3978965801,212,15.2,,,,,,,,,,bknqxl16j0tm4dggbwjmzb2t,N. Kilkenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570355,5,50,1,0,6,7p460lrzt1kmp4rsofqa47eqy,1,44,69.8,2023-01-15T06:01:25.640Z,2023-01-15T06:01:26Z,3978965807,56,Back,3978965809,286,,3978965825,233,3,,,,,,,,,,,,,,,,d2xblktxmr8illac50p2gcmhh,L. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570359,3,7,1,0,6,chu9blh367xs3yumct5tqto2q,1,56,30.2,2023-01-15T06:01:25.641Z,2023-01-15T09:27:24Z,3979127227,384,,3978965819,233,5,3978965817,285,,3978965815,56,Center,,,,,,,,,,,,,1u9k9c9uuoj9ktx8ctacv2ajt,T. Buhagiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570365,4,49,1,0,8,chu9blh367xs3yumct5tqto2q,1,45.7,26.8,2023-01-15T06:01:27.215Z,2023-01-15T06:01:27Z,,,,,,,,,,,,,,,,,,,,,,,,,7zbq77fks307ubp7bxvghxdqt,J. Sotirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497570373,5,1,1,0,8,chu9blh367xs3yumct5tqto2q,1,45.3,26.1,2023-01-15T06:01:27.790Z,2023-01-23T15:31:14Z,3978965853,140,69.4,3978965857,212,26.7,3978965851,56,Right,3978965855,141,13.8,3978965859,213,6.0,,,,,,,,,,7zbq77fks307ubp7bxvghxdqt,J. Sotirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
