id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2537729787,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-04-23T04:00:29.250Z,2023-04-23T05:21:20Z,4212065665,30,"4hdho3gfrydh4fzf3ydggef9x, btyconkxo00p1gkf87mn70lpl, 92ey6tqofzafadpm9y7af2ort, 6f9jrka1qz3j5mfx4x3a5ubfu, qdjzxk5jrjnbbq6edbavp2p5, aeoqbtq15nt9ks5cx50vallhw, am6xykrxjymw2qpqli6upysq, 7gt275zxk4hkh4zvdtmo3xpzp, ceea6ndbo2sq5cvucg5j31oq2, 906itj33c7nzyzhkvxswvaxas, 44cqwwuueirgp57r8ks0725t5, 4llft8t2rwgm3uewbwyaq5ckp, c3u652s3v8u1q4qid5mkbtyw9, du99hpqe1ikml2wohv8ei0hxx, 6cke7ckocw7epjg5gj6exuytx, brm3r6uywyf21o3cnuizwofvu, czj18cj8t4tx4zvhcsysstcve, f3z4grszald48qd1fidjycidw",4212065667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4212065673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212065679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212065677,197,9894,4212065671,130,2,4212065675,194,qdjzxk5jrjnbbq6edbavp2p5,4212065669,59,"12, 2, 13, 27, 6, 41, 35, 11, 8, 31, 44, 1, 5, 9, 17, 24, 36, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537731893,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-04-23T04:09:44.513Z,2023-04-23T04:09:44Z,4212076193,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4212076199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212076205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212076201,194,w8u1a5hrtitytfof3jk0zbh1,4212076203,197,18440,4212076197,130,2,4212076191,30,"dmxzug2enscx331w5vmdzn2s5, 2g39f2y5dqwg3q4sw2jf6x6g9, 2wnqoxtt8xlglpndyjb5rb622, w8u1a5hrtitytfof3jk0zbh1, 46acb400oivj94jwu3i3lrxsl, 2nn6berxelojkxb2rjjnqw4id, 5hylntpne6d7xwey2v9d9lg8a, ez47kkcz2wgypddldq97yz2dx, njzhdtpegev8seam0oe0zpp1, cl3z842ngppg6uu3tlusruep5, c575swutxi9er3j9txklhrzoq, 3ff82uwwa2eb4k4yh7f1144id, vfwu1evhxgeeza1pvkyaxgph, 91lwbi9gd4crrnmt30yld307p, bzzknt1y8qkmcon3vw7hdadp1, 5ub4d2vf2s1fujgoa2at29aay, 21ngdkjv2nhbacznidnyq82ui, 76ckrtmv3kopmv62hsa9pq7mc",4212076195,59,"20, 16, 3, 8, 5, 6, 24, 14, 10, 19, 11, 1, 4, 7, 18, 26, 46, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741669,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-04-23T05:09:13.577Z,2023-04-23T05:09:13Z,4212136367,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741675,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-04-23T05:09:13.577Z,2023-04-24T14:52:56Z,4212136391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741691,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,50.3,50.1,2023-04-23T05:09:13.677Z,2023-04-23T06:09:37Z,4212136479,213,3.0,4212136473,140,44.0,4212136481,279,S,4212136475,141,51.5,4212136477,212,6.7,4212136471,56,Back,,,,,,,906itj33c7nzyzhkvxswvaxas,L. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741707,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,1,45,56,2023-04-23T05:09:16.536Z,2023-04-23T05:09:21Z,4212136593,212,21.2,4212136589,140,37.8,4212136587,56,Back,4212136595,213,1.9,4212136591,141,85.1,,,,,,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741715,5,1,1,0,7,7jv344gvcvgqg7oeuc9u554dm,1,39,83.2,2023-04-23T05:09:20.912Z,2023-04-23T05:09:24Z,4212136629,56,Back,4212136633,141,64.0,4212136635,212,17.0,4212136637,213,4.0,4212136631,140,28.7,,,,,,,,,,92ey6tqofzafadpm9y7af2ort,I. Vujica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741733,6,1,1,0,10,7jv344gvcvgqg7oeuc9u554dm,1,28.4,58.7,2023-04-23T05:09:24.344Z,2023-04-23T05:09:27Z,4212136745,140,27.7,4212136751,213,4.7,4212136747,141,31.0,4212136749,212,18.9,4212136743,56,Back,,,,,,,,,,aeoqbtq15nt9ks5cx50vallhw,O. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741749,7,1,1,0,13,7jv344gvcvgqg7oeuc9u554dm,1,31.2,24.6,2023-04-23T05:09:27.424Z,2023-04-23T05:09:31Z,4212136817,56,Right,4212136823,212,25.2,4212136821,141,5.8,4212136825,213,5.8,4212136819,140,51.9,,,,,,,,,,qdjzxk5jrjnbbq6edbavp2p5,T. Uskok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537741781,8,1,1,0,17,7jv344gvcvgqg7oeuc9u554dm,1,45.9,2.5,2023-04-23T05:09:30.880Z,2023-04-23T05:09:34Z,4212136987,56,Back,4212136995,213,2.7,4212136991,141,14.1,4212136993,212,17.6,4212136989,140,30.9,,,,,,,,,,am6xykrxjymw2qpqli6upysq,A. Toure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
