id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2518824221,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-03-12T01:02:41.239Z,2023-03-12T01:50:28Z,4091086141,197,17517,4090944035,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, ak2u5d2qrp9ka1b8qyy9ne3md, 4ljmkn447genzakxxuzkn5iol, 3sqlv5wy64mmcnmr5bepafefp, dkqmon0xrrwdhcy66htkf1xwp, 30xc2y82d5xu8hkfhqrjw1z9x, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7ex2ik73ntprjkatncipscudx, 7wy9lh4qgnim12456qttxn85, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, 5uaqcfkubn92hz2hq5ovyurit, b1hpmuxmbcegdii4cbq5l8kwl, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4090944037,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4090944039,59,"20, 17, 12, 14, 4, 6, 31, 5, 9, 10, 11, 7, 8, 13, 15, 21, 24, 40",4090944053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4090944045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4090944049,194,ak2u5d2qrp9ka1b8qyy9ne3md,4090944041,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518825227,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-03-12T01:04:51.010Z,2023-03-13T06:06:06Z,4091087299,197,868,4090950089,130,8,4090950087,59,"1, 23, 3, 26, 2, 4, 10, 8, 11, 17, 18, 6, 12, 21, 25, 29, 30, 32",4090950083,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 9dxuc4hj1ovd3mpjrxombnm22, 4ehmmuuxljgliiz7f7298h61h, 9634dv110vlqnf02k4yif14np, bgzao2jp59jygdic68s5iudat, aiehjyb5unahdn0somr3ewa1h, cr52lkk2tjwlz0gd34b0klyad, 4rg5d1oo8rtclemhci81i6xg5, c243bbqbc7agln9jpv0faa6dx, 974s3rwvb2ls1k1no4hlaz8ph, 7nkjqwtji300a54ubhxn5f179, cuaqqokt0c82wz0bc0tt10rxm, d3ghkzq3ztaeno4lh8sj7o86i, ctrffnfu5yqmqf9nqyex5ky22, 49ctudxdwjkrhz6n3ykjpmdey, b195e73a76smpc1c6ejh7anvu, 2s0ifhiwlt1z5nnor585hjuhg",4090950085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4090950091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4090950093,194,bgzao2jp59jygdic68s5iudat,4090950095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857149,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-03-12T02:00:33.113Z,2023-03-13T05:36:31Z,4091121537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857161,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-03-12T02:00:33.113Z,2023-03-12T02:00:34Z,4091121587,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857183,3,1,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,50,50,2023-03-12T02:00:33.213Z,2023-03-12T02:00:36Z,4091121743,279,S,4091121737,141,68.8,4091121739,212,27.3,4091121733,140,27.0,4091121729,56,Back,4091121741,213,2.7,,,,,,,42xmd4lhr1zub89n0ormclv4l,D. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857203,4,1,1,0,3,6j4xzc2g1eeafo6v1f38d4x22,1,27.5,66.4,2023-03-12T02:00:36.789Z,2023-03-12T02:00:39Z,4091121855,140,27.1,4091121857,141,30.0,4091121859,212,24.8,4091121851,56,Back,4091121865,213,4.7,,,,,,,,,,3sqlv5wy64mmcnmr5bepafefp,T. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857223,5,1,1,0,5,6j4xzc2g1eeafo6v1f38d4x22,1,24.7,32.1,2023-03-12T02:00:39.045Z,2023-03-12T02:00:41Z,4091121963,213,5.0,4091121961,212,10.7,4091121959,141,17.0,4091121957,140,27.5,4091121955,56,Back,,,,,,,,,,4ljmkn447genzakxxuzkn5iol,S. Wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857245,6,1,1,0,8,6j4xzc2g1eeafo6v1f38d4x22,1,27,17,2023-03-12T02:00:41.173Z,2023-03-12T02:00:43Z,4091122081,56,Back,4091122087,212,11.9,4091122083,140,20.2,4091122089,213,2.2,4091122085,141,31.0,,,,,,,,,,ueklj0jop1moq303rq5vnca1,C. Elliot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857257,7,1,1,0,9,6j4xzc2g1eeafo6v1f38d4x22,1,20.1,31.3,2023-03-12T02:00:43.029Z,2023-03-12T02:00:44Z,4091122193,213,1.5,4091122187,140,20.5,4091122189,141,49.3,4091122185,56,Back,4091122191,212,12.2,,,,,,,,,,4ljmkn447genzakxxuzkn5iol,S. Wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518857275,8,1,1,0,11,6j4xzc2g1eeafo6v1f38d4x22,0,20.5,49.3,2023-03-12T02:00:44.373Z,2023-03-12T02:00:45Z,4091122275,212,10.8,4091122277,213,0.6,4091122273,141,58.1,4091122269,56,Back,4091122271,140,29.1,,,,,,,,,,3sqlv5wy64mmcnmr5bepafefp,T. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
