id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/12/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2489975857,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-12-10T05:01:47.779Z,2022-12-10T05:56:12Z,3938771193,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3938771191,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, 3sqlv5wy64mmcnmr5bepafefp, dkqmon0xrrwdhcy66htkf1xwp, 578n9sc6cucs81focurtu36c5, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7ex2ik73ntprjkatncipscudx, 7wy9lh4qgnim12456qttxn85, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, e713hl3clivldop8wln53rsyy, avp78eu4gzmfcrpsnqglvwnah, b1hpmuxmbcegdii4cbq5l8kwl, 82tyg0nqfcncdgw3g474a37fu",3938771197,130,15,3938771199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3938771201,194,56p368h15z4s1izxoz3pvu4et,3938771203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3938771195,59,"20, 17, 12, 5, 4, 6, 31, 23, 9, 10, 11, 7, 8, 13, 18, 19, 21, 40",3938801829,197,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489976171,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-12-10T05:05:14.168Z,2022-12-10T06:04:43Z,3938772471,194,6xvmp9q79f0fjjtvd6rcz00d1,3938806491,197,17865,3938772473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3938772467,130,2,3938772461,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, dreyp9vpkgl8t38erpkrfwsbu, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, pc2pewu255axe28t955qjcnp, 9xqw0h9piwsalgt47y5m6fr2t, 2tmu6esf1xub0sja4gwnakvyt, 1yqlkot5sh85ot3eemo67djv9, 5p3y4bh0mdmymeceltd1fpw8a, af9qi36c0nm8eso8z5ah8yyuh, 6fx6x1x0v02v094w754htlfx1, e8iey6bpyyfd0u8lovucrc2xh, 1x6l08ntcq6rpjghegacvtbzd, d0f8dmnejzbjc7dfg14u8yv6y, 7vw7j6hjzw4xj19f7s6rh3dw4, 9vu1fxor0nsvt0n80zn2wtgtm",3938772463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3938772469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3938772465,59,"20, 2, 3, 28, 5, 6, 26, 17, 11, 23, 7, 1, 8, 10, 12, 19, 32, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982643,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-12-10T06:00:24.810Z,2022-12-11T08:48:42Z,3938803573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982645,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-12-10T06:00:24.810Z,2022-12-10T06:00:27Z,3938803585,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982649,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,49.4,50,2022-12-10T06:00:24.910Z,2022-12-10T06:49:06Z,3938803593,56,Back,3938803597,141,55.7,3938803599,212,18.8,3938803595,140,31.9,3938803603,279,S,3938803601,213,2.9,,,,,,,2tmu6esf1xub0sja4gwnakvyt,S. Krpić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982655,4,1,1,0,4,6h553bwfqkoxayuv80uikkn42,0,32.9,55.5,2022-12-10T06:00:29.178Z,2022-12-10T06:00:31Z,3938803645,212,40.6,3938803637,155,,3938803643,141,89.6,3938803641,140,64.6,3938803647,213,0.6,3938803639,56,Left,3938803649,1,,,,,6xvmp9q79f0fjjtvd6rcz00d1,Marcelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982657,3,1,1,0,7,6j4xzc2g1eeafo6v1f38d4x22,0,31.5,9.5,2022-12-10T06:00:31.878Z,2022-12-10T06:00:33Z,3938803659,140,46.3,3938803657,56,Back,3938803665,213,0.1,3938803661,141,11.4,3938803663,212,15.6,3938803655,3,,,,,,,,dkqmon0xrrwdhcy66htkf1xwp,Yan Sasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982665,5,1,1,0,10,6h553bwfqkoxayuv80uikkn42,1,51.3,96.2,2022-12-10T06:00:35.130Z,2022-12-10T06:00:39Z,3938803719,212,39.1,3938803717,141,94.5,3938803713,56,Back,3938803715,140,14.1,3938803721,213,3.2,3938803723,1,,,,,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982669,6,1,1,0,14,6h553bwfqkoxayuv80uikkn42,1,11.9,92.7,2022-12-10T06:00:39.242Z,2022-12-10T06:00:43Z,3938803757,212,18.9,3938803753,140,6.7,3938803751,56,Back,3938803759,213,4.4,3938803755,141,66.1,,,,,,,,,,6xvmp9q79f0fjjtvd6rcz00d1,Marcelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489982675,7,1,1,0,18,6h553bwfqkoxayuv80uikkn42,0,7.6,55.1,2022-12-10T06:00:43.578Z,2022-12-10T06:00:45Z,3938803799,1,,3938803789,56,Center,3938803787,157,,3938803797,213,6.1,3938803791,140,50.7,3938803795,212,45.8,3938803793,141,44.9,,,,98blyfvs09u1j6m7ltbqai9xx,L. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
