id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/17/value
2481168393,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-11-04T08:07:00.677Z,2022-11-04T08:45:30Z,3892567165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3892567169,130,5,3892612351,197,889,3892567173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3892567171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3892567163,30,"dmxzug2enscx331w5vmdzn2s5, 2g39f2y5dqwg3q4sw2jf6x6g9, 2wnqoxtt8xlglpndyjb5rb622, w8u1a5hrtitytfof3jk0zbh1, 2nn6berxelojkxb2rjjnqw4id, yhkueqgsvvd5fzdffg9nky51, nf5y7om644176c52n91ptsyd, cx8wxcop4vdfapgaboyzqrsvd, abz6occh9zmu2tcsejm5uiyg9, vfwu1evhxgeeza1pvkyaxgph, 91lwbi9gd4crrnmt30yld307p, 3ff82uwwa2eb4k4yh7f1144id, 95sml1vx1fwwhq8p32p60e11x, njzhdtpegev8seam0oe0zpp1, c575swutxi9er3j9txklhrzoq, 7h5zy4yqn4pilij1tsmm2qmzt, 5hylntpne6d7xwey2v9d9lg8a, cap22dno3uid8jyckne737tyi",3892567167,59,"20, 16, 3, 8, 6, 21, 17, 22, 18, 4, 7, 1, 2, 10, 11, 15, 24, 25",3892569985,194,w8u1a5hrtitytfof3jk0zbh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481168707,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-11-04T08:08:22.336Z,2022-11-04T09:55:59Z,3892613269,194,37ymn40mii3xfovk1iyg6mthx,3892568455,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3892568445,30,"4epapct9t0a0skf8522jyerjd, a9a2obtq50arrgfe7m0cd0qtx, 4qdcbp2hdy7ap97sas98x3g0l, 9lh56gt4nxb29rm416rb6lv1m, 4hudkn0jcog2v9q8qv1vngij9, 3gpp1g8587gh95uzripmv9pwq, 7zbq77fks307ubp7bxvghxdqt, 37ymn40mii3xfovk1iyg6mthx, 62ln44wo6iw2dweq0aqq04ded, 8q4a3xz1plwm6f06jawwvo5ih, ukb790rcuwjsylvtyu822prd, 30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, ccof41jyzj4bnh14u8goyjutx, bpm5mr9bgqdsnc5cesnf2ga1h, 1u9k9c9uuoj9ktx8ctacv2ajt, uqoseczs2k03doablx2zuusq, 6lu5jfgq3rxunqnbbxpu8ztyi",3892568451,130,8,3892568449,59,"20, 25, 24, 32, 4, 33, 11, 6, 9, 8, 10, 1, 2, 3, 5, 7, 14, 17",3892568453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3892568447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3892613271,197,10196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179043,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-11-04T08:45:26.835Z,2022-11-04T16:57:17Z,3892617869,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179047,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-11-04T08:45:26.835Z,2022-11-04T08:45:27Z,3892617881,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179073,3,1,1,0,1,chu9blh367xs3yumct5tqto2q,1,50.2,50,2022-11-04T08:45:27.935Z,2022-11-04T16:57:24Z,3892617993,141,41.0,3892617999,279,S,3892617995,212,20.1,3892617997,213,3.5,3892617991,140,32.0,3892617989,56,Back,,,,,,,62ln44wo6iw2dweq0aqq04ded,B. Mikeltadze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179083,4,1,1,0,3,chu9blh367xs3yumct5tqto2q,0,33.8,38,2022-11-04T08:45:30.670Z,2022-11-04T08:45:32Z,3892618053,213,0.1,3892618047,140,75.0,3892618055,1,,3892618051,212,43.4,3892618049,141,43.0,3892618043,56,Center,3892618039,155,,,,,4hudkn0jcog2v9q8qv1vngij9,J. Elsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179089,3,49,1,0,6,9xmhnv6im8h7c9e17oqvcx8gl,1,27.8,53.1,2022-11-04T08:45:33.221Z,2022-11-04T08:45:33Z,,,,,,,,,,,,,,,,,,,,,,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179117,4,1,1,0,7,9xmhnv6im8h7c9e17oqvcx8gl,1,29.2,52.4,2022-11-04T08:45:34.691Z,2022-11-04T08:46:25Z,3892618169,141,44.8,3892618171,212,9.8,3892618165,56,Back,3892618167,140,37.1,3892618173,213,5.7,,,,,,,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179109,5,43,1,0,9,chu9blh367xs3yumct5tqto2q,1,0,0,2022-11-04T08:45:36.302Z,2022-11-04T08:46:26Z,3892618133,56,Center,3892619657,144,8,,,,,,,,,,,,,,,,,,,37ymn40mii3xfovk1iyg6mthx,B. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179139,5,1,1,0,12,9xmhnv6im8h7c9e17oqvcx8gl,1,41.9,30.7,2022-11-04T08:45:39.506Z,2022-11-04T08:46:26Z,3892618257,212,7.1,3892618251,56,Back,3892618255,141,20.4,3892618259,213,4.5,3892618253,140,40.8,,,,,,,,,,cx8wxcop4vdfapgaboyzqrsvd,J. Brimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179147,6,1,1,0,13,9xmhnv6im8h7c9e17oqvcx8gl,1,40.8,20.4,2022-11-04T08:45:40.083Z,2022-11-04T08:45:40Z,3892618289,212,8.9,3892618291,213,2.1,3892618285,140,36.3,3892618287,141,31.5,3892618283,56,Back,,,,,,,,,,nf5y7om644176c52n91ptsyd,Nani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179175,7,1,1,0,13,9xmhnv6im8h7c9e17oqvcx8gl,1,36.3,31.5,2022-11-04T08:45:40.547Z,2022-11-04T08:45:45Z,3892618431,141,34.0,3892618427,56,Back,3892618435,213,3.0,3892618433,212,14.1,3892618429,140,23.0,,,,,,,,,,w8u1a5hrtitytfof3jk0zbh1,J. Brillante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179223,8,1,1,0,18,9xmhnv6im8h7c9e17oqvcx8gl,1,23.7,34.8,2022-11-04T08:45:45.107Z,2022-11-04T17:07:22Z,3892618623,212,56.1,3892618857,210,15,3892618621,141,34.5,3892618625,213,6.3,3892618615,155,,3892618617,56,Center,3892618627,1,,3892619021,4,,2nn6berxelojkxb2rjjnqw4id,L. Broxham,1,3893337275,154,3892618619,140,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179225,9,15,1,0,23,9xmhnv6im8h7c9e17oqvcx8gl,1,87.8,27.9,2022-11-04T08:45:50.628Z,2022-11-04T17:07:22Z,3893337297,154,,3892618635,22,,3892618873,146,88.9,3892618869,103,19,3892618867,102,53.0,3892618875,147,30.1,3892687653,76,,3892618693,82,,abz6occh9zmu2tcsejm5uiyg9,N. D'Agostino,,3892618871,215,3892618689,20,,3892618883,231,46.8,3892618861,29,3892618639,56,Center,3892618699,233,6,3892618879,230,99.0,3892618637,63,3892618863,55,8,,,,,,,,,,,,,,,,
2481179233,6,10,1,0,23,chu9blh367xs3yumct5tqto2q,1,9.9,64.5,2022-11-04T08:45:50.728Z,2022-11-04T08:45:53Z,3892618703,233,9,3892618681,56,Back,3892618679,94,,,,,,,,,,,,,,,,,3gpp1g8587gh95uzripmv9pwq,M. Natta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179259,7,6,1,0,24,chu9blh367xs3yumct5tqto2q,0,5.9,76.2,2022-11-04T08:45:51.443Z,2022-11-04T17:07:31Z,3892618761,73,,3892618811,233,10,3892618759,56,Back,,,,,,,,,,,,,,,,3gpp1g8587gh95uzripmv9pwq,M. Natta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179235,10,6,1,0,24,9xmhnv6im8h7c9e17oqvcx8gl,1,94.1,23.8,2022-11-04T08:45:51.443Z,2022-11-04T08:45:56Z,3892618683,56,Center,3892618789,233,7,3892618685,75,,,,,,,,,,,,,,,,,abz6occh9zmu2tcsejm5uiyg9,N. D'Agostino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481179487,11,1,1,1,3,9xmhnv6im8h7c9e17oqvcx8gl,0,99.5,0.5,2022-11-04T08:46:30.358Z,2022-11-04T17:07:34Z,3892619803,212,34.1,3892619793,155,,3892619807,1,,3892619797,56,Center,3893337895,20,,3892619799,140,90.7,3892619805,213,1.8,3892619795,224,,cx8wxcop4vdfapgaboyzqrsvd,J. Brimmer,,3892619801,141,3892619789,2,,3892619791,6,,,,,,,,,,,,,,,,,,48.8,,,,,,,,,,,,,,,
