id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/13/value
2493496279,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2022-12-27T08:07:16.120Z,2022-12-27T09:12:07Z,3957484435,59,"46, 21, 7, 8, 13, 41, 10, 28, 9, 55, 11, 1, 4, 6, 14, 27, 36, 66",3957551067,197,874,3957484433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3957484437,130,8,3957484431,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 3qwtpnlm38xo5f1u36a30kus5, 9l5seuy6ggcvpqnt5ekxn1pii, a5y5w6rclo7jen1tg6xhfgewa, 4j4nenchzzxi4a96o7jqdpgid, bdubw4m7kqyerzclhw8s8zpp1, 6b31g4lw3ste6xrg1kwwn5iol, d3n1fqp2aq9yjtzvwistpecyc, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 86sqmnbenft8ugq57q2i2wzbp, 2kig0lwusomobls6p3am0l7qi, 7svze93i8mizkw3h8wsdbxkgl, 8xkw7djsy38p9rck0ysxtfdd6, 5eqoaq3vo99bk6w8rda67iw6i, 2c81wahtsfjksewt89ccirris",3957484439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3957484443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3957484441,194,8wt0rz1iw4aon12zj6axq1sk5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493496639,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-12-27T08:09:22.616Z,2022-12-27T09:15:09Z,3957486695,30,"30x4bcy7zsqgreti63wpds0yd, a9a2obtq50arrgfe7m0cd0qtx, dmk1iij050mf8g3sdc3cvhazt, 8q4a3xz1plwm6f06jawwvo5ih, 4hudkn0jcog2v9q8qv1vngij9, 3gpp1g8587gh95uzripmv9pwq, 7zbq77fks307ubp7bxvghxdqt, 9lh56gt4nxb29rm416rb6lv1m, 62ln44wo6iw2dweq0aqq04ded, 6lu5jfgq3rxunqnbbxpu8ztyi, ukb790rcuwjsylvtyu822prd, ccof41jyzj4bnh14u8goyjutx, 1u9k9c9uuoj9ktx8ctacv2ajt, uqoseczs2k03doablx2zuusq, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 4epapct9t0a0skf8522jyerjd, 4qdcbp2hdy7ap97sas98x3g0l",3957486697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3957486699,59,"1, 25, 2, 8, 4, 33, 11, 32, 9, 17, 10, 3, 7, 14, 18, 19, 20, 24",3957552519,197,10196,3957486707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3957486701,130,8,3957486705,194,a9a2obtq50arrgfe7m0cd0qtx,3957486703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508751,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2022-12-27T09:15:54.482Z,2022-12-28T06:18:57Z,3957552877,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508757,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-12-27T09:15:54.482Z,2022-12-27T09:15:55Z,3957552895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508763,3,1,1,0,1,6lezh5aazy0xca1800e5dqxwl,1,49.8,49.9,2022-12-27T09:15:55.582Z,2022-12-28T06:45:07Z,3957552921,140,35.3,3957552929,279,S,3957552927,213,3.1,3957552919,56,Back,3957552923,141,50.3,3957552925,212,15.2,3957553603,189,,,,,6b31g4lw3ste6xrg1kwwn5iol,H. Ibusuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508769,4,1,1,0,2,6lezh5aazy0xca1800e5dqxwl,1,35.3,50.3,2022-12-27T09:15:57.288Z,2022-12-27T09:19:42Z,3957552957,213,1.5,3957552947,56,Back,3957552951,141,70.7,3957552949,140,35.8,3957552955,212,13.9,,,,,,,,,,3qwtpnlm38xo5f1u36a30kus5,Isaías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508773,5,1,1,0,3,6lezh5aazy0xca1800e5dqxwl,1,35.8,70.7,2022-12-27T09:15:58.312Z,2022-12-27T09:19:41Z,3957552981,141,84.8,3957552983,212,12.2,3957552979,140,43.0,3957552985,213,0.9,3957552977,56,Back,,,,,,,,,,bdubw4m7kqyerzclhw8s8zpp1,Juande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508789,6,1,1,0,6,6lezh5aazy0xca1800e5dqxwl,1,57.8,76.1,2022-12-27T09:16:00.840Z,2022-12-27T09:16:04Z,3957553059,212,48.8,3957553051,196,,3957553063,1,,3957553057,141,7.0,3957553047,155,,3957553053,56,Right,3957553061,213,5.0,3957553055,140,70.3,9p4eptchs6yk33mzve5acbth,R. Kitto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508797,7,1,1,0,10,6lezh5aazy0xca1800e5dqxwl,1,70.3,7,2022-12-27T09:16:04.840Z,2022-12-27T09:16:06Z,3957553085,56,Right,3957553091,212,13.6,3957553087,140,57.5,3957553089,141,10.1,3957553093,213,3.0,,,,,,,,,,4j4nenchzzxi4a96o7jqdpgid,Z. Clough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508803,8,1,1,0,11,6lezh5aazy0xca1800e5dqxwl,1,57.6,10.1,2022-12-27T09:16:06.440Z,2022-12-27T09:16:08Z,3957553119,212,13.2,3957553117,141,2.8,3957553121,213,5.9,3957553113,56,Right,3957553115,140,69.2,,,,,,,,,,5c2z04q3s8o3p3718hiluxzo5,Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508809,9,1,1,0,13,6lezh5aazy0xca1800e5dqxwl,1,68.6,2.8,2022-12-27T09:16:08.296Z,2022-12-27T09:16:10Z,3957553157,212,13.3,3957553159,213,2.9,3957553151,56,Right,3957553155,141,8.0,3957553153,140,56.4,,,,,,,,,,4j4nenchzzxi4a96o7jqdpgid,Z. Clough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493508821,10,1,1,0,15,6lezh5aazy0xca1800e5dqxwl,1,56.4,8,2022-12-27T09:16:10.472Z,2022-12-27T09:16:15Z,3957553211,212,22.5,3957553209,141,39.8,3957553207,140,50.6,3957553213,213,1.8,3957553205,56,Center,,,,,,,,,,5c2z04q3s8o3p3718hiluxzo5,Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
