id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2482192043,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2022-11-06T02:52:49.238Z,2022-11-06T04:17:44Z,3897972797,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3897972805,194,3zl5ec82f8zebkxkfdz16e3th,3897972801,130,11,3898024897,197,879,3897972795,30,"26vm9o1w3l4behscs3hk4d8x6, 4gn22fnshsmgxyayuj2p77v85, uyhh5u2ezau9f095symdh3sa, bhl2kwvi52osrdsdnbtw45lyi, 3zl5ec82f8zebkxkfdz16e3th, 7mgwfxva7w88k90jhjd1wx3o5, 4s2umn33b5fo5zcpkwjcbry7d, abfwfqsv8o9xsnkor896869cl, dbtn3hglkg6kfkvkz6gvs6x1x, dhnssdf1iuorniavvla5zbwx6, bcb8xguyk226cmw4wvkkxpgix, cl816ciqmvh4bjzm9vjq4wyga, czbwauhn3z2a0t8t6qreuq1yi, 1hcnrw2udxcdff6bre73sv1pm, 7gi5lm8v10m3ivddvn8qqzk2y, c0p9hlssgk28sutlee99c24t1, dby4dlsu0mcjg51czovmyjvxm, 1ac1pgo52rborj2n96xulhyj8",3897972807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897972799,59,"1, 19, 17, 3, 5, 2, 28, 26, 9, 27, 10, 7, 8, 13, 15, 16, 29, 31",3897972803,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482192079,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2022-11-06T02:53:05.962Z,2022-11-06T04:01:22Z,3897973063,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 974s3rwvb2ls1k1no4hlaz8ph, 4ehmmuuxljgliiz7f7298h61h, 49ctudxdwjkrhz6n3ykjpmdey, 1jztjm4e2ram1rrx1meaqu44q, 4rg5d1oo8rtclemhci81i6xg5, c18ruk8qqfggqv7s0mzyq6yhg, cuaqqokt0c82wz0bc0tt10rxm, c243bbqbc7agln9jpv0faa6dx, 53g522ox4zpljnu57fcf4meei, cr52lkk2tjwlz0gd34b0klyad, aiehjyb5unahdn0somr3ewa1h, 8b5ohtv882jce0823nuo0ugvd, d3ghkzq3ztaeno4lh8sj7o86i, bu8z6ig5wrrtgsm1qhe4fxe51, ctrffnfu5yqmqf9nqyex5ky22, emzxhx2ki2r67c5l33hfv8844",3898026877,197,14753,3897973067,59,"1, 23, 18, 26, 29, 27, 11, 16, 12, 17, 19, 8, 10, 20, 21, 22, 25, 28",3897973073,194,4ehmmuuxljgliiz7f7298h61h,3897973075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897973071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3897973069,130,7,3897973065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200539,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2022-11-06T04:00:28.856Z,2022-11-07T06:15:18Z,3898025991,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200537,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2022-11-06T04:00:28.856Z,2022-11-06T04:00:28Z,3898025977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200545,3,1,1,0,0,38ui5tfi8anjuh533emny2tz1,1,50.6,49.6,2022-11-06T04:00:28.956Z,2022-11-06T04:00:32Z,3898026037,279,S,3898026029,140,41.4,3898026033,212,10.6,3898026035,213,2.7,3898026027,56,Back,3898026031,141,56.1,,,,,,,cuaqqokt0c82wz0bc0tt10rxm,P. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200549,4,1,1,0,3,38ui5tfi8anjuh533emny2tz1,1,41.4,56.1,2022-11-06T04:00:32.096Z,2022-11-06T04:01:04Z,3898026083,140,57.2,3898026089,213,0.6,3898026085,141,71.5,3898026087,212,19.6,3898026081,56,Center,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200555,5,1,1,0,6,38ui5tfi8anjuh533emny2tz1,1,57.4,71.5,2022-11-06T04:00:35.216Z,2022-11-06T04:00:37Z,3898026131,140,41.7,3898026135,212,16.7,3898026133,141,75.6,3898026137,213,3.0,3898026129,56,Back,,,,,,,,,,c243bbqbc7agln9jpv0faa6dx,A. Cáceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200557,6,1,1,0,8,38ui5tfi8anjuh533emny2tz1,1,45.5,70.6,2022-11-06T04:00:37.168Z,2022-11-06T04:00:37Z,3898026157,212,8.5,3898026151,56,Back,3898026155,141,59.7,3898026159,213,4.2,3898026153,140,41.6,,,,,,,,,,974s3rwvb2ls1k1no4hlaz8ph,Diego Caballo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200559,7,1,1,0,9,38ui5tfi8anjuh533emny2tz1,1,41.6,59.7,2022-11-06T04:00:37.936Z,2022-11-06T04:57:18Z,3898026181,56,Center,3898026187,212,21.4,3898026189,213,0.4,3898026185,141,72.9,3898026183,140,60.1,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482200563,8,1,1,0,10,38ui5tfi8anjuh533emny2tz1,1,60.3,73,2022-11-06T04:00:39.424Z,2022-11-06T04:00:41Z,3898026217,213,1.3,3898026205,56,Left,3898026215,212,13.3,3898026211,141,91.8,3898026207,140,63.7,,,,,,,,,,c243bbqbc7agln9jpv0faa6dx,A. Cáceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
