id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/12/value,qualifier/17/value,assist
2534253699,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-04-16T02:16:46.881Z,2023-04-16T02:16:47Z,4193623593,130,15,4193623595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4193623601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193623591,59,"20, 6, 19, 5, 4, 15, 31, 23, 9, 10, 7, 11, 12, 13, 14, 17, 24, 40",4193623597,194,56p368h15z4s1izxoz3pvu4et,4193623589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4193623599,197,882,4193623587,30,"56p368h15z4s1izxoz3pvu4et, 3sqlv5wy64mmcnmr5bepafefp, avp78eu4gzmfcrpsnqglvwnah, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, 5uaqcfkubn92hz2hq5ovyurit, dkqmon0xrrwdhcy66htkf1xwp, 578n9sc6cucs81focurtu36c5, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7wy9lh4qgnim12456qttxn85, 7ex2ik73ntprjkatncipscudx, 6hqb04t5w85e576dgf44vn71m, 4xkq0dt99xipecd4tbm74kq1, ak2u5d2qrp9ka1b8qyy9ne3md, ueklj0jop1moq303rq5vnca1, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534254259,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-16T02:17:49.896Z,2023-04-16T03:02:32Z,4193626301,59,"23, 19, 15, 12, 2, 5, 13, 27, 22, 26, 11, 1, 3, 7, 10, 17, 21, 28",4193626297,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, cap22dno3uid8jyckne737tyi, 7nhzkoa6bywrlkj9nc3f5ylii, 7mgwfxva7w88k90jhjd1wx3o5, 3zl5ec82f8zebkxkfdz16e3th, 1hcnrw2udxcdff6bre73sv1pm, dhnssdf1iuorniavvla5zbwx6, 2h9me0kgogb1ke6327y78hk9h, abfwfqsv8o9xsnkor896869cl, 11kqna4zthfmc592eudehj3oq, 26vm9o1w3l4behscs3hk4d8x6, bhl2kwvi52osrdsdnbtw45lyi, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, uyhh5u2ezau9f095symdh3sa, da3z6nhhqd45932cy3qi2kout, 4s2umn33b5fo5zcpkwjcbry7d",4193626299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4193626305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4193626303,130,2,4193626309,197,14705,4193626311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193626307,194,3zl5ec82f8zebkxkfdz16e3th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273373,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-04-16T03:00:27.412Z,2023-04-17T09:56:05Z,4193729563,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273375,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-04-16T03:00:27.412Z,2023-04-16T03:00:28Z,4193729569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273387,3,1,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,50,50,2023-04-16T03:00:27.512Z,2023-04-16T03:00:31Z,4193729643,56,Back,4193729645,140,30.4,4193729651,213,2.6,4193729647,141,69.0,4193729649,212,24.3,4193729653,279,S,,,,,,,ekjy3o3ymld0zkjdaynb4itat,O. Zawada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273395,4,1,1,0,4,6j4xzc2g1eeafo6v1f38d4x22,1,30.4,69,2023-04-16T03:00:31.440Z,2023-04-16T03:00:33Z,4193729699,212,13.4,4193729697,141,50.0,4193729693,56,Back,4193729695,140,26.9,4193729701,213,4.4,,,,,,,,,,5uaqcfkubn92hz2hq5ovyurit,N. Boxall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273399,5,1,1,0,5,6j4xzc2g1eeafo6v1f38d4x22,1,26.9,50,2023-04-16T03:00:33.360Z,2023-04-16T03:00:34Z,4193729731,212,10.9,4193729725,56,Back,4193729733,213,1.3,4193729727,140,29.5,4193729729,141,65.5,,,,,,,,,,4ljmkn447genzakxxuzkn5iol,S. Wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273401,6,1,1,0,7,6j4xzc2g1eeafo6v1f38d4x22,1,29.5,65.5,2023-04-16T03:00:34.416Z,2023-04-16T03:00:36Z,4193729757,213,0.1,4193729749,56,Back,4193729753,141,66.9,4193729755,212,6.5,4193729751,140,35.6,,,,,,,,,,5uaqcfkubn92hz2hq5ovyurit,N. Boxall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534273413,7,1,1,0,8,6j4xzc2g1eeafo6v1f38d4x22,1,36.6,74.7,2023-04-16T03:00:36.335Z,2023-04-16T03:00:40Z,4193729867,213,1.6,4193729859,56,Back,4193729861,140,36.6,4193729863,141,96.5,4193729865,212,14.8,,,,,,,,,,578n9sc6cucs81focurtu36c5,C. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535112713,995,3,1,0,11,6j4xzc2g1eeafo6v1f38d4x22,0,30.5,96.8,2023-04-16T03:00:39.339Z,2023-04-17T09:57:29Z,4198120949,285,,4198120953,467,1hcnrw2udxcdff6bre73sv1pm,4198120947,56,Back,4198120951,465,,,,,,,,,,,,,,avp78eu4gzmfcrpsnqglvwnah,S. Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
