id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist
2514897377,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-03-04T07:31:44.435Z,2023-03-04T10:50:39Z,4070147651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4070147659,194,bgzao2jp59jygdic68s5iudat,4070196239,197,868,4070147657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070147649,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 974s3rwvb2ls1k1no4hlaz8ph, 4ehmmuuxljgliiz7f7298h61h, 9634dv110vlqnf02k4yif14np, bgzao2jp59jygdic68s5iudat, aiehjyb5unahdn0somr3ewa1h, cr52lkk2tjwlz0gd34b0klyad, 4rg5d1oo8rtclemhci81i6xg5, c243bbqbc7agln9jpv0faa6dx, bu8z6ig5wrrtgsm1qhe4fxe51, 9dxuc4hj1ovd3mpjrxombnm22, 7nkjqwtji300a54ubhxn5f179, cuaqqokt0c82wz0bc0tt10rxm, d3ghkzq3ztaeno4lh8sj7o86i, ctrffnfu5yqmqf9nqyex5ky22, 49ctudxdwjkrhz6n3ykjpmdey, b195e73a76smpc1c6ejh7anvu",4070147653,59,"1, 23, 18, 26, 2, 4, 10, 8, 11, 17, 22, 3, 6, 12, 21, 25, 29, 30",4070147655,130,7,4070147661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514898235,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-03-04T07:34:24.519Z,2023-03-04T08:59:33Z,4070151789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070151781,30,"dmxzug2enscx331w5vmdzn2s5, 95sml1vx1fwwhq8p32p60e11x, 2wnqoxtt8xlglpndyjb5rb622, w8u1a5hrtitytfof3jk0zbh1, 46acb400oivj94jwu3i3lrxsl, yhkueqgsvvd5fzdffg9nky51, 5hylntpne6d7xwey2v9d9lg8a, ez47kkcz2wgypddldq97yz2dx, 91lwbi9gd4crrnmt30yld307p, njzhdtpegev8seam0oe0zpp1, c575swutxi9er3j9txklhrzoq, 3ff82uwwa2eb4k4yh7f1144id, vfwu1evhxgeeza1pvkyaxgph, 2nn6berxelojkxb2rjjnqw4id, bzzknt1y8qkmcon3vw7hdadp1, cl3z842ngppg6uu3tlusruep5, 3dgasrprt0ly3015fv1rulwmi, ekmq2tqdwkxcoagknm66ciove",4070151787,130,2,4070151791,194,w8u1a5hrtitytfof3jk0zbh1,4070151783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4070151793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070196631,197,17502,4070151785,59,"20, 2, 3, 8, 5, 21, 24, 14, 7, 10, 11, 1, 4, 6, 18, 19, 28, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514906637,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-03-04T08:45:14.952Z,2023-03-04T14:42:13Z,4070197013,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514906639,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-03-04T08:45:14.952Z,2023-03-04T08:45:15Z,4070197015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514906643,3,1,1,0,0,38ui5tfi8anjuh533emny2tz1,1,50,50,2023-03-04T08:45:15.052Z,2023-03-04T08:45:18Z,4070197045,56,Back,4070197051,212,13.3,4070197055,279,S,4070197047,140,37.3,4070197049,141,50.3,4070197053,213,3.1,,,,,,,4rg5d1oo8rtclemhci81i6xg5,R. Mak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514906655,4,1,1,0,3,38ui5tfi8anjuh533emny2tz1,1,35.8,46.3,2023-03-04T08:45:18.021Z,2023-03-04T08:45:23Z,4070197107,155,,4070197113,141,3.1,4070197115,212,38.4,4070197109,56,Right,4070197111,140,59.4,4070197119,1,,4070197117,213,5.4,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515061073,878,45,1,0,5,9xmhnv6im8h7c9e17oqvcx8gl,0,35.5,96,2023-03-04T08:45:20.202Z,2023-03-04T15:48:27Z,4071592829,233,948,4070970615,285,,4070970613,56,Back,,,,,,,,,,,,,,,,2wnqoxtt8xlglpndyjb5rb622,Cadete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515061069,948,3,1,0,5,38ui5tfi8anjuh533emny2tz1,1,64.5,4,2023-03-04T08:45:20.202Z,2023-03-04T15:48:27Z,4070970957,464,,4070970607,56,Right,4071592777,233,878,4070970609,286,,,,,,,,,,,,,,aiehjyb5unahdn0somr3ewa1h,J. Lolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514906661,5,1,1,0,8,38ui5tfi8anjuh533emny2tz1,1,61.8,25.4,2023-03-04T08:45:23.414Z,2023-03-04T14:47:32Z,4070197153,212,18.3,4070197151,141,30.3,4070197149,140,78.9,4070197147,56,Center,4070197155,213,0.2,,,,,,,,,,aiehjyb5unahdn0somr3ewa1h,J. Lolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514906667,6,1,1,0,10,38ui5tfi8anjuh533emny2tz1,0,82.2,33.8,2023-03-04T08:45:25.062Z,2023-03-04T08:45:26Z,4070197175,213,4.1,4070197167,56,Center,4070197171,141,26.0,4070197169,140,78.8,4070197173,212,6.4,,,,,,,,,,4rg5d1oo8rtclemhci81i6xg5,R. Mak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
