id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/18/value
2494559241,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-01-02T00:43:59.469Z,2023-01-02T02:01:10Z,3963087949,194,56p368h15z4s1izxoz3pvu4et,3963087947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963087951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963087943,59,"20, 17, 12, 5, 4, 6, 31, 23, 9, 10, 11, 7, 13, 14, 21, 24, 35, 40",3963118563,197,17517,3963087939,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, 3sqlv5wy64mmcnmr5bepafefp, dkqmon0xrrwdhcy66htkf1xwp, 578n9sc6cucs81focurtu36c5, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7ex2ik73ntprjkatncipscudx, 7wy9lh4qgnim12456qttxn85, 4xkq0dt99xipecd4tbm74kq1, ak2u5d2qrp9ka1b8qyy9ne3md, b1hpmuxmbcegdii4cbq5l8kwl, 3s29k3e5nvxhiiwntw8mynb6y, 2mrh8hbusuml4jkvcuw84enhm, 82tyg0nqfcncdgw3g474a37fu",3963087945,130,2,3963087941,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494559311,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-01-02T00:45:24.961Z,2023-01-02T02:15:21Z,3963118557,197,15092,3963088271,194,31v9w4cyk1fxlig452kuc65ed,3963088269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963088273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963088267,130,8,3963088263,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3963088265,59,"1, 25, 38, 14, 6, 22, 23, 13, 9, 8, 7, 2, 3, 4, 15, 16, 33, 35",3963088261,30,"77gcx1qotysu9hbi2hw2gjsvd, aeberiw2itt147h2mpjvd5rai, bwxn7o8ved1xo5bmfkfgzekiy, 446scvw0ckoxnvnsqcqocve1h, bdo2grdx1mgm63gii3zar50id, dnpala3bol8svyc2awng6iv9x, c00r3yls3lf245nbo93m9d6cq, bcytv86dp6kqrsosu6gck9q7d, 31v9w4cyk1fxlig452kuc65ed, 7q8urr40blud747zzb3io8w5x, 7cdvlgpi8g3e8ttspzvr1k251, cqoz8o1pse9uspkqvq3cmges5, 8wbljx8706rh6uyhf8eegl1w5, ze75933qynqbr4gupkz6xzo5, af7c4t8wp0341io4x0dl02ac5, 7nhzkoa6bywrlkj9nc3f5ylii, 5wivkupbnot9s6z48c31an42y, chx78g4kh1xfr7wp84etip016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564537,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-01-02T02:00:59.065Z,2023-01-02T02:01:01Z,3963120049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564531,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-01-02T02:00:59.065Z,2023-01-03T04:48:33Z,3963120039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564539,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,50.1,50.3,2023-01-02T02:00:59.347Z,2023-01-02T02:13:23Z,3963120067,279,S,3963120057,56,Back,3963120059,140,40.5,3963120065,213,3.2,3963120061,141,50.1,3963120063,212,10.1,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564543,4,1,1,0,1,c33jm806py6adse5wv9wx6ch1,1,36.5,47.3,2023-01-02T02:01:00.940Z,2023-01-02T02:51:00Z,3963120081,140,54.2,3963120079,56,Center,3963120087,213,0.1,3963120085,212,18.6,3963120083,141,49.0,,,,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564549,5,1,1,0,2,c33jm806py6adse5wv9wx6ch1,1,54.2,49,2023-01-02T02:01:01.916Z,2023-01-02T02:01:05Z,3963120111,212,8.2,3963120109,141,59.4,3963120105,56,Center,3963120107,140,50.2,3963120113,213,2.1,,,,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564553,6,1,1,0,5,c33jm806py6adse5wv9wx6ch1,1,52.6,65.2,2023-01-02T02:01:04.923Z,2023-01-02T02:01:06Z,3963120135,141,83.3,3963120131,56,Left,3963120133,140,52.2,3963120137,212,12.3,3963120139,213,1.6,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564559,7,1,1,0,7,c33jm806py6adse5wv9wx6ch1,1,52.8,83.2,2023-01-02T02:01:06.764Z,2023-01-02T02:01:09Z,3963120169,212,17.6,3963120171,213,3.6,3963120167,141,72.6,3963120163,56,Back,3963120165,140,37.5,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494564563,8,1,1,0,10,c33jm806py6adse5wv9wx6ch1,1,37,69.1,2023-01-02T02:01:09.307Z,2023-01-02T02:01:12Z,3963120193,140,31.6,3963120191,56,Back,3963120195,141,39.5,3963120199,213,4.4,3963120197,212,20.9,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
