id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2482169897,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-11-06T00:58:48.952Z,2022-11-06T02:31:56Z,3897952319,197,17632,3897844393,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, 7gt275zxk4hkh4zvdtmo3xpzp, qdjzxk5jrjnbbq6edbavp2p5, btyconkxo00p1gkf87mn70lpl, 6cke7ckocw7epjg5gj6exuytx, 4lk250c1xd4xsowjrdi0uuevp, cz6tcx6dqmlj45s9d9wxvcnh1, brm3r6uywyf21o3cnuizwofvu, ebsxh1pvxhmt8olxtapkrf7xl, 4llft8t2rwgm3uewbwyaq5ckp, 49tycizve9vcx6u78ity42r8q, 6f9jrka1qz3j5mfx4x3a5ubfu, 906itj33c7nzyzhkvxswvaxas, am6xykrxjymw2qpqli6upysq, f3z4grszald48qd1fidjycidw, aeoqbtq15nt9ks5cx50vallhw",3897844405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897844403,194,6cke7ckocw7epjg5gj6exuytx,3897844395,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3897844397,59,"12, 44, 13, 11, 6, 2, 17, 7, 94, 24, 99, 1, 14, 27, 31, 35, 37, 41",3897844399,130,7,3897844401,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482170015,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-11-06T00:59:48.237Z,2022-11-06T02:39:08Z,3897845329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3897845321,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, avp78eu4gzmfcrpsnqglvwnah, 30xc2y82d5xu8hkfhqrjw1z9x, 4ljmkn447genzakxxuzkn5iol, b1hpmuxmbcegdii4cbq5l8kwl, jvxwzywn4geyzpj2tzxssmsq, 578n9sc6cucs81focurtu36c5, 7wy9lh4qgnim12456qttxn85, ekjy3o3ymld0zkjdaynb4itat, 7ex2ik73ntprjkatncipscudx, 3sqlv5wy64mmcnmr5bepafefp, 42xmd4lhr1zub89n0ormclv4l, 6hqb04t5w85e576dgf44vn71m, 4xkq0dt99xipecd4tbm74kq1, e713hl3clivldop8wln53rsyy, dkqmon0xrrwdhcy66htkf1xwp, 82tyg0nqfcncdgw3g474a37fu",3897845333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897845327,130,2,3897845325,59,"20, 17, 19, 5, 4, 21, 8, 23, 7, 9, 11, 6, 10, 12, 13, 18, 31, 40",3897959069,197,17631,3897845331,194,56p368h15z4s1izxoz3pvu4et,3897845323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482182965,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2022-11-06T02:00:12.503Z,2022-11-07T08:27:16Z,3897918083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482182963,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-11-06T02:00:12.503Z,2022-11-06T02:00:12Z,3897918073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482182977,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,50,50,2022-11-06T02:00:12.603Z,2022-11-06T02:00:15Z,3897918133,279,S,3897918127,141,52.4,3897918129,212,13.7,3897918131,213,3.0,3897918123,56,Back,3897918125,140,37.0,,,,,,,4lk250c1xd4xsowjrdi0uuevp,D. De Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482182987,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,1,37,52.4,2022-11-06T02:00:15.420Z,2022-11-07T08:27:27Z,3897918183,140,37.6,3901882053,278,,3897918185,141,49.4,3897918187,212,2.1,3897918181,56,Back,3897918189,213,5.0,,,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482183001,5,1,1,0,4,7jv344gvcvgqg7oeuc9u554dm,1,38.4,55.7,2022-11-06T02:00:17.021Z,2022-11-06T02:00:22Z,3897918265,212,37.6,3897918259,56,Left,3897918263,141,82.1,3897918257,155,,3897918269,1,,3897918267,213,0.5,3897918261,140,69.9,,,,6cke7ckocw7epjg5gj6exuytx,C. Noone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482183019,6,1,1,0,9,7jv344gvcvgqg7oeuc9u554dm,1,69.9,82.1,2022-11-06T02:00:22.316Z,2022-11-06T02:00:27Z,3897918371,212,19.6,3897918363,168,,3897918365,56,Left,3897918361,3,,3897918367,140,88.3,3897918373,213,0.2,3897918369,141,86.6,,,,cz6tcx6dqmlj45s9d9wxvcnh1,A. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482183039,7,1,1,0,14,7jv344gvcvgqg7oeuc9u554dm,1,84.8,96.3,2022-11-06T02:00:27.083Z,2022-11-06T02:00:32Z,3897918475,212,6.8,3897918469,56,Left,3897918471,140,78.3,3897918477,213,3.2,3897918473,141,96.2,,,,,,,,,,ebsxh1pvxhmt8olxtapkrf7xl,D. Arzani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482183047,8,1,1,0,19,7jv344gvcvgqg7oeuc9u554dm,1,75.4,91.5,2022-11-06T02:00:32.364Z,2022-11-06T02:00:35Z,3897918513,56,Left,3897918517,141,96.6,3897918515,140,80.7,3897918521,213,0.6,3897918519,212,6.6,,,,,,,,,,brm3r6uywyf21o3cnuizwofvu,C. M'Mombwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
