id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2490264413,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-12-11T05:10:41.537Z,2022-12-11T05:58:29Z,3940285605,59,"12, 44, 13, 11, 6, 5, 37, 7, 9, 10, 99, 1, 2, 17, 27, 31, 35, 94",3940285611,194,1nrqzt5f33akpl06zanky83bp,3940285609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3940285603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3940285613,197,9894,3940285615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940285607,130,8,3940285601,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, 7gt275zxk4hkh4zvdtmo3xpzp, qdjzxk5jrjnbbq6edbavp2p5, c3u652s3v8u1q4qid5mkbtyw9, f3z4grszald48qd1fidjycidw, 4lk250c1xd4xsowjrdi0uuevp, du99hpqe1ikml2wohv8ei0hxx, 1nrqzt5f33akpl06zanky83bp, ebsxh1pvxhmt8olxtapkrf7xl, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, 6cke7ckocw7epjg5gj6exuytx, 6f9jrka1qz3j5mfx4x3a5ubfu, 906itj33c7nzyzhkvxswvaxas, am6xykrxjymw2qpqli6upysq, cz6tcx6dqmlj45s9d9wxvcnh1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490264641,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-12-11T05:12:22.758Z,2022-12-11T06:16:19Z,3940286489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940286475,30,"dmxzug2enscx331w5vmdzn2s5, 91lwbi9gd4crrnmt30yld307p, 2wnqoxtt8xlglpndyjb5rb622, 7h5zy4yqn4pilij1tsmm2qmzt, 2nn6berxelojkxb2rjjnqw4id, 95sml1vx1fwwhq8p32p60e11x, cx8wxcop4vdfapgaboyzqrsvd, vfwu1evhxgeeza1pvkyaxgph, nf5y7om644176c52n91ptsyd, abz6occh9zmu2tcsejm5uiyg9, njzhdtpegev8seam0oe0zpp1, 3ff82uwwa2eb4k4yh7f1144id, c575swutxi9er3j9txklhrzoq, 4bkh8hka55xcxf9krl9ga4iui, 2g39f2y5dqwg3q4sw2jf6x6g9, 5hylntpne6d7xwey2v9d9lg8a, 3dgasrprt0ly3015fv1rulwmi, 9660pkh3215x0w4jllovetpwq",3940286487,197,17502,3940286481,130,18,3940286485,194,2nn6berxelojkxb2rjjnqw4id,3940286483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3940286477,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3940286479,59,"20, 7, 3, 15, 6, 2, 22, 4, 17, 18, 10, 1, 11, 14, 16, 24, 28, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268129,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2022-12-11T06:00:13.930Z,2022-12-12T09:10:52Z,3940304641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268127,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-12-11T06:00:13.930Z,2022-12-11T06:00:14Z,3940304639,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268131,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,49.9,50.1,2022-12-11T06:00:14.095Z,2022-12-11T06:00:34Z,3940304643,56,Back,3940304645,140,44.4,3940304653,279,S,3940304649,212,6.4,3940304647,141,46.0,3940304651,213,3.6,,,,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268135,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,1,44.4,46,2022-12-11T06:00:16.776Z,2022-12-11T06:07:15Z,3940304707,140,58.3,3940304713,213,5.7,3940304709,141,32.4,3940304705,56,Center,3940304711,212,17.3,,,,,,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268137,5,1,1,0,5,7jv344gvcvgqg7oeuc9u554dm,1,68.2,32.2,2022-12-11T06:00:19.496Z,2022-12-11T06:07:49Z,3940304735,212,5.6,3940304729,56,Center,3940304733,141,39.7,3940304731,140,65.9,3940304737,213,2.0,,,,,,,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268141,6,1,1,0,6,7jv344gvcvgqg7oeuc9u554dm,1,64.8,35.5,2022-12-11T06:00:20.840Z,2022-12-11T06:00:25Z,3940304795,140,63.4,3940304799,212,19.6,3940304801,213,4.6,3940304793,56,Right,3940304797,141,6.7,,,,,,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268145,7,1,1,0,11,7jv344gvcvgqg7oeuc9u554dm,0,69.8,4.9,2022-12-11T06:00:25.176Z,2022-12-11T08:48:27Z,3940304839,155,,3940304849,213,0.9,3940304851,1,,3940304837,2,,3940304847,212,39.4,3940304841,56,Center,3940304845,141,49.1,3940368211,20,,44cqwwuueirgp57r8ks0725t5,M. Millar,3940368209,224,3940304843,140,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490268147,3,52,1,0,14,9xmhnv6im8h7c9e17oqvcx8gl,1,5.3,42.8,2022-12-11T06:00:28.088Z,2022-12-11T08:48:39Z,3940368295,378,,,,,,,,,,,,,,,,,,,,,,,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
