id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2518122049,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-03-11T07:30:55.501Z,2023-03-11T08:50:56Z,4087244893,194,bpm5mr9bgqdsnc5cesnf2ga1h,4087244887,59,"1, 2, 3, 32, 25, 5, 7, 6, 9, 17, 4, 8, 14, 18, 19, 20, 33, 39",4087244885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4087244889,130,15,4087278895,197,869,4087244895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087244891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4087244883,30,"30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, ccof41jyzj4bnh14u8goyjutx, 9lh56gt4nxb29rm416rb6lv1m, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, 1u9k9c9uuoj9ktx8ctacv2ajt, 37ymn40mii3xfovk1iyg6mthx, 62ln44wo6iw2dweq0aqq04ded, 6lu5jfgq3rxunqnbbxpu8ztyi, 305har0fmf8wye7e3wbpfqcid, 8q4a3xz1plwm6f06jawwvo5ih, uqoseczs2k03doablx2zuusq, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 4epapct9t0a0skf8522jyerjd, 3gpp1g8587gh95uzripmv9pwq, b64xe0hw5h2k79a52awusbkve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518122441,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-11T07:32:46.544Z,2023-03-11T09:13:50Z,4087246497,130,8,4087246491,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 2kig0lwusomobls6p3am0l7qi, 9l5seuy6ggcvpqnt5ekxn1pii, 8t39sfyi8s85bs1ptjymmbd1x, bidqgybf8b93bdsi4t4kzeuhh, 3qwtpnlm38xo5f1u36a30kus5, evf4z0xf7cd5nidnq6q4x8w7o, 4j4nenchzzxi4a96o7jqdpgid, 8wt0rz1iw4aon12zj6axq1sk5, 6np04cprm5wsvs4prp8ehirro, c0f9jho2nsyygravyp7f19i3t, 4bkh8hka55xcxf9krl9ga4iui, 6px2wd7ccjzc56c1h5ag4b52i, a5y5w6rclo7jen1tg6xhfgewa, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",4087246495,59,"46, 21, 7, 6, 13, 3, 26, 8, 35, 10, 11, 49, 1, 18, 23, 41, 55, 66",4087246501,194,8wt0rz1iw4aon12zj6axq1sk5,4087246499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4087246503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087278937,197,874,4087246493,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131021,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-11T08:45:18.658Z,2023-03-11T08:45:18Z,4087280155,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131023,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-03-11T08:45:18.658Z,2023-03-11T11:36:32Z,4087280171,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131025,3,1,1,0,1,6lezh5aazy0xca1800e5dqxwl,1,49.9,49.9,2023-03-11T08:45:19.758Z,2023-03-11T11:37:05Z,4087280195,279,S,4087280191,212,13.5,4087280193,213,3.2,4087280187,140,37.0,4087280185,56,Back,4087280189,141,49.4,,,,,,,evf4z0xf7cd5nidnq6q4x8w7o,L. Jovanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131031,4,1,1,0,2,6lezh5aazy0xca1800e5dqxwl,1,39.7,59,2023-03-11T08:45:21.331Z,2023-03-11T11:47:33Z,4087280225,140,32.8,4087280227,141,85.7,4087280231,213,2.0,4087280223,56,Back,4087280229,212,19.5,,,,,,,,,,3qwtpnlm38xo5f1u36a30kus5,Isaías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131033,5,1,1,0,5,6lezh5aazy0xca1800e5dqxwl,1,29.9,81,2023-03-11T08:45:23.756Z,2023-03-11T08:45:28Z,4087280273,212,11.2,4087280267,56,Back,4087280269,140,22.7,4087280275,213,4.0,4087280271,141,68.9,,,,,,,,,,9p4eptchs6yk33mzve5acbth,R. Kitto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131039,6,1,1,0,9,6lezh5aazy0xca1800e5dqxwl,0,25.9,73.8,2023-03-11T08:45:28.189Z,2023-03-11T08:45:34Z,4087280347,141,100.0,4087280345,140,81.6,4087280341,155,,4087280353,1,,4087280349,212,61.4,4087280351,213,0.3,4087280343,56,Left,,,,8t39sfyi8s85bs1ptjymmbd1x,B. Warland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131041,3,56,1,0,15,chu9blh367xs3yumct5tqto2q,1,0,0,2023-03-11T08:45:34.018Z,2023-03-11T08:45:49Z,4087280355,56,Back,,,,,,,,,,,,,,,,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518131047,4,5,1,0,15,chu9blh367xs3yumct5tqto2q,1,17.6,-1.6,2023-03-11T08:45:34.635Z,2023-03-11T08:47:51Z,4087280391,233,7,4087280385,56,Back,4087280387,347,,,,,,,,,,,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
