id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value
2517721051,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-10T09:59:57.033Z,2023-03-10T12:00:12Z,4085103623,194,68mqljqiwgzgextvvyncb3avp,4085091431,130,19,4085091429,59,"13, 2, 14, 29, 15, 5, 6, 4, 7, 22, 16, 3, 18, 19, 28, 30, 37, 43",4085193789,197,18077,4085091433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4085091425,30,"1vr7xk50jy6ytnogke8h6ciga, 5pjrdhytzrteyqxxcvxxhjqax, 8gzsegmgy3fjcluzdci515j2t, adhfs6658xx5hpxur1496kv6d, 4hudkn0jcog2v9q8qv1vngij9, 68mqljqiwgzgextvvyncb3avp, 5ik9yg42hblwa27q4p29awyj9, 9sczcrp79182vio8prnrw5kdm, cufgsqfkltgeb7ak2uan2dqdx, 2tveu4wl8zdno0v950r0r34k5, 4wk0sw7u4c17v2owhx5bhmusq, 5c8v9xugyq3jm2kik1eeoptnu, 61rdelnm1qf1rh24z6omazu1h, 869lv47g5aohwwzeyzx9xmt7u, 1smjjhc426d9s9ly2g41cqvl6, dq73n90z7dgfp2bhh7y3d8161, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",4085091435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085091427,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517722067,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-10T10:02:57.586Z,2023-03-10T11:03:47Z,4085096235,59,"20, 17, 3, 4, 5, 16, 11, 28, 26, 10, 23, 1, 8, 9, 14, 19, 21, 33",4085096243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085096237,130,8,4085192321,197,17160,4085096233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4085096241,194,dxb1r4gqgxkngb0pzvfby9iol,4085096231,30,"98blyfvs09u1j6m7ltbqai9xx, 9xqw0h9piwsalgt47y5m6fr2t, 4rv3p2e0scrkce2l3budvzqol, dxb1r4gqgxkngb0pzvfby9iol, 9iebtrpherpydugn7m9hrcl3p, 3ivpa9dqlbrg7dc71nsmaw1d5, dmj5oe18blqnxozkfd8q5myfp, dreyp9vpkgl8t38erpkrfwsbu, pc2pewu255axe28t955qjcnp, e8iey6bpyyfd0u8lovucrc2xh, 1yqlkot5sh85ot3eemo67djv9, af9qi36c0nm8eso8z5ah8yyuh, 6fx6x1x0v02v094w754htlfx1, evh60twv2ab6si0q78fqi9coa, bb4iwletl36hvcn0rthlrm8a2, d0f8dmnejzbjc7dfg14u8yv6y, 2v9zl8rrcoi432p8iy1ngwlt6, 3n3jrt6gx6o1z1q2nq0qmaxhw",4085096239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740693,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-10T11:00:09.861Z,2023-03-10T11:00:10Z,4085195767,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740695,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-10T11:00:09.861Z,2023-03-11T08:12:21Z,4085195769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740705,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,50.2,49.9,2023-03-10T11:00:09.961Z,2023-03-10T11:00:12Z,4085195825,141,54.9,4085195827,212,11.5,4085195823,140,39.7,4085195821,56,Back,4085195831,279,S,4085195829,213,2.8,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740717,4,1,1,0,2,6h553bwfqkoxayuv80uikkn42,0,39.6,54.9,2023-03-10T11:00:12.576Z,2023-03-11T08:12:54Z,4085195891,141,7.0,4085195887,56,Right,4087267601,155,,4085195893,212,47.5,4085195889,140,72.5,4085195895,213,5.5,4085195897,1,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740733,3,12,1,0,5,cuj4qahgk4idsme4dg8clk6gw,1,21.4,90.5,2023-03-10T11:00:14.979Z,2023-03-10T11:00:22Z,4085196073,15,,4085195959,212,11.1,4085196075,167,,4085195953,56,Back,4085195955,140,29.2,4085195961,213,0.7,4085195957,141,100.0,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740735,4,5,1,0,7,cuj4qahgk4idsme4dg8clk6gw,0,33,101.2,2023-03-10T11:00:17.270Z,2023-03-10T11:00:24Z,4085195973,347,,4085195971,56,Back,4085196089,233,5,,,,,,,,,,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740759,5,5,1,0,7,6h553bwfqkoxayuv80uikkn42,1,67,-1.2,2023-03-10T11:00:17.270Z,2023-03-10T11:11:35Z,4085196083,347,,4085196081,56,Right,4085196085,233,4,,,,,,,,,,,,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740763,6,1,1,0,13,6h553bwfqkoxayuv80uikkn42,0,63.6,0,2023-03-10T11:00:23.472Z,2023-03-10T11:00:24Z,4085196115,212,18.8,4085196117,213,0.5,4085196109,56,Right,4085196111,140,79.3,4085196113,141,12.4,4085196107,107,,,,,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
