id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/13/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2519662187,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-03-13T05:46:48.683Z,2023-03-13T07:01:57Z,4095370095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4095370103,194,w8u1a5hrtitytfof3jk0zbh1,4095418281,197,889,4095370105,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4095370101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4095370097,59,"20, 2, 3, 14, 5, 21, 24, 8, 7, 10, 11, 1, 4, 6, 18, 19, 23, 29",4095370093,30,"dmxzug2enscx331w5vmdzn2s5, 95sml1vx1fwwhq8p32p60e11x, 2wnqoxtt8xlglpndyjb5rb622, ez47kkcz2wgypddldq97yz2dx, 46acb400oivj94jwu3i3lrxsl, yhkueqgsvvd5fzdffg9nky51, 5hylntpne6d7xwey2v9d9lg8a, w8u1a5hrtitytfof3jk0zbh1, 91lwbi9gd4crrnmt30yld307p, njzhdtpegev8seam0oe0zpp1, c575swutxi9er3j9txklhrzoq, 3ff82uwwa2eb4k4yh7f1144id, vfwu1evhxgeeza1pvkyaxgph, 2nn6berxelojkxb2rjjnqw4id, bzzknt1y8qkmcon3vw7hdadp1, cl3z842ngppg6uu3tlusruep5, 63za0395wiu88h3panzx86pxx, ekmq2tqdwkxcoagknm66ciove",4095370099,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519662401,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-03-13T05:47:57.670Z,2023-03-13T06:59:29Z,4095371209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4095371203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4095371207,130,2,4095417203,194,bj77m6u2q7jd9nf67dleq2tp1,4095422697,197,6265,4095371205,59,"1, 19, 17, 7, 6, 4, 8, 88, 99, 38, 11, 5, 9, 10, 23, 27, 37, 44",4095371211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4095371201,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, d9fmhxd6637ihfqc9qvsnmjth, 8alirbm4n482p155zi3174fyt, d2xblktxmr8illac50p2gcmhh, bfw1ktidkogubiuvx2c0qqtbd, bknqxl16j0tm4dggbwjmzb2t, dpre9cmklv12i80xbyqnku505, 8sknvoifu8w9wpso5xije0b56, cqwfvlrzbld40ce3s1qmdniz9, cfkv8xhbb3j2e0wulp49i1jvt, 34dwjcubokyikikcect9v4wve, ak7gkgt0ysr3p9e5vvq036i8l, 68z86n999vjdyb7mlj8nnlp05, 30eyww0b75hsid71kihac79pl, 8yyosfgv4yj0g7k2rwk743fft, 6xe2j75i29sgwbu11cp526uad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672215,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-03-13T07:00:17.148Z,2023-03-14T11:29:13Z,4095423107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672223,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-03-13T07:00:17.148Z,2023-03-13T07:00:17Z,4095423123,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672231,3,1,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,50.1,50,2023-03-13T07:00:17.248Z,2023-03-13T07:00:19Z,4095423145,141,51.2,4095423151,279,S,4095423141,56,Back,4095423143,140,40.9,4095423149,213,3.1,4095423147,212,9.7,,,,,,,dpre9cmklv12i80xbyqnku505,A. Prijović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672237,4,1,1,0,1,7p460lrzt1kmp4rsofqa47eqy,1,35.8,50.9,2023-03-13T07:00:19.080Z,2023-03-14T11:29:39Z,4095423177,212,17.4,4095423179,213,1.5,4095423173,140,36.6,4095423171,56,Back,4095423175,141,76.4,,,,,,,,,,bknqxl16j0tm4dggbwjmzb2t,N. Kilkenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672249,5,1,1,0,3,7p460lrzt1kmp4rsofqa47eqy,1,33,79.8,2023-03-13T07:00:20.839Z,2023-03-14T11:29:45Z,4095423221,56,Back,4095423225,141,95.4,4095423231,213,0.8,4095423223,140,43.6,4095423227,212,15.4,,,,,,,,,,f4dbx6c236nuk9f1p2qqi3x79,B. Garuccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672255,6,61,1,0,6,7p460lrzt1kmp4rsofqa47eqy,0,44,91.8,2023-03-13T07:00:23.463Z,2023-03-13T07:00:24Z,4095423239,56,Back,,,,,,,,,,,,,,,,,,,,,,cqwfvlrzbld40ce3s1qmdniz9,C. Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672259,3,12,1,0,7,9xmhnv6im8h7c9e17oqvcx8gl,1,62.1,7.5,2023-03-13T07:00:24.859Z,2023-03-13T07:10:57Z,4095423245,56,Right,4095423461,167,,4095423465,141,0.0,4095423469,213,4.2,4095423463,140,59.3,4095423467,212,6.5,,,,,,,5hylntpne6d7xwey2v9d9lg8a,N. Velupillay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519672261,4,5,1,0,7,9xmhnv6im8h7c9e17oqvcx8gl,0,59,-1.4,2023-03-13T07:00:25.114Z,2023-03-13T07:25:37Z,4095423251,56,Right,4095423279,233,7,4095423253,347,,,,,,,,,,,,,,,,,5hylntpne6d7xwey2v9d9lg8a,N. Velupillay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
