id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2501166625,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-01-28T07:43:10.730Z,2023-01-28T08:52:13Z,3997835671,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, 9xqw0h9piwsalgt47y5m6fr2t, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, d0f8dmnejzbjc7dfg14u8yv6y, dreyp9vpkgl8t38erpkrfwsbu, pc2pewu255axe28t955qjcnp, 6fx6x1x0v02v094w754htlfx1, 1yqlkot5sh85ot3eemo67djv9, af9qi36c0nm8eso8z5ah8yyuh, e8iey6bpyyfd0u8lovucrc2xh, 26h572pq2qiac1raqk6g0jvh0, 7vw7j6hjzw4xj19f7s6rh3dw4, 3n3jrt6gx6o1z1q2nq0qmaxhw, 9vu1fxor0nsvt0n80zn2wtgtm, bfz6cqvrhregc09eq5bymtt04",3997835677,130,8,3997835675,59,"20, 2, 3, 17, 5, 6, 19, 28, 26, 8, 23, 1, 10, 31, 32, 33, 36, 37",3997873641,197,17160,3997835681,194,6xvmp9q79f0fjjtvd6rcz00d1,3997835679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3997835673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3997835683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501167021,1,34,16,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2023-01-28T07:45:09.558Z,2023-01-28T08:44:13Z,3997837091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3997837085,130,2,3997837087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3997837081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3997837089,194,bgl8h2ygh9ztbnzt79wv178ph,3997837079,30,"bgl8h2ygh9ztbnzt79wv178ph, b64xe0hw5h2k79a52awusbkve, 3py7ky3kq3ikgy0fl2g2rrtre, 4p3oumqahcdjl66oqw3jwjsdm, 6iohupgr9c0l4xy19b02kgsx6, 5l9ozhnxtdp4w8dawcskpx5ud, 36gq011by1cjkem274ahdfg89, 7qwmlcxsxlxmq01g7dkt7v14a, 34dwjcubokyikikcect9v4wve, 1udr2rsx6qqszasls0ghqll, b3wugaop1bb4php1irwf6zqei, 7u4b1qrfl77crswls2ix35o89, 4l0se1iapxcmd1jb4851aj6c5, 3hfu7zxdbwlshk4wc87379ul0, 7hew5ue5j22q9voqfewjcrgus, 7ucilzbc870tvzy8iqxlk8kbt, 6qtiz00ou6a6raf4nbxg87z84, dtjh9j9whua6r6ms05cls3iwa",3997837083,59,"20, 2, 23, 4, 25, 3, 98, 6, 21, 90, 7, 31, 9, 13, 22, 24, 27, 28",3997867921,197,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174233,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-01-28T08:45:15.537Z,2023-01-28T08:45:15Z,3997869317,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174235,2,32,1,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2023-01-28T08:45:15.537Z,2023-01-28T14:27:01Z,3997869319,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174241,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,49.9,50.1,2023-01-28T08:45:15.637Z,2023-01-28T14:32:26Z,3997869347,279,S,3997869341,141,49.5,3997869339,140,42.4,3997869345,213,3.2,3997869343,212,7.9,3997869337,56,Back,,,,,,,6fx6x1x0v02v094w754htlfx1,O. Bozanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174249,4,1,1,0,2,6h553bwfqkoxayuv80uikkn42,1,45.3,49.3,2023-01-28T08:45:18.182Z,2023-01-28T14:32:38Z,3998619659,155,,3997869383,213,0.4,3997869377,140,69.1,3997869381,212,27.4,3997869375,56,Center,3997869379,141,66.0,,,,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174253,5,44,1,0,4,6h553bwfqkoxayuv80uikkn42,1,64,70.5,2023-01-28T08:45:20.361Z,2023-01-28T08:45:22Z,3997869419,233,3,3997869417,286,,3997869415,56,Center,,,,,,,,,,,,,,,,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174247,3,44,1,0,4,c4ygb6mnh53kpl2mpxe52l8jw,0,36,29.5,2023-01-28T08:45:20.362Z,2023-01-28T08:45:22Z,3997869371,285,,3997869369,56,Back,3997869423,233,5,,,,,,,,,,,,,,,,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174255,6,1,1,0,5,6h553bwfqkoxayuv80uikkn42,0,60.1,69.5,2023-01-28T08:45:20.815Z,2023-01-28T14:34:45Z,3997869437,213,0.4,3997869431,140,62.6,3997869435,212,2.9,3997869427,3,,3997869433,141,71.3,3997869429,56,Center,,,,,,,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501174251,4,61,1,0,5,c4ygb6mnh53kpl2mpxe52l8jw,1,34.5,20.7,2023-01-28T08:45:21.458Z,2023-01-28T14:34:54Z,3997869409,56,Back,,,,,,,,,,,,,,,,,,,,,,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
