id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/17/value
2506109539,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-02-11T10:12:41.087Z,2023-02-12T09:02:44Z,4023787115,59,"13, 21, 14, 29, 15, 5, 8, 4, 7, 18, 16, 2, 3, 19, 22, 28, 30, 43",4023787121,194,7vq2cctowa657lg0v740lhtjp,4023787113,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4023869409,197,18077,4023787123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023787111,30,"1vr7xk50jy6ytnogke8h6ciga, 982owm0ccito2d1x2pkvpqeh, 8gzsegmgy3fjcluzdci515j2t, adhfs6658xx5hpxur1496kv6d, 4hudkn0jcog2v9q8qv1vngij9, 68mqljqiwgzgextvvyncb3avp, 7vq2cctowa657lg0v740lhtjp, 9sczcrp79182vio8prnrw5kdm, cufgsqfkltgeb7ak2uan2dqdx, 61rdelnm1qf1rh24z6omazu1h, 4wk0sw7u4c17v2owhx5bhmusq, 5pjrdhytzrteyqxxcvxxhjqax, 5c8v9xugyq3jm2kik1eeoptnu, 869lv47g5aohwwzeyzx9xmt7u, 2tveu4wl8zdno0v950r0r34k5, 1smjjhc426d9s9ly2g41cqvl6, dq73n90z7dgfp2bhh7y3d8161, d1vlidmmd1z2oc6h24i2v5fro",4023787117,130,19,4023787119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506109965,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-02-11T10:15:25.714Z,2023-02-11T11:33:25Z,4023789197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023789189,59,"1, 4, 38, 13, 6, 3, 15, 14, 9, 8, 7, 2, 10, 18, 23, 25, 33, 35",4023789187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4023789191,130,7,4023789185,30,"77gcx1qotysu9hbi2hw2gjsvd, ze75933qynqbr4gupkz6xzo5, bwxn7o8ved1xo5bmfkfgzekiy, bcytv86dp6kqrsosu6gck9q7d, bdo2grdx1mgm63gii3zar50id, 8wbljx8706rh6uyhf8eegl1w5, af7c4t8wp0341io4x0dl02ac5, 446scvw0ckoxnvnsqcqocve1h, 31v9w4cyk1fxlig452kuc65ed, 7q8urr40blud747zzb3io8w5x, 7cdvlgpi8g3e8ttspzvr1k251, cqoz8o1pse9uspkqvq3cmges5, 5he6zl0hg2jxsb2m624xlum6t, 5wz8hmh6szarsa6j0thdxeane, c00r3yls3lf245nbo93m9d6cq, aeberiw2itt147h2mpjvd5rai, 5wivkupbnot9s6z48c31an42y, chx78g4kh1xfr7wp84etip016",4023789193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4023789195,194,8wbljx8706rh6uyhf8eegl1w5,4023869401,197,15092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124687,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-02-11T11:31:02.275Z,2023-03-04T13:32:57Z,4023875573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124689,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-02-11T11:31:02.275Z,2023-02-11T11:31:04Z,4023875579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124709,3,1,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,49.9,50,2023-02-11T11:31:02.375Z,2023-02-11T11:32:50Z,4023875633,56,Back,4023875635,140,29.9,4023875641,213,2.6,4023875637,141,67.2,4023875639,212,24.0,4023875643,279,S,,,,,,,4wk0sw7u4c17v2owhx5bhmusq,K. Jelacic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124715,4,1,1,0,4,cuj4qahgk4idsme4dg8clk6gw,0,29.9,67.2,2023-02-11T11:31:06.284Z,2023-02-12T09:13:51Z,4023875669,140,73.6,4023875667,56,Right,4023875677,1,,4023875675,213,5.7,4023875665,155,,4023875671,141,18.8,4023875673,212,56.5,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506146231,418,44,1,0,6,c33jm806py6adse5wv9wx6ch1,1,27.6,84.8,2023-02-11T11:31:08.374Z,2023-02-12T09:13:43Z,4023983585,285,,4023983583,56,Back,4023983743,233,370,,,,,,,,,,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506146061,370,44,1,0,6,cuj4qahgk4idsme4dg8clk6gw,0,72.4,15.2,2023-02-11T11:31:08.375Z,2023-02-12T09:13:45Z,4023982783,56,Right,4023983759,233,418,4023982785,286,,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124719,3,1,1,0,6,c33jm806py6adse5wv9wx6ch1,0,32,82.3,2023-02-11T11:31:08.843Z,2023-02-12T09:14:46Z,4023875695,3,,4023875705,213,5.1,4023875703,212,6.6,4023875701,141,73.2,4023875699,140,34.3,4023875697,56,Back,,,,,,,7q8urr40blud747zzb3io8w5x,R. van der Venne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124729,4,45,1,0,7,c33jm806py6adse5wv9wx6ch1,0,32.4,67.1,2023-02-11T11:31:09.301Z,2023-02-12T09:15:01Z,4023875743,285,,4023875741,56,Back,4023875789,233,5,,,,,,,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
