id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2522207469,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-03-19T07:25:10.459Z,2023-03-19T08:08:08Z,4108875791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4108875789,130,8,4108904679,197,15092,4108875787,59,"1, 25, 38, 3, 4, 22, 23, 13, 9, 14, 15, 2, 18, 33, 36, 43, 50, 51",4108875793,194,8wbljx8706rh6uyhf8eegl1w5,4108875783,30,"77gcx1qotysu9hbi2hw2gjsvd, aeberiw2itt147h2mpjvd5rai, bwxn7o8ved1xo5bmfkfgzekiy, 8wbljx8706rh6uyhf8eegl1w5, ze75933qynqbr4gupkz6xzo5, dnpala3bol8svyc2awng6iv9x, c00r3yls3lf245nbo93m9d6cq, bcytv86dp6kqrsosu6gck9q7d, 31v9w4cyk1fxlig452kuc65ed, 446scvw0ckoxnvnsqcqocve1h, af7c4t8wp0341io4x0dl02ac5, cqoz8o1pse9uspkqvq3cmges5, 5wz8hmh6szarsa6j0thdxeane, 5wivkupbnot9s6z48c31an42y, 1q1gfw2mh9tb52nvg2ilxvxwq, 64v2x099v16jwairq0wm33x90, caz9xb5jls7awgnh4g8090ktm, acjsr8bgbktfzeve4zc7f4pp0",4108875795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4108875785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522208137,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-03-19T07:27:23.982Z,2023-03-19T08:11:12Z,4108877733,130,2,4108877735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4108918479,197,18675,4108877731,59,"12, 44, 13, 27, 6, 5, 8, 11, 35, 20, 7, 1, 2, 15, 24, 31, 36, 37",4108877739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4108877727,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, 6f9jrka1qz3j5mfx4x3a5ubfu, qdjzxk5jrjnbbq6edbavp2p5, c3u652s3v8u1q4qid5mkbtyw9, ceea6ndbo2sq5cvucg5j31oq2, 7gt275zxk4hkh4zvdtmo3xpzp, am6xykrxjymw2qpqli6upysq, cyex7clv49xf8p6j8l3jw1cdl, 4lk250c1xd4xsowjrdi0uuevp, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, 6i6sc8ttypctphire7scntu51, brm3r6uywyf21o3cnuizwofvu, 906itj33c7nzyzhkvxswvaxas, czj18cj8t4tx4zvhcsysstcve, f3z4grszald48qd1fidjycidw",4108877729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4108877737,194,qdjzxk5jrjnbbq6edbavp2p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216209,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-03-19T08:00:09.971Z,2023-03-19T08:00:12Z,4108906909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216205,3,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-03-19T08:00:09.971Z,2023-03-19T11:25:23Z,4108906901,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216225,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,50,50,2023-03-19T08:00:10.071Z,2023-03-19T08:00:13Z,4108906963,140,41.8,4108906971,213,4.0,4108906973,279,S,4108906961,56,Back,4108906969,212,12.7,4108906967,141,36.3,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216231,4,1,1,0,3,c33jm806py6adse5wv9wx6ch1,1,42,36.3,2023-03-19T08:00:13.807Z,2023-03-19T08:26:11Z,4108906997,213,5.3,4108906991,140,54.5,4108906989,56,Right,4108906995,212,23.3,4108906993,141,7.9,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216239,5,1,1,0,5,c33jm806py6adse5wv9wx6ch1,1,54.3,8,2023-03-19T08:00:15.647Z,2023-03-19T08:26:33Z,4108907039,212,15.6,4108907037,141,10.3,4108907033,56,Back,4108907035,140,39.5,4108907041,213,3.0,,,,,,,,,,c00r3yls3lf245nbo93m9d6cq,M. Tilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216253,6,1,1,0,7,c33jm806py6adse5wv9wx6ch1,1,39.3,11.4,2023-03-19T08:00:17.246Z,2023-03-19T08:26:34Z,4108907091,212,9.4,4108907089,141,21.0,4108907087,140,32.9,4108907093,213,2.4,4108907085,56,Back,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216267,7,1,1,0,10,c33jm806py6adse5wv9wx6ch1,1,34.3,25.8,2023-03-19T08:00:20.783Z,2023-03-19T08:00:25Z,4108907155,212,33.1,4108907159,1,,4108907157,213,1.5,4108907149,56,Back,4108907153,141,74.5,4108907151,140,35.4,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216281,8,1,1,0,15,c33jm806py6adse5wv9wx6ch1,1,38.8,73.5,2023-03-19T08:00:25.247Z,2023-03-19T08:00:30Z,4108907225,213,4.7,4108907217,56,Back,4108907219,140,39.5,4108907223,212,31.8,4108907221,141,26.7,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216295,9,1,1,0,20,c33jm806py6adse5wv9wx6ch1,1,39.4,27.7,2023-03-19T08:00:30.879Z,2023-03-19T08:26:46Z,4108907295,141,45.5,4108907291,56,Back,4108907293,140,36.3,4108907297,212,12.5,4108907299,213,1.8,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216303,10,1,1,0,26,c33jm806py6adse5wv9wx6ch1,1,38.4,45.1,2023-03-19T08:00:36.240Z,2023-03-19T08:00:39Z,4108907333,213,1.4,4108907331,212,19.7,4108907325,56,Back,4108907327,140,41.8,4108907329,141,73.6,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216313,11,1,1,0,29,c33jm806py6adse5wv9wx6ch1,1,42.8,75.3,2023-03-19T08:00:39.551Z,2023-03-19T08:26:58Z,4108907379,140,58.3,4108907377,56,Center,4108907381,141,75.0,4108907383,212,16.3,4108907385,213,6.3,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216327,12,1,1,0,33,c33jm806py6adse5wv9wx6ch1,1,58.3,75,2023-03-19T08:00:43.327Z,2023-03-19T08:00:45Z,4108907435,140,45.3,4108907441,213,2.5,4108907433,56,Back,4108907437,141,90.5,4108907439,212,17.2,,,,,,,,,,8wbljx8706rh6uyhf8eegl1w5,S. Jamieson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216331,13,1,1,0,35,c33jm806py6adse5wv9wx6ch1,0,55.2,96,2023-03-19T08:00:45.344Z,2023-03-19T08:00:45Z,4108907455,212,15.1,4108907453,141,86.0,4108907451,140,68.0,4108907449,56,Left,4108907457,213,5.8,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216351,4,8,1,0,36,7jv344gvcvgqg7oeuc9u554dm,1,35.3,14.9,2023-03-19T08:00:46.582Z,2023-03-19T11:34:13Z,4109266207,384,,4108907521,56,Back,,,,,,,,,,,,,,,,,,,6f9jrka1qz3j5mfx4x3a5ubfu,J. Skotadis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522288691,652,49,1,0,37,7jv344gvcvgqg7oeuc9u554dm,1,34.9,11,2023-03-19T08:00:47.050Z,2023-03-19T11:34:08Z,,,,,,,,,,,,,,,,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216357,5,1,1,0,40,7jv344gvcvgqg7oeuc9u554dm,0,39.4,6.1,2023-03-19T08:00:50.668Z,2023-03-19T08:00:57Z,4108907541,56,Back,4108907545,141,0.0,4108907543,140,44.1,4108907547,212,6.8,4108907549,213,5.5,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216361,6,5,1,0,41,7jv344gvcvgqg7oeuc9u554dm,0,40,-1,2023-03-19T08:00:51.218Z,2023-03-19T08:01:00Z,4108907571,233,14,4108907557,56,Back,4108907559,347,,,,,,,,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216355,14,5,1,0,41,c33jm806py6adse5wv9wx6ch1,1,60,101,2023-03-19T08:00:51.218Z,2023-03-19T08:47:23Z,4108907535,347,,4108907533,56,Left,4108907565,233,6,,,,,,,,,,,,,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522216369,15,1,1,0,43,c33jm806py6adse5wv9wx6ch1,1,64.1,100,2023-03-19T08:00:53.312Z,2023-03-19T08:00:56Z,4108907595,140,41.9,4108907599,212,25.9,4108907597,141,84.5,4108907593,56,Back,4108907601,213,3.6,4108907603,1,,4108907591,107,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
