id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2492616663,4,34,16,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2022-12-21T06:57:51.077Z,2022-12-21T08:00:27Z,3952812417,194,bgl8h2ygh9ztbnzt79wv178ph,3952812413,130,2,3952812407,30,"bgl8h2ygh9ztbnzt79wv178ph, 8h8ihiytz6xko4a4fzrpqz8ph, b8ptjj6m4jh83ixhtny9o2v4k, 4p3oumqahcdjl66oqw3jwjsdm, 3py7ky3kq3ikgy0fl2g2rrtre, 5l9ozhnxtdp4w8dawcskpx5ud, 1v62lh9e2cpqsaww3ggw5togk, 3hfu7zxdbwlshk4wc87379ul0, 36gq011by1cjkem274ahdfg89, 4l0se1iapxcmd1jb4851aj6c5, b3wugaop1bb4php1irwf6zqei, b64xe0hw5h2k79a52awusbkve, e5ycwhcy49624czidh67ihiad, 34dwjcubokyikikcect9v4wve, 7hew5ue5j22q9voqfewjcrgus, 7ucilzbc870tvzy8iqxlk8kbt, 6iohupgr9c0l4xy19b02kgsx6, 6qtiz00ou6a6raf4nbxg87z84",3952812409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3952812419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3952812411,59,"20, 15, 18, 4, 23, 3, 14, 13, 98, 9, 7, 2, 11, 21, 22, 24, 25, 27",3952822291,197,876,3952812415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492617001,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-12-21T07:00:31.567Z,2022-12-21T08:01:16Z,3952822335,197,10196,3952813257,59,"1, 3, 2, 32, 4, 33, 7, 14, 9, 8, 18, 5, 10, 11, 17, 19, 20, 25",3952813261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3952813253,30,"30x4bcy7zsqgreti63wpds0yd, ccof41jyzj4bnh14u8goyjutx, dmk1iij050mf8g3sdc3cvhazt, 9lh56gt4nxb29rm416rb6lv1m, 4hudkn0jcog2v9q8qv1vngij9, 3gpp1g8587gh95uzripmv9pwq, 1u9k9c9uuoj9ktx8ctacv2ajt, uqoseczs2k03doablx2zuusq, 62ln44wo6iw2dweq0aqq04ded, 8q4a3xz1plwm6f06jawwvo5ih, djh55twz4lsp63j6858ea97xm, bpm5mr9bgqdsnc5cesnf2ga1h, ukb790rcuwjsylvtyu822prd, 7zbq77fks307ubp7bxvghxdqt, 6lu5jfgq3rxunqnbbxpu8ztyi, 28jkor1s3dlv2000adlztmyqy, 4epapct9t0a0skf8522jyerjd, a9a2obtq50arrgfe7m0cd0qtx",3952813259,130,8,3952813265,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3952813263,194,62ln44wo6iw2dweq0aqq04ded,3952813255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619947,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2022-12-21T08:00:27.460Z,2022-12-21T08:00:27Z,3952822451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619949,5,32,1,0,0,c4ygb6mnh53kpl2mpxe52l8jw,1,0,0,2022-12-21T08:00:27.460Z,2022-12-22T07:51:56Z,3952822453,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619951,3,1,1,0,1,chu9blh367xs3yumct5tqto2q,1,50,50,2022-12-21T08:00:28.560Z,2022-12-22T07:54:40Z,3952822455,56,Back,3952822463,213,2.8,3952822459,141,53.0,3952822465,279,S,3952822461,212,6.9,3952822457,140,43.7,,,,,,,62ln44wo6iw2dweq0aqq04ded,B. Mikeltadze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619955,4,1,1,0,3,chu9blh367xs3yumct5tqto2q,1,44.6,46,2022-12-21T08:00:31.209Z,2022-12-21T08:00:32Z,3952822477,212,25.9,3952822473,140,36.4,3952822471,56,Back,3952822479,213,4.4,3952822475,141,10.1,,,,,,,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619957,5,1,1,0,5,chu9blh367xs3yumct5tqto2q,1,36.9,9.7,2022-12-21T08:00:32.842Z,2022-12-21T08:55:08Z,3952822491,212,48.3,3952822485,56,Center,3952822495,1,,3952822493,213,0.3,3952822483,155,,3952822487,140,81.2,3952822489,141,28.9,,,,ccof41jyzj4bnh14u8goyjutx,J. Hoffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619961,6,44,1,0,8,chu9blh367xs3yumct5tqto2q,1,79.2,30.2,2022-12-21T08:00:35.647Z,2022-12-21T08:00:37Z,3952822503,56,Center,3952822509,233,6,3952822505,286,,,,,,,,,,,,,,,,,62ln44wo6iw2dweq0aqq04ded,B. Mikeltadze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619959,6,44,1,0,8,c4ygb6mnh53kpl2mpxe52l8jw,0,20.8,69.8,2022-12-21T08:00:35.648Z,2022-12-21T08:00:37Z,3952822515,233,6,3952822499,56,Back,3952822501,285,,,,,,,,,,,,,,,,,5l9ozhnxtdp4w8dawcskpx5ud,B. Kaltak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492619963,7,61,1,0,8,chu9blh367xs3yumct5tqto2q,1,81.2,29.1,2022-12-21T08:00:35.650Z,2022-12-22T08:56:38Z,3952822507,56,Center,,,,,,,,,,,,,,,,,,,,,,62ln44wo6iw2dweq0aqq04ded,B. Mikeltadze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
