id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2540556703,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-04-29T10:58:37.727Z,2023-04-29T12:08:12Z,4234112687,59,"13, 28, 14, 29, 37, 5, 21, 4, 7, 22, 16, 3, 19, 20, 30, 31, 36, 43",4234112685,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4234112691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234112683,30,"1vr7xk50jy6ytnogke8h6ciga, 1smjjhc426d9s9ly2g41cqvl6, 8gzsegmgy3fjcluzdci515j2t, adhfs6658xx5hpxur1496kv6d, bnpu23zlwzn5gtr4t8j8qtnh0, 68mqljqiwgzgextvvyncb3avp, 982owm0ccito2d1x2pkvpqeh, 9sczcrp79182vio8prnrw5kdm, cufgsqfkltgeb7ak2uan2dqdx, 2tveu4wl8zdno0v950r0r34k5, 4wk0sw7u4c17v2owhx5bhmusq, 5c8v9xugyq3jm2kik1eeoptnu, 869lv47g5aohwwzeyzx9xmt7u, 1e1wh213cg8q6lsqa3kvbjdka, dq73n90z7dgfp2bhh7y3d8161, dz856cksw5ui8gsh7k48y1fdg, 4oqiyxgv3i7lhki54wqjtyqz8, d1vlidmmd1z2oc6h24i2v5fro",4234112695,197,18077,4234112697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234112689,130,19,4234112693,194,68mqljqiwgzgextvvyncb3avp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540557833,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-04-29T11:02:16.628Z,2023-04-29T11:02:16Z,4234118595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4234118597,59,"1, 19, 17, 10, 6, 4, 5, 21, 38, 23, 11, 8, 9, 14, 31, 37, 44, 88",4234118593,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, ak7gkgt0ysr3p9e5vvq036i8l, 8alirbm4n482p155zi3174fyt, d2xblktxmr8illac50p2gcmhh, cfkv8xhbb3j2e0wulp49i1jvt, 6f92up63vg0nzl9qqlm0rl6uh, 8sknvoifu8w9wpso5xije0b56, 68z86n999vjdyb7mlj8nnlp05, cqwfvlrzbld40ce3s1qmdniz9, bfw1ktidkogubiuvx2c0qqtbd, 34dwjcubokyikikcect9v4wve, 8wrppgiwivlivxryo6rvocamt, ebtm8a499a5btsufuzy7k53sa, 8yyosfgv4yj0g7k2rwk743fft, 6xe2j75i29sgwbu11cp526uad, bknqxl16j0tm4dggbwjmzb2t",4234118601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234118603,194,do3hflya9zwcdzxiev0m2cclx,4234118599,130,2,4234118605,197,6265,4234118607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596637,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-04-29T12:00:03.344Z,2023-04-29T12:00:05Z,4234307205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596629,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-04-29T12:00:03.344Z,2023-05-01T07:05:39Z,4234307149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596659,3,1,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,50,50,2023-04-29T12:00:03.444Z,2023-04-29T12:00:07Z,4234307333,56,Back,4234307337,141,46.7,4234307343,279,S,4234307335,140,27.6,4234307341,213,3.2,4234307339,212,23.6,,,,,,,2tveu4wl8zdno0v950r0r34k5,A. Taggart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596691,4,1,1,0,3,cuj4qahgk4idsme4dg8clk6gw,1,31,46.4,2023-04-29T12:00:07.197Z,2023-04-29T12:44:58Z,4234307505,155,,4234307511,140,77.2,4234307519,1,,4234307513,141,90.2,4234307509,56,Left,4234307517,213,0.6,4234307515,212,56.9,,,,adhfs6658xx5hpxur1496kv6d,D. Lachman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596693,5,44,1,0,6,cuj4qahgk4idsme4dg8clk6gw,1,76.5,86.4,2023-04-29T12:00:10.124Z,2023-04-29T12:00:11Z,4234307545,233,3,4234307527,56,Left,4234307529,286,,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596689,3,44,1,0,6,7p460lrzt1kmp4rsofqa47eqy,0,23.5,13.6,2023-04-29T12:00:10.125Z,2023-04-29T12:00:11Z,4234307571,233,5,4234307487,285,,4234307485,56,Back,,,,,,,,,,,,,,,,bj77m6u2q7jd9nf67dleq2tp1,J. Risdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596707,6,1,1,0,7,cuj4qahgk4idsme4dg8clk6gw,0,77.2,90.2,2023-04-29T12:00:10.619Z,2023-04-29T12:00:11Z,4234307587,140,85.3,4234307585,56,Center,4234307591,212,14.0,4234307589,141,73.8,4234307593,213,5.4,4234307583,3,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540596717,4,1,1,0,8,7p460lrzt1kmp4rsofqa47eqy,1,14,23.7,2023-04-29T12:00:11.635Z,2023-04-29T12:48:15Z,4234307693,213,6.1,4234307689,141,21.0,4234307691,212,10.8,4234307687,140,24.1,4234307685,56,Back,,,,,,,,,,8alirbm4n482p155zi3174fyt,T. Imai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
