id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2503575501,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-02-04T10:39:58.945Z,2023-02-04T11:27:12Z,4010471745,194,7vq2cctowa657lg0v740lhtjp,4010537809,197,18077,4010471739,59,"13, 21, 36, 5, 29, 15, 8, 16, 7, 18, 4, 3, 19, 22, 28, 30, 37, 43",4010471741,130,12,4010471747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010471733,30,"1vr7xk50jy6ytnogke8h6ciga, 982owm0ccito2d1x2pkvpqeh, 4oqiyxgv3i7lhki54wqjtyqz8, 68mqljqiwgzgextvvyncb3avp, adhfs6658xx5hpxur1496kv6d, 4hudkn0jcog2v9q8qv1vngij9, 7vq2cctowa657lg0v740lhtjp, 4wk0sw7u4c17v2owhx5bhmusq, cufgsqfkltgeb7ak2uan2dqdx, 61rdelnm1qf1rh24z6omazu1h, 9sczcrp79182vio8prnrw5kdm, 5c8v9xugyq3jm2kik1eeoptnu, 869lv47g5aohwwzeyzx9xmt7u, 2tveu4wl8zdno0v950r0r34k5, 1smjjhc426d9s9ly2g41cqvl6, dq73n90z7dgfp2bhh7y3d8161, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",4010471743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010471737,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503575893,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-02-04T10:41:11.950Z,2023-02-04T11:26:58Z,4010537495,197,10196,4010473475,30,"30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, ccof41jyzj4bnh14u8goyjutx, uqoseczs2k03doablx2zuusq, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, 7zbq77fks307ubp7bxvghxdqt, ukb790rcuwjsylvtyu822prd, 62ln44wo6iw2dweq0aqq04ded, 9lh56gt4nxb29rm416rb6lv1m, djh55twz4lsp63j6858ea97xm, 1u9k9c9uuoj9ktx8ctacv2ajt, 8q4a3xz1plwm6f06jawwvo5ih, 6lu5jfgq3rxunqnbbxpu8ztyi, 28jkor1s3dlv2000adlztmyqy, 4epapct9t0a0skf8522jyerjd, 4qdcbp2hdy7ap97sas98x3g0l, 6f2f519kxin4bqo4gco4lby1g",4010473485,194,bpm5mr9bgqdsnc5cesnf2ga1h,4010473483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010473479,59,"1, 2, 3, 14, 25, 5, 11, 10, 9, 32, 18, 7, 8, 17, 19, 20, 24, 26",4010473477,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4010473487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010473481,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589431,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-02-04T11:31:03.273Z,2023-02-04T11:31:05Z,4010543351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589429,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-02-04T11:31:03.273Z,2023-02-04T18:00:51Z,4010543343,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589443,3,1,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,49.9,50,2023-02-04T11:31:03.373Z,2023-02-04T11:31:05Z,4010543423,141,66.0,4010543433,279,S,4010543431,213,2.5,4010543427,212,19.5,4010543419,140,34.5,4010543413,56,Back,,,,,,,4wk0sw7u4c17v2owhx5bhmusq,K. Jelacic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589459,4,1,1,0,2,cuj4qahgk4idsme4dg8clk6gw,0,34.5,66,2023-02-04T11:31:05.710Z,2023-02-04T18:08:38Z,4010543513,212,51.4,4010543507,56,Center,4012826945,155,,4010543515,213,5.9,4010543509,140,80.3,4010543511,141,39.4,4010543517,1,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589473,3,1,1,0,5,chu9blh367xs3yumct5tqto2q,0,23.2,73.2,2023-02-04T11:31:08.802Z,2023-02-04T11:31:10Z,4010543597,141,63.3,4010543603,213,5.5,4010543591,56,Back,4010543593,140,29.3,4010543599,212,9.3,4010543589,3,,,,,,,,bpm5mr9bgqdsnc5cesnf2ga1h,M. Jurman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589489,5,61,1,0,8,cuj4qahgk4idsme4dg8clk6gw,0,75.1,53.4,2023-02-04T11:31:11.390Z,2023-02-04T11:31:11Z,4010543685,56,Center,,,,,,,,,,,,,,,,,,,,,,4wk0sw7u4c17v2owhx5bhmusq,K. Jelacic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589509,4,49,1,0,10,chu9blh367xs3yumct5tqto2q,1,29.7,39.1,2023-02-04T11:31:13.570Z,2023-02-04T11:43:32Z,,,,,,,,,,,,,,,,,,,,,,,,,7zbq77fks307ubp7bxvghxdqt,J. Sotirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503589537,5,1,1,0,11,chu9blh367xs3yumct5tqto2q,1,29.7,39.1,2023-02-04T11:31:14.890Z,2023-02-04T11:37:39Z,4010543899,141,27.4,4010543903,213,3.8,4010543901,212,13.3,4010543897,140,19.5,4010543895,56,Back,,,,,,,,,,7zbq77fks307ubp7bxvghxdqt,J. Sotirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
