id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2525984235,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-31T07:37:31.787Z,2023-03-31T08:51:20Z,4149671711,130,8,4149671717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149671707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4149671709,59,"20, 31, 3, 17, 5, 6, 23, 28, 26, 10, 9, 1, 4, 8, 11, 14, 16, 21",4149671705,30,"98blyfvs09u1j6m7ltbqai9xx, 26h572pq2qiac1raqk6g0jvh0, 4rv3p2e0scrkce2l3budvzqol, 9xqw0h9piwsalgt47y5m6fr2t, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, 1yqlkot5sh85ot3eemo67djv9, dreyp9vpkgl8t38erpkrfwsbu, pc2pewu255axe28t955qjcnp, e8iey6bpyyfd0u8lovucrc2xh, evh60twv2ab6si0q78fqi9coa, af9qi36c0nm8eso8z5ah8yyuh, dxb1r4gqgxkngb0pzvfby9iol, 6fx6x1x0v02v094w754htlfx1, dmj5oe18blqnxozkfd8q5myfp, bb4iwletl36hvcn0rthlrm8a2, 3ivpa9dqlbrg7dc71nsmaw1d5, 2v9zl8rrcoi432p8iy1ngwlt6",4149671713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4149671715,194,6xvmp9q79f0fjjtvd6rcz00d1,4149682513,197,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525984251,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-31T07:39:28.741Z,2023-03-31T09:04:51Z,4149671779,194,8wt0rz1iw4aon12zj6axq1sk5,4149682499,197,17861,4149671781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149671771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4149671777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4149671775,130,8,4149671773,59,"46, 21, 7, 6, 13, 3, 26, 8, 9, 10, 11, 1, 31, 35, 36, 37, 55, 66",4149671769,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 9p4eptchs6yk33mzve5acbth, 2kig0lwusomobls6p3am0l7qi, 9l5seuy6ggcvpqnt5ekxn1pii, 8t39sfyi8s85bs1ptjymmbd1x, bidqgybf8b93bdsi4t4kzeuhh, 3qwtpnlm38xo5f1u36a30kus5, 6b31g4lw3ste6xrg1kwwn5iol, 4j4nenchzzxi4a96o7jqdpgid, 8wt0rz1iw4aon12zj6axq1sk5, c0f9jho2nsyygravyp7f19i3t, 5jeurk4kzk1s8aio8ufwu12sq, evf4z0xf7cd5nidnq6q4x8w7o, 5eqoaq3vo99bk6w8rda67iw6i, btbsot4krojohgz7cjpoqc9p0, d3n1fqp2aq9yjtzvwistpecyc, 2c81wahtsfjksewt89ccirris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985461,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-31T08:46:03.171Z,2023-03-31T15:06:12Z,4149684017,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985463,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-03-31T08:46:03.171Z,2023-03-31T08:46:05Z,4149684019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985465,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,49.9,50.1,2023-03-31T08:46:03.271Z,2023-03-31T08:46:06Z,4149684029,56,Back,4149684035,212,12.4,4149684033,141,52.4,4149684039,279,S,4149684037,213,3.0,4149684031,140,38.2,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985467,4,1,1,0,2,6h553bwfqkoxayuv80uikkn42,0,38.4,52.4,2023-03-31T08:46:06.099Z,2023-03-31T09:41:49Z,4149684059,1,,4149684057,213,0.4,4149684051,140,69.9,4149684047,155,,4149684049,56,Center,4149684055,212,35.6,4149684053,141,71.8,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985469,3,1,1,0,5,6lezh5aazy0xca1800e5dqxwl,0,29.7,35.2,2023-03-31T08:46:08.576Z,2023-03-31T09:37:53Z,4149684089,141,33.1,4149684091,212,12.8,4149684087,140,41.8,4149684093,213,6.2,4149684083,3,,4149684085,56,Back,,,,,,,9l5seuy6ggcvpqnt5ekxn1pii,L. Barr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985471,5,61,1,0,9,6h553bwfqkoxayuv80uikkn42,1,56,69,2023-03-31T08:46:12.226Z,2023-03-31T09:41:50Z,4149684095,56,Center,,,,,,,,,,,,,,,,,,,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985477,4,5,1,0,9,6lezh5aazy0xca1800e5dqxwl,1,44.8,-1.7,2023-03-31T08:46:13.156Z,2023-03-31T08:48:27Z,4149684119,347,,4149684117,56,Back,4149684127,233,6,,,,,,,,,,,,,,,,9l5seuy6ggcvpqnt5ekxn1pii,L. Barr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985473,6,5,1,0,9,6h553bwfqkoxayuv80uikkn42,0,55.2,101.7,2023-03-31T08:46:13.156Z,2023-03-31T08:46:15Z,4149684099,347,,4149684137,233,4,4149684097,56,Left,,,,,,,,,,,,,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985481,5,1,1,0,23,6lezh5aazy0xca1800e5dqxwl,1,48.1,0,2023-03-31T08:46:26.815Z,2023-03-31T08:46:28Z,4149684199,56,Right,4149684207,213,1.0,4149684205,212,8.7,4149684201,140,52.3,4149684203,141,9.1,4149684197,107,,,,,,,,5c2z04q3s8o3p3718hiluxzo5,Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985483,6,1,1,0,24,6lezh5aazy0xca1800e5dqxwl,1,52.2,8.6,2023-03-31T08:46:27.966Z,2023-03-31T09:38:16Z,4149684215,141,2.5,4149684211,56,Right,4149684213,140,51.5,4149684217,212,4.2,4149684219,213,4.5,,,,,,,,,,bidqgybf8b93bdsi4t4kzeuhh,B. Halloran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985485,7,1,1,0,25,6lezh5aazy0xca1800e5dqxwl,1,51.5,2.5,2023-03-31T08:46:28.973Z,2023-03-31T09:38:27Z,4149684227,56,Back,4149684229,140,46.7,4149684233,212,7.5,4149684235,213,2.3,4149684231,141,10.7,,,,,,,,,,5c2z04q3s8o3p3718hiluxzo5,Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525985487,8,1,1,0,26,6lezh5aazy0xca1800e5dqxwl,1,47.1,10.6,2023-03-31T08:46:29.773Z,2023-03-31T09:38:30Z,4149684245,56,Right,4149684243,3,,4149684251,212,9.1,4149684247,140,55.0,4149684253,213,5.9,4149684249,141,5.0,,,,,,,bidqgybf8b93bdsi4t4kzeuhh,B. Halloran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
