id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2494412729,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-01-01T02:45:39.422Z,2023-01-02T14:46:04Z,3962320609,197,869,3962320603,130,8,3962320611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962320607,194,a9a2obtq50arrgfe7m0cd0qtx,3962320605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962320597,30,"30x4bcy7zsqgreti63wpds0yd, a9a2obtq50arrgfe7m0cd0qtx, dmk1iij050mf8g3sdc3cvhazt, 8q4a3xz1plwm6f06jawwvo5ih, 4hudkn0jcog2v9q8qv1vngij9, 3gpp1g8587gh95uzripmv9pwq, 7zbq77fks307ubp7bxvghxdqt, 9lh56gt4nxb29rm416rb6lv1m, 62ln44wo6iw2dweq0aqq04ded, 6lu5jfgq3rxunqnbbxpu8ztyi, ukb790rcuwjsylvtyu822prd, ccof41jyzj4bnh14u8goyjutx, bpm5mr9bgqdsnc5cesnf2ga1h, 37ymn40mii3xfovk1iyg6mthx, 1u9k9c9uuoj9ktx8ctacv2ajt, djh55twz4lsp63j6858ea97xm, 28jkor1s3dlv2000adlztmyqy, 4epapct9t0a0skf8522jyerjd",3962320599,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3962320601,59,"1, 25, 2, 8, 4, 33, 11, 32, 9, 17, 10, 3, 5, 6, 7, 18, 19, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494412731,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-01-01T02:46:53.728Z,2023-01-02T14:45:33Z,3962320615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3962320625,197,868,3962320619,130,6,3962320627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962320613,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 974s3rwvb2ls1k1no4hlaz8ph, cr52lkk2tjwlz0gd34b0klyad, 9634dv110vlqnf02k4yif14np, 7nkjqwtji300a54ubhxn5f179, bu8z6ig5wrrtgsm1qhe4fxe51, 4ehmmuuxljgliiz7f7298h61h, b255io6lia16l5dzuxfpruhud, c243bbqbc7agln9jpv0faa6dx, 4rg5d1oo8rtclemhci81i6xg5, cuaqqokt0c82wz0bc0tt10rxm, c18ruk8qqfggqv7s0mzyq6yhg, 53g522ox4zpljnu57fcf4meei, 8b5ohtv882jce0823nuo0ugvd, ctrffnfu5yqmqf9nqyex5ky22, emzxhx2ki2r67c5l33hfv8844, 49ctudxdwjkrhz6n3ykjpmdey",3962320617,59,"1, 23, 18, 8, 2, 6, 22, 26, 9, 17, 11, 12, 16, 19, 20, 25, 28, 29",3962320623,194,4ehmmuuxljgliiz7f7298h61h,3962320621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415349,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-01-01T04:02:19.136Z,2023-01-01T04:02:21Z,3962330831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415345,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-01-01T04:02:19.136Z,2023-01-02T14:43:51Z,3962330825,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415351,3,1,1,0,0,38ui5tfi8anjuh533emny2tz1,1,50.3,49.9,2023-01-01T04:02:19.376Z,2023-01-01T04:20:16Z,3962330835,140,39.3,3962330837,141,50.9,3962330839,212,11.6,3962330841,213,3.1,3962330833,56,Back,3962330843,279,S,,,,,,,b255io6lia16l5dzuxfpruhud,A. Le Fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415363,4,1,1,0,2,38ui5tfi8anjuh533emny2tz1,0,44.9,52.8,2023-01-01T04:02:21.770Z,2023-01-01T04:02:25Z,3962330875,212,41.6,3962330877,213,0.7,3962330879,1,,3962330873,141,94.1,3962330869,56,Left,3962330867,155,,3962330871,140,74.1,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415375,3,1,1,0,5,chu9blh367xs3yumct5tqto2q,0,23.3,12.5,2023-01-01T04:02:24.968Z,2023-01-01T04:08:55Z,3962330905,3,,3962330915,213,0.3,3962330917,1,,3962330913,212,45.0,3962330907,56,Center,3962330911,141,33.3,3962330909,140,64.0,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415383,5,1,1,0,10,38ui5tfi8anjuh533emny2tz1,1,30.9,62.6,2023-01-01T04:02:29.834Z,2023-01-01T04:02:32Z,3962330931,56,Back,3962330935,141,36.7,3962330937,212,17.6,3962330939,213,4.7,3962330933,140,30.6,,,,,,,,,,7nkjqwtji300a54ubhxn5f179,J. Rodwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415391,6,1,1,0,13,38ui5tfi8anjuh533emny2tz1,1,29.9,36.3,2023-01-01T04:02:32.826Z,2023-01-01T04:02:35Z,3962330959,141,64.6,3962330961,212,19.5,3962330957,140,26.9,3962330963,213,1.7,3962330955,56,Back,,,,,,,,,,9634dv110vlqnf02k4yif14np,J. Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494415397,7,1,1,0,16,38ui5tfi8anjuh533emny2tz1,1,28.1,66.3,2023-01-01T04:02:35.642Z,2023-01-01T04:02:38Z,3962330983,213,1.5,3962330981,212,17.8,3962330975,56,Back,3962330979,141,92.3,3962330977,140,29.8,,,,,,,,,,7nkjqwtji300a54ubhxn5f179,J. Rodwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
