id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2475220251,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2022-10-22T07:48:50.372Z,2022-10-22T09:04:58Z,3861127191,194,af7c4t8wp0341io4x0dl02ac5,3861127193,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861127185,59,"1, 25, 38, 7, 6, 22, 15, 13, 9, 14, 23, 2, 8, 18, 30, 33, 36, 37",3861127183,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3861127181,30,"77gcx1qotysu9hbi2hw2gjsvd, aeberiw2itt147h2mpjvd5rai, bwxn7o8ved1xo5bmfkfgzekiy, 7cdvlgpi8g3e8ttspzvr1k251, bdo2grdx1mgm63gii3zar50id, dnpala3bol8svyc2awng6iv9x, af7c4t8wp0341io4x0dl02ac5, bcytv86dp6kqrsosu6gck9q7d, 31v9w4cyk1fxlig452kuc65ed, 446scvw0ckoxnvnsqcqocve1h, c00r3yls3lf245nbo93m9d6cq, cqoz8o1pse9uspkqvq3cmges5, 7q8urr40blud747zzb3io8w5x, 5wz8hmh6szarsa6j0thdxeane, 6f64iy9i8xuo9kni45llt7gx6, 5wivkupbnot9s6z48c31an42y, 1q1gfw2mh9tb52nvg2ilxvxwq, 5vn0zyf02eewx7nrkhnhchrmc",3861127189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861155789,197,886,3861127187,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475221587,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-10-22T07:54:15.592Z,2022-10-22T08:48:12Z,3861134181,194,w8u1a5hrtitytfof3jk0zbh1,3861134173,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3861134179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861134183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861134171,30,"dmxzug2enscx331w5vmdzn2s5, 2g39f2y5dqwg3q4sw2jf6x6g9, 2wnqoxtt8xlglpndyjb5rb622, w8u1a5hrtitytfof3jk0zbh1, yhkueqgsvvd5fzdffg9nky51, 7h5zy4yqn4pilij1tsmm2qmzt, nf5y7om644176c52n91ptsyd, vfwu1evhxgeeza1pvkyaxgph, abz6occh9zmu2tcsejm5uiyg9, cx8wxcop4vdfapgaboyzqrsvd, 91lwbi9gd4crrnmt30yld307p, 3ff82uwwa2eb4k4yh7f1144id, 2nn6berxelojkxb2rjjnqw4id, emwj19p387dfr11hnrtfqfyz9, c575swutxi9er3j9txklhrzoq, 63za0395wiu88h3panzx86pxx, 5hylntpne6d7xwey2v9d9lg8a, cap22dno3uid8jyckne737tyi",3861161327,197,889,3861134177,130,6,3861134175,59,"20, 16, 3, 8, 21, 15, 17, 4, 18, 22, 7, 1, 6, 9, 11, 23, 24, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227861,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2022-10-22T08:46:41.745Z,2022-10-22T11:57:59Z,3861163217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227859,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2022-10-22T08:46:41.745Z,2022-10-22T08:46:41Z,3861163215,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227869,3,1,1,0,0,c33jm806py6adse5wv9wx6ch1,1,50.1,50.3,2022-10-22T08:46:41.845Z,2022-10-22T08:46:44Z,3861163227,140,39.2,3861163229,141,54.3,3861163231,212,11.8,3861163233,213,2.9,3861163225,56,Back,3861163235,279,S,,,,,,,31v9w4cyk1fxlig452kuc65ed,J. Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227871,4,1,1,0,1,c33jm806py6adse5wv9wx6ch1,1,36.8,58.1,2022-10-22T08:46:43.578Z,2022-10-22T13:16:50Z,3861195717,141,54.2,3861195715,140,34.0,3861163239,56,Back,3861195719,212,4.0,3861195721,213,3.9,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227877,5,1,1,0,4,c33jm806py6adse5wv9wx6ch1,0,37.5,54.2,2022-10-22T08:46:46.395Z,2022-10-22T09:34:31Z,3861163257,140,92.0,3861163253,155,,3861163259,141,34.6,3861163265,1,,3861163263,213,6.1,3861163261,212,58.8,3861163255,56,Center,,,,dnpala3bol8svyc2awng6iv9x,C. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227881,3,1,1,0,6,9xmhnv6im8h7c9e17oqvcx8gl,0,10.1,72.1,2022-10-22T08:46:48.259Z,2022-10-22T08:46:50Z,3861163275,140,23.0,3861163277,141,100.0,3861163281,213,1.0,3861163273,56,Back,3861163279,212,23.9,3861163271,3,,,,,,,,7h5zy4yqn4pilij1tsmm2qmzt,G. Timotheou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227883,4,5,1,0,8,9xmhnv6im8h7c9e17oqvcx8gl,0,20.8,101.5,2022-10-22T08:46:50.077Z,2022-10-22T08:47:02Z,3861163283,56,Back,3861163375,233,6,3861163285,347,,,,,,,,,,,,,,,,,7h5zy4yqn4pilij1tsmm2qmzt,G. Timotheou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475227901,6,5,1,0,8,c33jm806py6adse5wv9wx6ch1,1,79.2,-1.5,2022-10-22T08:46:50.077Z,2022-10-22T08:56:38Z,3861163359,56,Right,3861163361,347,,3861163363,233,4,,,,,,,,,,,,,,,,bcytv86dp6kqrsosu6gck9q7d,A. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
