id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2508917185,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-02-18T05:53:04.368Z,2023-02-18T07:18:58Z,4038605201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038746549,197,9894,4038605197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4038605199,194,1nrqzt5f33akpl06zanky83bp,4038605193,59,"12, 44, 13, 8, 5, 15, 17, 7, 9, 10, 35, 1, 2, 11, 41, 36, 37, 52",4038605189,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, ceea6ndbo2sq5cvucg5j31oq2, c3u652s3v8u1q4qid5mkbtyw9, 6i6sc8ttypctphire7scntu51, 6cke7ckocw7epjg5gj6exuytx, 4lk250c1xd4xsowjrdi0uuevp, du99hpqe1ikml2wohv8ei0hxx, 1nrqzt5f33akpl06zanky83bp, am6xykrxjymw2qpqli6upysq, 4llft8t2rwgm3uewbwyaq5ckp, btyconkxo00p1gkf87mn70lpl, 7gt275zxk4hkh4zvdtmo3xpzp, aeoqbtq15nt9ks5cx50vallhw, czj18cj8t4tx4zvhcsysstcve, f3z4grszald48qd1fidjycidw, 4vx3ggviundz1s4el7y2cxt78",4038605191,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4038605195,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508917793,1,34,16,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-02-18T05:56:20.003Z,2023-02-18T07:04:25Z,4038607575,130,4,4038747829,197,873,4038607571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4038607573,59,"1, 2, 3, 32, 25, 5, 14, 17, 9, 7, 11, 4, 8, 18, 20, 22, 33, 39",4038607579,194,bpm5mr9bgqdsnc5cesnf2ga1h,4038607583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038607577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4038607569,30,"30x4bcy7zsqgreti63wpds0yd, dmk1iij050mf8g3sdc3cvhazt, ccof41jyzj4bnh14u8goyjutx, 9lh56gt4nxb29rm416rb6lv1m, a9a2obtq50arrgfe7m0cd0qtx, bpm5mr9bgqdsnc5cesnf2ga1h, uqoseczs2k03doablx2zuusq, 6lu5jfgq3rxunqnbbxpu8ztyi, 62ln44wo6iw2dweq0aqq04ded, 1u9k9c9uuoj9ktx8ctacv2ajt, 7zbq77fks307ubp7bxvghxdqt, 305har0fmf8wye7e3wbpfqcid, 8q4a3xz1plwm6f06jawwvo5ih, djh55twz4lsp63j6858ea97xm, 4epapct9t0a0skf8522jyerjd, 8d9kq8ab5olsc1w1swicqemay, 3gpp1g8587gh95uzripmv9pwq, b64xe0hw5h2k79a52awusbkve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945729,2,32,1,0,0,chu9blh367xs3yumct5tqto2q,1,0,0,2023-02-18T07:00:14.158Z,2023-02-18T07:00:15Z,4038750573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945725,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-02-18T07:00:14.158Z,2023-02-21T11:54:38Z,4038750571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945739,3,1,1,0,1,7jv344gvcvgqg7oeuc9u554dm,1,50,50,2023-02-18T07:00:15.258Z,2023-02-18T15:28:12Z,4038750611,213,3.2,4038750605,140,43.6,4038750609,212,6.7,4038750613,279,S,4038750603,56,Back,4038750607,141,49.3,,,,,,,1nrqzt5f33akpl06zanky83bp,U. Dávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945741,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,0,43.6,49.3,2023-02-18T07:00:16.234Z,2023-02-18T07:00:17Z,4038750627,213,6.1,4038750625,212,10.9,4038750623,141,45.8,4038750621,140,53.7,4038750619,56,Center,,,,,,,,,,ceea6ndbo2sq5cvucg5j31oq2,J. Hollman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945749,3,8,1,0,4,chu9blh367xs3yumct5tqto2q,1,55,57,2023-02-18T07:00:18.499Z,2023-02-18T15:29:16Z,4039955659,383,,4038750641,56,Center,,,,,,,,,,,,,,,,,,,uqoseczs2k03doablx2zuusq,M. Al-Taay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945753,4,49,1,0,5,chu9blh367xs3yumct5tqto2q,1,63.3,72.7,2023-02-18T07:00:19.298Z,2023-02-18T07:00:19Z,,,,,,,,,,,,,,,,,,,,,,,,,uqoseczs2k03doablx2zuusq,M. Al-Taay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945791,5,1,1,0,6,chu9blh367xs3yumct5tqto2q,1,61.1,77.6,2023-02-18T07:00:20.418Z,2023-02-18T07:00:26Z,4038750751,212,14.3,4038750753,213,1.0,4038750747,140,68.7,4038750745,56,Left,4038750749,141,95.0,,,,,,,,,,uqoseczs2k03doablx2zuusq,M. Al-Taay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945793,6,4,1,0,11,chu9blh367xs3yumct5tqto2q,1,71.6,91.9,2023-02-18T07:00:25.187Z,2023-02-18T07:00:27Z,4038750763,152,,4038750769,233,5,4038750759,13,,4038750767,286,,4038750761,56,Left,4038750765,265,,,,,,,,7zbq77fks307ubp7bxvghxdqt,J. Sotirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945787,5,4,1,0,11,7jv344gvcvgqg7oeuc9u554dm,0,28.4,8.1,2023-02-18T07:00:25.188Z,2023-02-18T07:00:27Z,4038750735,152,,4038750731,13,,4038750781,233,6,4038750733,56,Back,4038750739,285,,4038750737,265,,,,,,,,44cqwwuueirgp57r8ks0725t5,M. Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945857,7,1,1,0,40,chu9blh367xs3yumct5tqto2q,0,72.3,89.1,2023-02-18T07:00:54.626Z,2023-02-18T15:29:33Z,4038750981,140,87.0,4038750971,2,,4039958657,20,,4038750979,56,Center,4039958651,223,,4038750975,155,,4038750985,212,28.7,4038750973,5,,6lu5jfgq3rxunqnbbxpu8ztyi,K. Grozos,4038750983,141,53.6,4038750977,152,4038750987,213,5.3,,,,,,,,,,,,,,,,,,,,,
2508945863,6,12,1,0,41,7jv344gvcvgqg7oeuc9u554dm,1,12.1,40.6,2023-02-18T07:00:55.882Z,2023-02-18T07:00:59Z,4038751005,212,22.5,4038750999,56,Back,4038751001,140,33.4,4038751007,213,0.1,4038751013,15,,4038751003,141,44.8,,,,,,,44cqwwuueirgp57r8ks0725t5,M. Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945881,8,1,1,0,46,chu9blh367xs3yumct5tqto2q,0,65.1,50,2023-02-18T07:01:00.546Z,2023-02-18T07:01:49Z,4038751059,140,91.2,4038751067,1,,4038751057,56,Left,4038751063,212,42.5,4038751061,141,97.8,4038751065,213,0.9,4038751055,155,,,,,dmk1iij050mf8g3sdc3cvhazt,D. Ingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508945875,7,49,1,0,48,7jv344gvcvgqg7oeuc9u554dm,1,11.4,6.8,2023-02-18T07:01:02.546Z,2023-02-18T15:30:06Z,,,,,,,,,,,,,,,,,,,,,,,,,6cke7ckocw7epjg5gj6exuytx,C. Noone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
