id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/18/value,qualifier/14/value,qualifier/16/value
2475183615,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-10-22T04:47:08.178Z,2022-10-22T06:03:20Z,3860938439,30,"98blyfvs09u1j6m7ltbqai9xx, b9etmvw7ljdrjbsw632ey0nhl, 4rv3p2e0scrkce2l3budvzqol, 9xqw0h9piwsalgt47y5m6fr2t, 9iebtrpherpydugn7m9hrcl3p, 6xvmp9q79f0fjjtvd6rcz00d1, pc2pewu255axe28t955qjcnp, dreyp9vpkgl8t38erpkrfwsbu, e8iey6bpyyfd0u8lovucrc2xh, 2tmu6esf1xub0sja4gwnakvyt, evh60twv2ab6si0q78fqi9coa, af9qi36c0nm8eso8z5ah8yyuh, 5p3y4bh0mdmymeceltd1fpw8a, 1x6l08ntcq6rpjghegacvtbzd, d0f8dmnejzbjc7dfg14u8yv6y, 2v9zl8rrcoi432p8iy1ngwlt6, v9xcxlic45xllm9t5gvxf1ii, 9vu1fxor0nsvt0n80zn2wtgtm",3860938441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3860938449,194,6xvmp9q79f0fjjtvd6rcz00d1,3860938443,59,"20, 2, 3, 17, 5, 6, 26, 28, 10, 11, 9, 1, 7, 12, 19, 21, 35, 36",3860938451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860938447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860938445,130,2,3860976403,197,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475183797,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2022-10-22T04:48:52.899Z,2022-10-22T06:16:01Z,3860939353,130,12,3860939357,194,3zl5ec82f8zebkxkfdz16e3th,3860939349,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3860976415,197,16726,3860939355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860939347,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, bhl2kwvi52osrdsdnbtw45lyi, 7mgwfxva7w88k90jhjd1wx3o5, 3zl5ec82f8zebkxkfdz16e3th, ez47kkcz2wgypddldq97yz2dx, dhnssdf1iuorniavvla5zbwx6, abfwfqsv8o9xsnkor896869cl, 4s2umn33b5fo5zcpkwjcbry7d, dbtn3hglkg6kfkvkz6gvs6x1x, czbwauhn3z2a0t8t6qreuq1yi, 26vm9o1w3l4behscs3hk4d8x6, bcb8xguyk226cmw4wvkkxpgix, 11kqna4zthfmc592eudehj3oq, 7gi5lm8v10m3ivddvn8qqzk2y, uyhh5u2ezau9f095symdh3sa, dby4dlsu0mcjg51czovmyjvxm, 6jri9zzc1ccwcof95srv8h4pg",3860939359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860939351,59,"23, 19, 3, 2, 5, 6, 27, 26, 28, 9, 8, 1, 10, 11, 15, 17, 29, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192223,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-10-22T06:02:14.732Z,2022-10-23T08:26:51Z,3860981223,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192219,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2022-10-22T06:02:14.732Z,2022-10-22T06:02:14Z,3860981217,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192237,3,1,1,0,0,v046no35g7ebk8lytdjmfb43,1,49.8,50.2,2022-10-22T06:02:14.832Z,2022-10-22T06:16:19Z,3860981289,279,S,3860981281,140,33.7,3860981287,213,3.2,3860981283,141,49.2,3860981279,56,Back,3860981285,212,16.9,,,,,,,dbtn3hglkg6kfkvkz6gvs6x1x,C. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192255,4,1,1,0,3,v046no35g7ebk8lytdjmfb43,1,33.7,49.2,2022-10-22T06:02:17.917Z,2022-10-22T06:16:20Z,3860981363,213,4.3,3860981359,141,25.2,3860981357,140,27.8,3860981361,212,17.5,3860981355,56,Back,,,,,,,,,,abfwfqsv8o9xsnkor896869cl,J. O'Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192265,5,1,1,0,5,v046no35g7ebk8lytdjmfb43,1,27.8,25.2,2022-10-22T06:02:20.485Z,2022-10-22T06:17:06Z,3860981407,56,Back,3860981413,212,14.4,3860981411,141,46.3,3860981415,213,1.7,3860981409,140,26.4,,,,,,,,,,ez47kkcz2wgypddldq97yz2dx,C. Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192283,6,1,1,0,6,v046no35g7ebk8lytdjmfb43,1,26.4,46.3,2022-10-22T06:02:21.622Z,2022-10-22T06:17:09Z,3860981513,213,1.5,3860981509,141,75.4,3860981507,140,27.1,3860981511,212,19.8,3860981505,56,Back,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,T. Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192297,7,1,1,0,12,v046no35g7ebk8lytdjmfb43,1,27.4,73.4,2022-10-22T06:02:26.758Z,2022-10-22T06:02:30Z,3860981599,213,4.7,3860981601,1,,3860981591,56,Back,3860981597,212,33.0,3860981593,140,27.4,3860981595,141,24.8,,,,,,,7mgwfxva7w88k90jhjd1wx3o5,S. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475192309,8,1,1,0,15,v046no35g7ebk8lytdjmfb43,1,32.9,25.2,2022-10-22T06:02:30.086Z,2022-10-22T06:02:34Z,3860981699,213,2.0,3860981695,141,43.8,3860981691,56,Back,3860981697,212,13.7,3860981693,140,27.8,,,,,,,,,,ez47kkcz2wgypddldq97yz2dx,C. Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
