id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value
2508567801,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-02-17T07:36:26.496Z,2023-02-17T08:41:16Z,4036738257,130,2,4036738263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4036738261,194,bknqxl16j0tm4dggbwjmzb2t,4036738259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4036787687,197,6264,4036738251,30,"do3hflya9zwcdzxiev0m2cclx, 30eyww0b75hsid71kihac79pl, dgffw31wnpl5u0304dpdet52h, d9fmhxd6637ihfqc9qvsnmjth, 8alirbm4n482p155zi3174fyt, d2xblktxmr8illac50p2gcmhh, bfw1ktidkogubiuvx2c0qqtbd, bknqxl16j0tm4dggbwjmzb2t, dpre9cmklv12i80xbyqnku505, 8sknvoifu8w9wpso5xije0b56, 8wrppgiwivlivxryo6rvocamt, cfkv8xhbb3j2e0wulp49i1jvt, 34dwjcubokyikikcect9v4wve, cqwfvlrzbld40ce3s1qmdniz9, 68z86n999vjdyb7mlj8nnlp05, ebtm8a499a5btsufuzy7k53sa, 8yyosfgv4yj0g7k2rwk743fft, d5wx8rvjfaw1arn69fdd64d90",4036738253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4036738255,59,"1, 27, 24, 7, 6, 4, 8, 88, 99, 38, 14, 5, 9, 11, 23, 31, 37, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508568171,1,34,16,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-02-17T07:38:37.181Z,2023-02-17T08:41:20Z,4036740275,130,2,4036740271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4036740281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4036740273,59,"20, 17, 12, 14, 6, 21, 31, 5, 9, 10, 11, 4, 8, 13, 15, 19, 24, 40",4036787719,197,882,4036740269,30,"56p368h15z4s1izxoz3pvu4et, ueklj0jop1moq303rq5vnca1, 6hqb04t5w85e576dgf44vn71m, ak2u5d2qrp9ka1b8qyy9ne3md, 3sqlv5wy64mmcnmr5bepafefp, b1hpmuxmbcegdii4cbq5l8kwl, dkqmon0xrrwdhcy66htkf1xwp, 30xc2y82d5xu8hkfhqrjw1z9x, ekjy3o3ymld0zkjdaynb4itat, 42xmd4lhr1zub89n0ormclv4l, 7ex2ik73ntprjkatncipscudx, 4ljmkn447genzakxxuzkn5iol, jvxwzywn4geyzpj2tzxssmsq, 4xkq0dt99xipecd4tbm74kq1, 5uaqcfkubn92hz2hq5ovyurit, avp78eu4gzmfcrpsnqglvwnah, 3s29k3e5nvxhiiwntw8mynb6y, 82tyg0nqfcncdgw3g474a37fu",4036740277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4036740279,194,ak2u5d2qrp9ka1b8qyy9ne3md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508577935,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-02-17T08:45:19.619Z,2023-02-18T12:20:21Z,4036790821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508577929,2,32,1,0,0,6j4xzc2g1eeafo6v1f38d4x22,1,0,0,2023-02-17T08:45:19.619Z,2023-02-17T08:45:19Z,4036790797,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508577943,3,1,1,0,1,6j4xzc2g1eeafo6v1f38d4x22,1,49.9,50,2023-02-17T08:45:20.719Z,2023-02-17T08:45:28Z,4036790873,212,29.7,4036790871,141,67.6,4036790867,56,Back,4036790877,279,S,4036790869,140,24.0,4036790875,213,2.7,,,,,,,42xmd4lhr1zub89n0ormclv4l,D. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508577957,4,1,1,0,3,6j4xzc2g1eeafo6v1f38d4x22,1,26.9,66.4,2023-02-17T08:45:22.983Z,2023-02-17T08:45:25Z,4036790927,213,4.7,4036790919,56,Back,4036790921,140,27.1,4036790923,141,40.1,4036790925,212,17.9,,,,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508577973,5,1,1,0,5,6j4xzc2g1eeafo6v1f38d4x22,1,28.8,38.6,2023-02-17T08:45:25.480Z,2023-02-17T08:45:29Z,4036790975,140,26.6,4036790981,213,1.7,4036790973,56,Back,4036790979,212,20.1,4036790977,141,67.9,,,,,,,,,,3sqlv5wy64mmcnmr5bepafefp,T. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508577987,6,1,1,0,9,6j4xzc2g1eeafo6v1f38d4x22,1,27.6,68.4,2023-02-17T08:45:29.096Z,2023-02-17T08:45:31Z,4036791047,213,1.4,4036791039,56,Back,4036791041,140,29.6,4036791045,212,17.2,4036791043,141,93.5,,,,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508578005,7,1,1,0,11,6j4xzc2g1eeafo6v1f38d4x22,1,30.1,93,2023-02-17T08:45:31.432Z,2023-02-17T08:45:36Z,4036791119,141,73.0,4036791117,140,24.0,4036791115,56,Back,4036791121,212,15.0,4036791123,213,4.3,,,,,,,,,,6hqb04t5w85e576dgf44vn71m,L. Mauragis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508578009,8,1,1,0,16,6j4xzc2g1eeafo6v1f38d4x22,1,26.4,71.5,2023-02-17T08:45:35.992Z,2023-02-17T08:45:38Z,4036791149,213,1.2,4036791147,212,15.9,4036791143,140,31.4,4036791141,56,Back,4036791145,141,93.5,,,,,,,,,,b1hpmuxmbcegdii4cbq5l8kwl,J. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
