id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,assist,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2550876657,1,34,16,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-05-19T08:43:17.643Z,2023-05-19T09:54:28Z,4289075559,130,7,4289075551,30,"77gcx1qotysu9hbi2hw2gjsvd, ze75933qynqbr4gupkz6xzo5, bwxn7o8ved1xo5bmfkfgzekiy, bcytv86dp6kqrsosu6gck9q7d, bdo2grdx1mgm63gii3zar50id, dnpala3bol8svyc2awng6iv9x, af7c4t8wp0341io4x0dl02ac5, 446scvw0ckoxnvnsqcqocve1h, 31v9w4cyk1fxlig452kuc65ed, 7cdvlgpi8g3e8ttspzvr1k251, c00r3yls3lf245nbo93m9d6cq, cqoz8o1pse9uspkqvq3cmges5, 8wbljx8706rh6uyhf8eegl1w5, 7q8urr40blud747zzb3io8w5x, 5he6zl0hg2jxsb2m624xlum6t, aeberiw2itt147h2mpjvd5rai, 5wivkupbnot9s6z48c31an42y, 5vn0zyf02eewx7nrkhnhchrmc",4289075555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4289075567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4289075561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4289075563,194,31v9w4cyk1fxlig452kuc65ed,4289075557,59,"1, 4, 38, 13, 6, 22, 15, 14, 9, 7, 23, 2, 3, 8, 10, 25, 33, 37",4289075565,197,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550878831,1,34,16,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-05-19T08:52:51.452Z,2023-05-19T09:41:22Z,4289086329,130,8,4289086323,30,"jjqk412zl7b2lbfqfkva3utx, 7yl3en0sif2gcwrtwmtmo3d1x, 9dxuc4hj1ovd3mpjrxombnm22, cr52lkk2tjwlz0gd34b0klyad, bgzao2jp59jygdic68s5iudat, 7nkjqwtji300a54ubhxn5f179, c243bbqbc7agln9jpv0faa6dx, 4ehmmuuxljgliiz7f7298h61h, b255io6lia16l5dzuxfpruhud, bu8z6ig5wrrtgsm1qhe4fxe51, 53g522ox4zpljnu57fcf4meei, 9634dv110vlqnf02k4yif14np, aiehjyb5unahdn0somr3ewa1h, cuaqqokt0c82wz0bc0tt10rxm, 974s3rwvb2ls1k1no4hlaz8ph, 8b5ohtv882jce0823nuo0ugvd, ctrffnfu5yqmqf9nqyex5ky22, emzxhx2ki2r67c5l33hfv8844",4289086337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4289086325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4289086335,197,18907,4289086333,194,bgzao2jp59jygdic68s5iudat,4289086327,59,"1, 23, 3, 8, 4, 6, 17, 26, 9, 22, 19, 2, 10, 12, 18, 20, 25, 28",4289086331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900755,2,32,1,0,0,38ui5tfi8anjuh533emny2tz1,1,0,0,2023-05-19T09:46:47.455Z,2023-05-19T09:46:47Z,4289197615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900757,2,32,1,0,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-05-19T09:46:47.455Z,2023-05-19T13:45:09Z,4289197629,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900775,3,1,1,0,1,38ui5tfi8anjuh533emny2tz1,1,50,50,2023-05-19T09:46:48.555Z,2023-05-19T12:53:20Z,4289197721,279,S,4289197717,212,14.0,4289197719,213,3.1,4289197711,56,Back,4289197713,140,36.7,4289197715,141,49.9,,,,,,,b255io6lia16l5dzuxfpruhud,A. Le Fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900781,4,1,1,0,2,38ui5tfi8anjuh533emny2tz1,1,36.7,49.9,2023-05-19T09:46:50.095Z,2023-05-19T12:53:23Z,4289197737,212,4.1,4289197733,140,38.4,4289197739,213,1.1,4289197731,56,Back,4289197735,141,55.4,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900791,5,1,1,0,3,38ui5tfi8anjuh533emny2tz1,1,38.5,55.4,2023-05-19T09:46:50.812Z,2023-05-19T12:53:26Z,4289197789,140,36.1,4289197791,141,47.6,4289197793,212,5.9,4289197797,213,4.3,4289197787,56,Back,,,,,,,,,,cr52lkk2tjwlz0gd34b0klyad,P. Retre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900815,6,1,1,0,4,38ui5tfi8anjuh533emny2tz1,1,34.6,45.5,2023-05-19T09:46:51.476Z,2023-05-19T09:46:53Z,4289197923,140,36.0,4289197929,213,4.8,4289197921,56,Back,4289197925,141,7.9,4289197927,212,25.6,,,,,,,,,,4ehmmuuxljgliiz7f7298h61h,L. Brattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900851,7,1,1,0,6,38ui5tfi8anjuh533emny2tz1,1,36,7.9,2023-05-19T09:46:53.824Z,2023-05-19T09:46:57Z,4289198087,141,30.6,4289198085,140,15.8,4289198091,213,2.5,4289198083,56,Back,4289198089,212,26.2,,,,,,,,,,c243bbqbc7agln9jpv0faa6dx,A. Cáceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550900863,8,1,1,0,9,38ui5tfi8anjuh533emny2tz1,1,15.5,29.4,2023-05-19T09:46:57.023Z,2023-05-19T09:46:59Z,4289198167,56,Back,4289198173,212,12.0,4289198171,141,40.9,4289198169,140,6.8,4289198175,213,2.4,,,,,,,,,,7nkjqwtji300a54ubhxn5f179,J. Rodwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
